Rank,Title,Artist(s),Artists Separately
1,"""Bridge Over Troubled Water""",Simon & Garfunkel,Simon & Garfunkel
2,"""(They Long to Be) Close to You""",The Carpenters,The Carpenters
3,"""American Woman""",The Guess Who,The Guess Who
4,"""Raindrops Keep Fallin' on My Head""",B.J. Thomas,B.J. Thomas
5,"""War""",Edwin Starr,Edwin Starr
6,"""Ain't No Mountain High Enough""",Diana Ross,Diana Ross
7,"""I'll Be There""",The Jackson 5,The Jackson 5
8,"""Get Ready""",Rare Earth,Rare Earth
9,"""Let It Be""",The Beatles,The Beatles
10,"""Band of Gold""",Freda Payne,Freda Payne
11,"""Mama Told Me (Not to Come)""",Three Dog Night,Three Dog Night
12,"""Everything Is Beautiful""",Ray Stevens,Ray Stevens
13,"""Make It with You""",Bread,Bread
14,"""Hitchin' a Ride""",Vanity Fare,Vanity Fare
15,"""ABC""",The Jackson 5,The Jackson 5
16,"""The Love You Save""",The Jackson 5,The Jackson 5
17,"""Cracklin' Rosie""",Neil Diamond,Neil Diamond
18,"""Candida""",Dawn,Dawn
19,"""Thank You (Falettinme Be Mice Elf Agin)""",Sly & the Family Stone,Sly & the Family Stone
20,"""Spill the Wine""",Eric Burdon & War,Eric Burdon;War
21,"""O-o-h Child""",Five Stairsteps,Five Stairsteps
22,"""Spirit in the Sky""",Norman Greenbaum,Norman Greenbaum
23,"""Lay Down (Candles in the Rain)""",Melanie,Melanie
24,"""Ball of Confusion (That's What the World Is Today)""",The Temptations,The Temptations
25,"""Love on a Two-Way Street""",The Moments,The Moments
26,"""Which Way You Goin' Billy?""",The Poppy Family,The Poppy Family
27,"""All Right Now""",Free,Free
28,"""I Want You Back""",The Jackson 5,The Jackson 5
29,"""Julie, Do Ya Love Me""",Bobby Sherman,Bobby Sherman
30,"""Green-Eyed Lady""",Sugarloaf,Sugarloaf
31,"""Signed, Sealed, Delivered I'm Yours""",Stevie Wonder,Stevie Wonder
32,"""Ride Captain Ride""",Blues Image,Blues Image
33,"""Venus""",Shocking Blue,Shocking Blue
34,"""Instant Karma!""",John Lennon,John Lennon
35,"""Patches""",Clarence Carter,Clarence Carter
36,"""Lookin' out My Back Door""",Creedence Clearwater Revival,Creedence Clearwater Revival
37,"""Rainy Night in Georgia""",Brook Benton,Brook Benton
38,"""Something's Burning""",Kenny Rogers & The First Edition,Kenny Rogers;The First Edition
39,"""Give Me Just a Little More Time""",Chairmen of the Board,Chairmen of the Board
40,"""Love Grows (Where My Rosemary Goes)""",Edison Lighthouse,Edison Lighthouse
41,"""The Long and Winding Road""",The Beatles,The Beatles
42,"""Snowbird""",Anne Murray,Anne Murray
43,"""Reflections of My Life""",Marmalade,Marmalade
44,"""Hey There Lonely Girl""",Eddie Holman,Eddie Holman
45,"""The Rapper""",The Jaggerz,The Jaggerz
46,"""He Ain't Heavy, He's My Brother""",The Hollies,The Hollies
47,"""Tighter, Tighter""",Alive N Kickin',Alive N Kickin'
48,"""Come and Get It""",Badfinger,Badfinger
49,"""Cecilia""",Simon & Garfunkel,Simon & Garfunkel
50,"""Love Land""",Charles Wright & the Watts 103rd Street Rhythm Band,Charles Wright & the Watts 103rd Street Rhythm Band
51,"""Turn Back the Hands of Time""",Tyrone Davis,Tyrone Davis
52,"""Lola""",The Kinks,The Kinks
53,"""In the Summertime""",Mungo Jerry,Mungo Jerry
54,"""Indiana Wants Me""",R. Dean Taylor,R. Dean Taylor
55,"""(I Know) I'm Losing You""",Rare Earth,Rare Earth
56,"""Easy Come, Easy Go""",Bobby Sherman,Bobby Sherman
57,"""Express Yourself""",Charles Wright & the Watts 103rd Street Rhythm Band,Charles Wright & the Watts 103rd Street Rhythm Band
58,"""Still Water (Love)""",The Four Tops,The Four Tops
59,"""Make Me Smile""",Chicago,Chicago
60,"""The House of the Rising Sun""",Frijid Pink,Frijid Pink
61,"""25 or 6 to 4""",Chicago,Chicago
62,"""My Baby Loves Lovin'""",White Plains,White Plains
63,"""Love or Let Me Be Lonely""",The Friends of Distinction,The Friends of Distinction
64,"""United We Stand""",The Brotherhood of Man,The Brotherhood of Man
65,"""We've Only Just Begun""",The Carpenters,The Carpenters
66,"""Arizona""",Mark Lindsay,Mark Lindsay
67,"""Fire and Rain""",James Taylor,James Taylor
68,"""Groovy Situation""",Gene Chandler,Gene Chandler
69,"""Evil Ways""",Santana,Santana
70,"""No Time""",The Guess Who,The Guess Who
71,"""Didn't I (Blow Your Mind This Time)""",The Delfonics,The Delfonics
72,"""The Wonder of You""",Elvis Presley,Elvis Presley
73,"""Up Around the Bend""",Creedence Clearwater Revival,Creedence Clearwater Revival
74,"""(If You Let Me Make Love To You Then) Why Can't I Touch You?""",Ronnie Dyson,Ronnie Dyson
75,"""I Just Can't Help Believing""",B.J. Thomas,B.J. Thomas
76,"""It's a Shame""",The Spinners,The Spinners
77,"""For the Love of Him""",Bobbi Martin,Bobbi Martin
78,"""Mississippi Queen""",Mountain,Mountain
79,"""I Want to Take You Higher""",Ike & Tina Turner,Ike & Tina Turner
80,"""The Letter""",Joe Cocker,Joe Cocker
81,"""Ma Belle Amie""",Tee-Set,Tee-Set
82,"""The Bells""",The Originals,The Originals
83,"""Yellow River""",Christie,Christie
84,"""Somebody's Been Sleeping""",100 Proof (Aged in Soul),100 Proof (Aged in Soul)
85,"""Vehicle""",The Ides of March,The Ides of March
86,"""Gimme Dat Ding""",The Pipkins,The Pipkins
87,"""Lay a Little Lovin' on Me""",Robin McNamara,Robin McNamara
88,"""Up the Ladder to the Roof""",The Supremes,The Supremes
89,"""Travelin' Band""",Creedence Clearwater Revival,Creedence Clearwater Revival
90,"""Come Saturday Morning""",The Sandpipers,The Sandpipers
91,"""Psychedelic Shack""",The Temptations,The Temptations
92,"""Without Love (There Is Nothing)""",Tom Jones,Tom Jones
93,"""Are You Ready?""",Pacific Gas & Electric,Pacific Gas & Electric
94,"""Woodstock""","Crosby, Stills, Nash & Young","Crosby, Stills, Nash & Young"
95,"""I'll Never Fall in Love Again""",Dionne Warwick,Dionne Warwick
96,"""Look What They've Done to My Song Ma""",The New Seekers,The New Seekers
97,"""Walk A Mile In My Shoes""",Joe South,Joe South
98,"""The Thrill Is Gone""",B.B. King,B.B. King
99,"""It's Only Make Believe""",Glen Campbell,Glen Campbell
100,"""Call Me""",Aretha Franklin,Aretha Franklin
