Rank,Title,Artist(s),Artists Separately
1,"""The Sign""",Ace of Base,Ace of Base
2,"""I Swear""",All-4-One,All-4-One
3,"""I'll Make Love to You""",Boyz II Men,Boyz II Men
4,"""The Power of Love""",Celine Dion,Celine Dion
5,"""Hero""",Mariah Carey,Mariah Carey
6,"""Stay (I Missed You)""",Lisa Loeb and Nine Stories,Lisa Loeb and Nine Stories
7,"""Breathe Again""",Toni Braxton,Toni Braxton
8,"""All for Love""","Bryan Adams, Rod Stewart and Sting",Bryan Adams;Rod Stewart;Sting
9,"""All That She Wants""",Ace of Base,
10,"""Don't Turn Around""",Ace of Base,
11,"""Bump n' Grind""",R. Kelly,R. Kelly
12,"""Again""",Janet Jackson,Janet Jackson
13,"""I'll Remember""",Madonna,Madonna
14,"""Whatta Man""",Salt-n-Pepa featuring En Vogue,Salt-n-Pepa;En Vogue
15,"""Wild Night""",John Mellencamp with Meshell Ndegeocello,John Mellencamp;Meshell Ndegeocello
16,"""Without You"" / ""Never Forget You""",Mariah Carey,
17,"""You Mean the World to Me""",Toni Braxton,
18,"""Can You Feel the Love Tonight""",Elton John,Elton John
19,"""The Most Beautiful Girl in the World""",Prince,Prince
20,"""Fantastic Voyage""",Coolio,Coolio
21,"""Baby, I Love Your Way""",Big Mountain,Big Mountain
22,"""Regulate""",Warren G and Nate Dogg,Warren G;Nate Dogg
23,"""If You Go""",Jon Secada,Jon Secada
24,"""Back & Forth""",Aaliyah,Aaliyah
25,"""Now and Forever""",Richard Marx,Richard Marx
26,"""When Can I See You""",Babyface,Babyface
27,"""Please Forgive Me""",Bryan Adams,
28,"""So Much in Love""",All-4-One,
29,"""Shoop""",Salt-n-Pepa,Salt-n-Pepa
30,"""Any Time, Any Place"" / ""And On and On""",Janet Jackson,
31,"""Shine""",Collective Soul,Collective Soul
32,"""Said I Loved You...But I Lied""",Michael Bolton,Michael Bolton
33,"""Return to Innocence""",Enigma,Enigma
34,"""All I Wanna Do""",Sheryl Crow,Sheryl Crow
35,"""Mmm Mmm Mmm Mmm""",Crash Test Dummies,Crash Test Dummies
36,"""Can We Talk""",Tevin Campbell,Tevin Campbell
37,"""Funkdafied""",Da Brat,Da Brat
38,"""I'd Do Anything for Love (But I Won't Do That)""",Meat Loaf,Meat Loaf
39,"""Gangsta Lean""",DRS,DRS
40,"""Because the Night""","10,000 Maniacs","10,000 Maniacs"
41,"""Cantaloop (Flip Fantasia)""",Us3,Us3
42,"""Whoomp! (There It Is)""",Tag Team,Tag Team
43,"""Come to My Window""",Melissa Etheridge,Melissa Etheridge
44,"""Stroke You Up""",Changing Faces,Changing Faces
45,"""I'm Ready""",Tevin Campbell,
46,"""100% Pure Love""",Crystal Waters,Crystal Waters
47,"""Anytime You Need a Friend""",Mariah Carey,
48,"""Because of Love""",Janet Jackson,
49,"""Linger""",The Cranberries,The Cranberries
50,"""Loser""",Beck,Beck
51,"""Found Out About You""",Gin Blossoms,Gin Blossoms
52,"""Gin and Juice""",Snoop Doggy Dogg,Snoop Doggy Dogg
53,"""Never Lie""",Immature,Immature
54,"""Streets of Philadelphia""",Bruce Springsteen,Bruce Springsteen
55,"""Getto Jam""",Domino,Domino
56,"""Endless Love""",Luther Vandross and Mariah Carey,Luther Vandross
57,"""I Miss You""",Aaron Hall,Aaron Hall
58,"""Understanding""",Xscape,Xscape
59,"""This D.J.""",Warren G,Warren G
60,"""Cry for You""",Jodeci,Jodeci
61,"""Keep Ya Head Up""",2Pac,2Pac
62,"""What's My Name?""",Snoop Doggy Dogg,
63,"""Another Night""",Real McCoy,Real McCoy
64,"""Your Body's Callin'""",R. Kelly,
65,"""Tootsee Roll""",69 Boyz,69 Boyz
66,"""I Can See Clearly Now""",Jimmy Cliff,Jimmy Cliff
67,"""Never Keeping Secrets""",Babyface,
68,"""Crazy""",Aerosmith,Aerosmith
69,"""Just Kickin' It""",Xscape,
70,"""(At Your Best) You Are Love""",Aaliyah,
71,"""Rock and Roll Dreams Come Through""",Meat Loaf,
72,"""Amazing""",Aerosmith,
73,"""Always""",Erasure,Erasure
74,"""Groove Thang""",Zhané,Zhané
75,"""Dreams""",Gabrielle,Gabrielle
76,"""Mr. Vain""",Culture Beat,Culture Beat
77,"""Mary Jane's Last Dance""",Tom Petty and the Heartbreakers,Tom Petty and the Heartbreakers
78,"""Anything""",SWV,SWV
79,"""Beautiful in My Eyes""",Joshua Kadison,Joshua Kadison
80,"""Stay""",Eternal,Eternal
81,"""Flava in Ya Ear""",Craig Mack,Craig Mack
