Rank,Title,Artist(s),Artists Separately
1,"""Silly Love Songs""",Wings,Wings
2,"""Don't Go Breaking My Heart""",Elton John & Kiki Dee,Elton John;Kiki Dee
3,"""Disco Lady""",Johnnie Taylor,Johnnie Taylor
4,"""December, 1963 (Oh, What a Night)""",The Four Seasons,The Four Seasons
5,"""Play That Funky Music""",Wild Cherry,Wild Cherry
6,"""Kiss and Say Goodbye""",The Manhattans,The Manhattans
7,"""Love Machine""",The Miracles,The Miracles
8,"""50 Ways to Leave Your Lover""",Paul Simon,Paul Simon
9,"""Love Is Alive""",Gary Wright,Gary Wright
10,"""A Fifth of Beethoven""",Walter Murphy & The Big Apple Band,Walter Murphy
11,"""Sara Smile""",Hall & Oates,Hall & Oates
12,"""Afternoon Delight""",Starland Vocal Band,Starland Vocal Band
13,"""I Write the Songs""",Barry Manilow,Barry Manilow
14,"""Fly, Robin, Fly""",Silver Convention,Silver Convention
15,"""Love Hangover""",Diana Ross,Diana Ross
16,"""Get Closer""",Seals and Crofts,Seals and Crofts
17,"""More, More, More""",Andrea True Connection,Andrea True Connection
18,"""Bohemian Rhapsody""",Queen,Queen
19,"""Misty Blue""",Dorothy Moore,Dorothy Moore
20,"""Boogie Fever""",The Sylvers,The Sylvers
21,"""I'd Really Love to See You Tonight""",England Dan & John Ford Coley,England Dan & John Ford Coley
22,"""You Sexy Thing""",Hot Chocolate,Hot Chocolate
23,"""Love Hurts""",Nazareth,Nazareth
24,"""Get Up and Boogie""",Silver Convention,Silver Convention
25,"""Take It to the Limit""",Eagles,Eagles
26,"""(Shake, Shake, Shake) Shake Your Booty""",KC and the Sunshine Band,KC and the Sunshine Band
27,"""Sweet Love""",Commodores,Commodores
28,"""Right Back Where We Started From""",Maxine Nightingale,Maxine Nightingale
29,"""Theme from S.W.A.T.""",Rhythm Heritage,Rhythm Heritage
30,"""Love Rollercoaster""",Ohio Players,Ohio Players
31,"""You Should Be Dancing""",Bee Gees,Bee Gees
32,"""You'll Never Find Another Love Like Mine""",Lou Rawls,Lou Rawls
33,"""Golden Years""",David Bowie,David Bowie
34,"""Moonlight Feels Right""",Starbuck,Starbuck
35,"""Only Sixteen""",Dr. Hook,Dr. Hook
36,"""Let Your Love Flow""",The Bellamy Brothers,The Bellamy Brothers
37,"""Dream Weaver""",Gary Wright,Gary Wright
38,"""Turn the Beat Around""",Vicki Sue Robinson,Vicki Sue Robinson
39,"""Lonely Night (Angel Face)""",Captain & Tennille,Captain & Tennille
40,"""All by Myself""",Eric Carmen,Eric Carmen
41,"""Love to Love You Baby""",Donna Summer,Donna Summer
42,"""Deep Purple""",Donny & Marie Osmond,Donny;Marie Osmond
43,"""Theme from Mahogany (Do You Know Where You're Going To)""",Diana Ross,Diana Ross
44,"""Sweet Thing""",Rufus,Rufus
45,"""That's the Way (I Like It)""",KC and the Sunshine Band,KC and the Sunshine Band
46,"""A Little Bit More""",Dr. Hook,Dr. Hook
47,"""Shannon""",Henry Gross,Henry Gross
48,"""If You Leave Me Now""",Chicago,Chicago
49,"""Lowdown""",Boz Scaggs,Boz Scaggs
50,"""Show Me the Way""",Peter Frampton,Peter Frampton
51,"""Dream On""",Aerosmith,Aerosmith
52,"""I Love Music""",The O'Jays,The O'Jays
53,"""Say You Love Me""",Fleetwood Mac,Fleetwood Mac
54,"""Times of Your Life""",Paul Anka,Paul Anka
55,"""Devil Woman""",Cliff Richard,Cliff Richard
56,"""Fooled Around and Fell in Love""",Elvin Bishop,Elvin Bishop
57,"""Convoy""",C. W. McCall,C. W. McCall
58,"""Welcome Back""",John Sebastian,John Sebastian
59,"""Sing a Song""","Earth, Wind & Fire","Earth, Wind & Fire"
60,"""Heaven Must Be Missing an Angel""",Tavares,Tavares
61,"""I'll Be Good to You""",The Brothers Johnson,The Brothers Johnson
62,"""Rock and Roll Music""",The Beach Boys,The Beach Boys
63,"""Shop Around""",Captain & Tennille,Captain & Tennille
64,"""Saturday Night""",Bay City Rollers,Bay City Rollers
65,"""Island Girl""",Elton John,Elton John
66,"""Let's Do It Again""",The Staple Singers,The Staple Singers
67,"""Let 'Em In""",Wings,Wings
68,"""Baby Face""",Wing and a Prayer Fife and Drum Corps,Wing and a Prayer Fife and Drum Corps
69,"""This Masquerade""",George Benson,George Benson
70,"""Evil Woman""",Electric Light Orchestra,Electric Light Orchestra
71,"""Wham Bam""",Silver,Silver
72,"""I'm Easy""",Keith Carradine,Keith Carradine
73,"""Wake Up Everybody""",Harold Melvin & the Blue Notes,Harold Melvin & the Blue Notes
74,"""Summer""",War,War
75,"""Let Her In""",John Travolta,John Travolta
76,"""Fox on the Run""",Sweet,Sweet
77,"""Rhiannon""",Fleetwood Mac,Fleetwood Mac
78,"""Got to Get You into My Life""",The Beatles,The Beatles
79,"""Fanny (Be Tender with My Love)""",Bee Gees,Bee Gees
80,"""Getaway""","Earth, Wind & Fire","Earth, Wind & Fire"
81,"""She's Gone""",Hall & Oates,Hall & Oates
82,"""Still the One""",Orleans,Orleans
83,"""You're My Best Friend""",Queen,Queen
84,"""With Your Love""",Jefferson Starship,Jefferson Starship
85,"""Slow Ride""",Foghat,Foghat
86,"""Who'd She Coo?""",Ohio Players,Ohio Players
87,"""The Boys Are Back in Town""",Thin Lizzy,Thin Lizzy
88,"""Walk Away from Love""",David Ruffin,David Ruffin
89,"""Baby, I Love Your Way (Live)""",Peter Frampton,Peter Frampton
90,"""Young Hearts Run Free""",Candi Staton,Candi Staton
91,"""Breaking Up Is Hard to Do""",Neil Sedaka,Neil Sedaka
92,"""Money Honey""",Bay City Rollers,Bay City Rollers
93,"""Give Up the Funk (Tear the Roof off the Sucker)""",Parliament,Parliament
94,"""Junk Food Junkie""",Larry Groce,Larry Groce
95,"""Tryin' to Get the Feeling Again""",Barry Manilow,Barry Manilow
96,"""Rock and Roll All Nite""",Kiss,Kiss
97,"""Disco Duck""",Rick Dees & His Cast of Idiots,Rick Dees
98,"""Take the Money and Run""",Steve Miller Band,Steve Miller Band
99,"""Squeeze Box""",The Who,The Who
100,"""Country Boy (You Got Your Feet in L.A.)""",Glen Campbell,Glen Campbell
