Rank,Title,Artist(s),Artists Separately
1,"""God's Plan""",Drake,Drake
2,"""Perfect""",Ed Sheeran,Ed Sheeran
3,"""Meant to Be""",Bebe Rexha featuring Florida Georgia Line,Bebe Rexha;Florida Georgia Line
4,"""Havana""",Camila Cabello featuring Young Thug,Camila Cabello;Young Thug
5,"""Rockstar""",Post Malone featuring 21 Savage,Post Malone;21 Savage
6,"""Psycho""",Post Malone featuring Ty Dolla Sign,Post Malone;Ty Dolla Sign
7,"""I Like It""","Cardi B, Bad Bunny and J Balvin",Cardi B;Bad Bunny;J Balvin
8,"""The Middle""","Zedd, Maren Morris and Grey",Zedd;Maren Morris;Grey
9,"""In My Feelings""",Drake,Drake
10,"""Girls Like You""",Maroon 5 featuring Cardi B,Maroon 5;Cardi B
11,"""Nice for What""",Drake,Drake
12,"""Lucid Dreams""",Juice Wrld,Juice Wrld
13,"""Better Now""",Post Malone,Post Malone
14,"""Finesse""",Bruno Mars featuring Cardi B,Bruno Mars;Cardi B
15,"""Boo'd Up""",Ella Mai,Ella Mai
16,"""New Rules""",Dua Lipa,Dua Lipa
17,"""Sad!""",XXXTentacion,XXXTentacion
18,"""Never Be the Same""",Camila Cabello,Camila Cabello
19,"""Love Lies""",Khalid and Normani,Khalid;Normani
20,"""No Tears Left to Cry""",Ariana Grande,Ariana Grande
21,"""Mine""",Bazzi,Bazzi
22,"""Thunder""",Imagine Dragons,Imagine Dragons
23,"""Look Alive""",BlocBoy JB featuring Drake,BlocBoy JB;Drake
24,"""Delicate""",Taylor Swift,Taylor Swift
25,"""Yes Indeed""",Lil Baby and Drake,Lil Baby;Drake
26,"""Friends""",Marshmello and Anne-Marie,Marshmello;Anne-Marie
27,"""Bad at Love""",Halsey,Halsey
28,"""Taste""",Tyga featuring Offset,Tyga;Offset
29,"""Let You Down""",NF,NF
30,"""No Limit""",G-Eazy featuring ASAP Rocky and Cardi B,G-Eazy;ASAP Rocky;Cardi B
31,"""Fefe""",6ix9ine featuring Nicki Minaj and Murda Beatz,6ix9ine;Nicki Minaj;Murda Beatz
32,"""Tequila""",Dan + Shay,Dan + Shay
33,"""Feel It Still""",Portugal. The Man,Portugal. The Man
34,"""MotorSport""","Migos, Nicki Minaj and Cardi B",Migos;Nicki Minaj;Cardi B
35,"""I Like Me Better""",Lauv,Lauv
36,"""Youngblood""",5 Seconds of Summer,5 Seconds of Summer
37,"""Whatever It Takes""",Imagine Dragons,Imagine Dragons
38,"""Ric Flair Drip""",Offset and Metro Boomin,Offset;Metro Boomin
39,"""I Fall Apart""",Post Malone,Post Malone
40,"""Pray for Me""",The Weeknd and Kendrick Lamar,The Weeknd;Kendrick Lamar
41,"""Back to You""",Selena Gomez,Selena Gomez
42,"""Sicko Mode""",Travis Scott,Travis Scott
43,"""Walk It Talk It""",Migos featuring Drake,Migos;Drake
