Rank,Title,Artist(s),Artists Separately
1,"""Macarena (Bayside Boys Mix)""",Los del Río,Los del Río
2,"""One Sweet Day""",Mariah Carey and Boyz II Men,Mariah Carey;Boyz II Men
3,"""Because You Loved Me""",Celine Dion,Celine Dion
4,"""Nobody Knows""",The Tony Rich Project,The Tony Rich Project
5,"""Always Be My Baby""",Mariah Carey,Mariah Carey
6,"""Give Me One Reason""",Tracy Chapman,Tracy Chapman
7,"""Tha Crossroads""",Bone Thugs-n-Harmony,Bone Thugs-n-Harmony
8,"""I Love You Always Forever""",Donna Lewis,Donna Lewis
9,"""You're Makin' Me High"" / ""Let It Flow""",Toni Braxton,Toni Braxton
10,"""Twisted""",Keith Sweat,Keith Sweat
11,"""C'mon N' Ride It (The Train)""",Quad City DJ's,Quad City DJ's
12,"""Missing""",Everything but the Girl,Everything but the Girl
13,"""Ironic""",Alanis Morissette,Alanis Morissette
14,"""Exhale (Shoop Shoop)""",Whitney Houston,Whitney Houston
15,"""Follow You Down"" / ""Til I Hear It from You""",Gin Blossoms,Gin Blossoms
16,"""Sittin' Up in My Room""",Brandy,Brandy
17,"""How Do U Want It"" / ""California Love""",2Pac featuring K-Ci and JoJo / featuring Dr. Dre and Roger Troutman,2Pac;K-Ci and JoJo;Dr. Dre;Roger Troutman
18,"""It's All Coming Back to Me Now""",Celine Dion,Celine Dion
19,"""Change the World""",Eric Clapton,Eric Clapton
20,"""Hey Lover""",LL Cool J,LL Cool J
21,"""Loungin""",LL Cool J,LL Cool J
22,"""Insensitive""",Jann Arden,Jann Arden
23,"""Be My Lover""",La Bouche,La Bouche
24,"""Name""",Goo Goo Dolls,Goo Goo Dolls
25,"""Who Will Save Your Soul""",Jewel,Jewel
26,"""Where Do You Go""",No Mercy,No Mercy
27,"""I Can't Sleep Baby (If I)""",R. Kelly,R. Kelly
28,"""Counting Blue Cars""",Dishwalla,Dishwalla
29,"""You Learn"" / ""You Oughta Know""",Alanis Morissette,Alanis Morissette
30,"""One of Us""",Joan Osborne,Joan Osborne
31,"""Wonder""",Natalie Merchant,Natalie Merchant
32,"""Not Gon' Cry""",Mary J. Blige,Mary J. Blige
33,"""Gangsta's Paradise""",Coolio featuring L.V.,Coolio;L.V.
34,"""Only You""",112 featuring The Notorious B.I.G.,112;The Notorious B.I.G.
35,"""Down Low (Nobody Has to Know)""",R. Kelly featuring Ronald Isley,R. Kelly;Ronald Isley
36,"""You're the One""",SWV,SWV
37,"""Sweet Dreams""",La Bouche,La Bouche
38,"""Before You Walk Out of My Life"" / ""Like This and Like That""",Monica,Monica
39,"""Breakfast at Tiffany's""",Deep Blue Something,Deep Blue Something
40,"""1, 2, 3, 4 (Sumpin' New)""",Coolio,Coolio
41,"""The World I Know""",Collective Soul,Collective Soul
42,"""No Diggity""",Blackstreet featuring Dr. Dre,Blackstreet;Dr. Dre
43,"""Anything""",3T,3T
44,"""1979""",The Smashing Pumpkins,The Smashing Pumpkins
45,"""Diggin' on You""",TLC,TLC
46,"""Why I Love You So Much"" / ""Ain't Nobody""",Monica,Monica
47,"""Kissin' You""",Total,Total
48,"""Count on Me""",Whitney Houston and CeCe Winans,Whitney Houston;CeCe Winans
49,"""Fantasy""",Mariah Carey,Mariah Carey
50,"""Time""",Hootie & the Blowfish,Hootie & the Blowfish
51,"""You'll See""",Madonna,Madonna
52,"""Last Night""",Az Yet,Az Yet
53,"""Mouth""",Merril Bainbridge,Merril Bainbridge
54,"""The Earth, the Sun, the Rain""",Color Me Badd,Color Me Badd
55,"""All the Things (Your Man Won't Do)""",Joe,Joe
56,"""Wonderwall""",Oasis,Oasis
57,"""Woo Hah!! Got You All in Check"" / ""Everything Remains Raw""",Busta Rhymes,Busta Rhymes
58,"""Tell Me""",Groove Theory,Groove Theory
59,"""Elevators (Me & You)""",Outkast,Outkast
60,"""Hook""",Blues Traveler,Blues Traveler
61,"""Doin' It""",LL Cool J,LL Cool J
62,"""Fastlove""",George Michael,George Michael
