Rank,Title,Artist(s),Artists Separately
1,"""When Doves Cry""",Prince,Prince
2,"""What's Love Got to Do with It""",Tina Turner,Tina Turner
3,"""Say Say Say""",Paul McCartney and Michael Jackson,Paul McCartney;Michael Jackson
4,"""Footloose""",Kenny Loggins,Kenny Loggins
5,"""Against All Odds (Take a Look at Me Now)""",Phil Collins,Phil Collins
6,"""Jump""",Van Halen,Van Halen
7,"""Hello""",Lionel Richie,Lionel Richie
8,"""Owner of a Lonely Heart""",Yes,Yes
9,"""Ghostbusters""",Ray Parker Jr.,Ray Parker Jr.
10,"""Karma Chameleon""",Culture Club,Culture Club
11,"""Missing You""",John Waite,John Waite
12,"""All Night Long (All Night)""",Lionel Richie,
13,"""Let's Hear It for the Boy""",Deniece Williams,Deniece Williams
14,"""Dancing in the Dark""",Bruce Springsteen,Bruce Springsteen
15,"""Girls Just Want to Have Fun""",Cyndi Lauper,Cyndi Lauper
16,"""The Reflex""",Duran Duran,Duran Duran
17,"""Time After Time""",Cyndi Lauper,
18,"""Jump (For My Love)""",The Pointer Sisters,The Pointer Sisters
19,"""Talking in Your Sleep""",The Romantics,The Romantics
20,"""Self Control""",Laura Branigan,Laura Branigan
21,"""Let's Go Crazy""",Prince & the Revolution,the Revolution
22,"""Say It Isn't So""",Daryl Hall & John Oates,Daryl Hall & John Oates
23,"""Hold Me Now""",Thompson Twins,Thompson Twins
24,"""Joanna""",Kool & the Gang,Kool & the Gang
25,"""I Just Called to Say I Love You""",Stevie Wonder,Stevie Wonder
26,"""Somebody's Watching Me""",Rockwell,Rockwell
27,"""Break My Stride""",Matthew Wilder,Matthew Wilder
28,"""99 Luftballons""",Nena,Nena
29,"""I Can Dream About You""",Dan Hartman,Dan Hartman
30,"""The Glamorous Life""",Sheila E.,Sheila E.
31,"""Oh Sherrie""",Steve Perry,Steve Perry
32,"""Stuck on You""",Lionel Richie,
33,"""I Guess That's Why They Call It the Blues""",Elton John,Elton John
34,"""She Bop""",Cyndi Lauper,
35,"""Borderline""",Madonna,Madonna
36,"""Sunglasses at Night""",Corey Hart,Corey Hart
37,"""Eyes Without a Face""",Billy Idol,Billy Idol
38,"""Here Comes the Rain Again""",Eurythmics,Eurythmics
39,"""Uptown Girl""",Billy Joel,Billy Joel
40,"""Sister Christian""",Night Ranger,Night Ranger
41,"""Drive""",The Cars,The Cars
42,"""Twist of Fate""",Olivia Newton-John,Olivia Newton-John
43,"""Union of the Snake""",Duran Duran,
44,"""The Heart of Rock & Roll""",Huey Lewis and the News,Huey Lewis and the News
45,"""Hard Habit to Break""",Chicago,Chicago
46,"""The Warrior""",Scandal,Scandal
47,"""If Ever You're in My Arms Again""",Peabo Bryson,Peabo Bryson
48,"""Automatic""",The Pointer Sisters,
49,"""Let the Music Play""",Shannon,Shannon
50,"""To All the Girls I've Loved Before""",Julio Iglesias and Willie Nelson,Julio Iglesias;Willie Nelson
51,"""Caribbean Queen (No More Love on the Run)""",Billy Ocean,Billy Ocean
52,"""That's All""",Genesis,Genesis
53,"""Running with the Night""",Lionel Richie,
54,"""Sad Songs (Say So Much)""",Elton John,
55,"""I Want a New Drug""",Huey Lewis and the News,
