Rank,Title,Artist(s),Artists Separately
56,"""Islands in the Stream""",Kenny Rogers and Dolly Parton,Kenny Rogers;Dolly Parton
57,"""Love Is a Battlefield""",Pat Benatar,Pat Benatar
58,"""Infatuation""",Rod Stewart,Rod Stewart
59,"""Almost Paradise""",Mike Reno and Ann Wilson,Mike Reno;Ann Wilson
60,"""Legs""",ZZ Top,ZZ Top
61,"""State of Shock""",The Jacksons,The Jacksons
62,"""Love Somebody""",Rick Springfield,Rick Springfield
63,"""Miss Me Blind""",Culture Club,
64,"""If This Is It""",Huey Lewis and the News,
65,"""You Might Think""",The Cars,
66,"""Lucky Star""",Madonna,
67,"""Cover Me""",Bruce Springsteen,
68,"""Cum on Feel the Noize""",Quiet Riot,Quiet Riot
69,"""Breakdance""",Irene Cara,Irene Cara
70,"""Adult Education""",Daryl Hall & John Oates,
71,"""They Don't Know""",Tracey Ullman,Tracey Ullman
72,"""An Innocent Man""",Billy Joel,
73,"""Cruel Summer""",Bananarama,Bananarama
74,"""Dance Hall Days""",Wang Chung,Wang Chung
75,"""Give It Up""",KC and the Sunshine Band,KC and the Sunshine Band
76,"""I'm So Excited""",The Pointer Sisters,
77,"""I Still Can't Get Over Loving You""",Ray Parker Jr.,
78,"""Thriller""",Michael Jackson,
79,"""Holiday""",Madonna,
80,"""Breakin'... There's No Stopping Us""",Ollie & Jerry,Ollie & Jerry
81,"""Nobody Told Me""",John Lennon,John Lennon
82,"""Church of the Poison Mind""",Culture Club,
83,"""Think of Laura""",Christopher Cross,Christopher Cross
84,"""Time Will Reveal""",DeBarge,DeBarge
85,"""Wrapped Around Your Finger""",The Police,The Police
86,"""Pink Houses""",John Cougar Mellencamp,John Cougar Mellencamp
87,"""Round and Round""",Ratt,Ratt
88,"""Head over Heels""",The Go-Go's,The Go-Go's
89,"""The Longest Time""",Billy Joel,
90,"""Tonight""",Kool & the Gang,
91,"""Got a Hold on Me""",Christine McVie,Christine McVie
92,"""Dancing in the Sheets""",Shalamar,Shalamar
93,"""Undercover of the Night""",The Rolling Stones,The Rolling Stones
94,"""On the Dark Side""",John Cafferty and the Beaver Brown Band,John Cafferty and the Beaver Brown Band
95,"""New Moon on Monday""",Duran Duran,
96,"""Major Tom (Coming Home)""",Peter Schilling,Peter Schilling
97,"""Magic""",The Cars,
98,"""When You Close Your Eyes""",Night Ranger,
99,"""Rock Me Tonite""",Billy Squier,Billy Squier
100,"""Yah Mo B There""",James Ingram and Michael McDonald,James Ingram;Michael McDonald
