Rank,Title,Artist(s),Artists Separately
1,"""Blinding Lights""",The Weeknd,The Weeknd
2,"""Circles""",Post Malone,Post Malone
3,"""The Box""",Roddy Ricch,Roddy Ricch
4,"""Don't Start Now""",Dua Lipa,Dua Lipa
5,"""Rockstar""",DaBaby featuring Roddy Ricch,DaBaby;Roddy Ricch
6,"""Adore You""",Harry Styles,Harry Styles
7,"""Life Is Good""",Future featuring Drake,Future;Drake
8,"""Memories""",Maroon 5,Maroon 5
9,"""The Bones""",Maren Morris,Maren Morris
10,"""Someone You Loved""",Lewis Capaldi,Lewis Capaldi
11,"""Say So""",Doja Cat,Doja Cat
12,"""I Hope""",Gabby Barrett featuring Charlie Puth,Gabby Barrett;Charlie Puth
13,"""Whats Poppin""","Jack Harlow featuring DaBaby, Tory Lanez and Lil Wayne",Jack Harlow;DaBaby;Tory Lanez;Lil Wayne
14,"""Dance Monkey""",Tones and I,Tones and I
15,"""Savage""",Megan Thee Stallion featuring Beyoncé,Megan Thee Stallion;Beyoncé
16,"""Roxanne""",Arizona Zervas,Arizona Zervas
17,"""Intentions""",Justin Bieber featuring Quavo,Justin Bieber;Quavo
18,"""Everything I Wanted""",Billie Eilish,Billie Eilish
19,"""Roses (Imanbek remix)""",Saint Jhn,Saint Jhn
20,"""Watermelon Sugar""",Harry Styles,Harry Styles
21,"""Before You Go""",Lewis Capaldi,Lewis Capaldi
22,"""Falling""",Trevor Daniel,Trevor Daniel
23,"""10,000 Hours""",Dan + Shay and Justin Bieber,Dan + Shay;Justin Bieber
24,"""WAP""",Cardi B featuring Megan Thee Stallion,Cardi B;Megan Thee Stallion
25,"""Ballin'""",Mustard featuring Roddy Ricch,Mustard;Roddy Ricch
26,"""Hot Girl Bummer""",Blackbear,Blackbear
27,"""Blueberry Faygo""",Lil Mosey,Lil Mosey
28,"""Heartless""",The Weeknd,The Weeknd
29,"""Bop""",DaBaby,DaBaby
30,"""Lose You to Love Me""",Selena Gomez,Selena Gomez
31,"""Good as Hell""",Lizzo,Lizzo
