Rank,Title,Artist(s),Artists Separately
43,"""That Girl""",Stevie Wonder,Stevie Wonder
44,"""Private Eyes""",Hall & Oates,Hall & Oates
45,"""Trouble""",Lindsey Buckingham,Lindsey Buckingham
46,"""Making Love""",Roberta Flack,Roberta Flack
47,"""Love's Been a Little Bit Hard on Me""",Juice Newton,Juice Newton
48,"""Young Turks""",Rod Stewart,Rod Stewart
49,"""Freeze-Frame""",The J. Geils Band,The J. Geils Band
50,"""Keep the Fire Burnin'""",REO Speedwagon,REO Speedwagon
51,"""Do You Believe in Love""",Huey Lewis and the News,Huey Lewis and the News
52,"""Cool Night""",Paul Davis,Paul Davis
53,"""Caught Up In You""",.38 Special,.38 Special
54,"""Why Do Fools Fall In Love?""",Diana Ross,Diana Ross
55,"""Love in the First Degree""",Alabama,Alabama
56,"""Hooked On Classics""",Royal Philharmonic Orchestra,Royal Philharmonic Orchestra
57,"""Wasted on the Way""","Crosby, Stills & Nash","Crosby, Stills & Nash"
58,"""Think I'm in Love""",Eddie Money,Eddie Money
59,"""Love Is in Control (Finger on the Trigger)""",Donna Summer,Donna Summer
60,"""Personally""",Karla Bonoff,Karla Bonoff
61,"""One Hundred Ways""",Quincy Jones featuring James Ingram,Quincy Jones;James Ingram
62,"""Blue Eyes""",Elton John,Elton John
63,"""Our Lips Are Sealed""",The Go-Go's,The Go-Go's
64,"""You Could Have Been with Me""",Sheena Easton,Sheena Easton
65,"""You Can Do Magic""",America,America
66,"""Did It in a Minute""",Hall & Oates,Hall & Oates
67,"""I Ran (So Far Away)""",A Flock of Seagulls,A Flock of Seagulls
68,"""Somebody's Baby""",Jackson Browne,Jackson Browne
69,"""Oh No""",Commodores,Commodores
70,"""Take It Away""",Paul McCartney,Paul McCartney
71,"""It's Gonna Take a Miracle""",Deniece Williams,Deniece Williams
72,"""Love Will Turn You Around""",Kenny Rogers,Kenny Rogers
73,"""Don't Stop Believin'""",Journey,Journey
74,"""Comin' In and Out of Your Life""",Barbra Streisand,Barbra Streisand
75,"""Gloria""",Laura Branigan,Laura Branigan
76,"""Empty Garden (Hey Hey Johnny)""",Elton John,Elton John
77,"""Yesterday's Songs""",Neil Diamond,Neil Diamond
78,"""Crimson and Clover""",Joan Jett & The Blackhearts,Joan Jett & The Blackhearts
79,"""Every Little Thing She Does Is Magic""",The Police,The Police
80,"""Here I Am""",Air Supply,Air Supply
81,"""I Keep Forgettin' (Every Time You're Near)""",Michael McDonald,Michael McDonald
82,"""Get Down on It""",Kool & the Gang,Kool & the Gang
83,"""Any Day Now""",Ronnie Milsap,Ronnie Milsap
84,"""Make a Move on Me""",Olivia Newton-John,Olivia Newton-John
85,"""Take My Heart (You Can Have It If You Want It)""",Kool & the Gang,Kool & the Gang
86,"""Mirror Mirror""",Diana Ross,Diana Ross
87,"""Vacation""",The Go-Go's,The Go-Go's
88,"""Oh, Pretty Woman""",Van Halen,Van Halen
89,"""Should I Do It""",The Pointer Sisters,The Pointer Sisters
90,"""Hot in the City""",Billy Idol,Billy Idol
91,"""Kids in America""",Kim Wilde,Kim Wilde
92,"""Man on Your Mind""",Little River Band,Little River Band
93,"""What's Forever For""",Michael Murphey,Michael Murphey
94,"""Waiting on a Friend""",The Rolling Stones,The Rolling Stones
95,"""Do I Do""",Stevie Wonder,Stevie Wonder
96,"""Working for the Weekend""",Loverboy,Loverboy
97,"""Goin' Down""",Greg Guidry,Greg Guidry
98,"""Arthur's Theme (Best That You Can Do)""",Christopher Cross,Christopher Cross
99,"""Through the Years""",Kenny Rogers,Kenny Rogers
100,"""Edge of Seventeen""",Stevie Nicks,Stevie Nicks
