Rank,Title,Artist(s),Artists Separately
1,"""Physical""",Olivia Newton-John,Olivia Newton-John
2,"""Eye of the Tiger""",Survivor,Survivor
3,"""I Love Rock 'n Roll""",Joan Jett & The Blackhearts,Joan Jett & The Blackhearts
4,"""Ebony and Ivory""",Paul McCartney and Stevie Wonder,Paul McCartney;Stevie Wonder
5,"""Centerfold""",The J. Geils Band,The J. Geils Band
6,"""Don't You Want Me""",The Human League,The Human League
7,"""Jack & Diane""",John Cougar,John Cougar
8,"""Hurts So Good""",John Cougar,
9,"""Abracadabra""",Steve Miller Band,Steve Miller Band
10,"""Hard to Say I'm Sorry""",Chicago,Chicago
11,"""Tainted Love""",Soft Cell,Soft Cell
12,"""Chariots of Fire""",Vangelis,Vangelis
13,"""Harden My Heart""",Quarterflash,Quarterflash
14,"""Rosanna""",Toto,Toto
15,"""I Can't Go for That (No Can Do)""",Hall & Oates,Hall & Oates
16,"""867-5309/Jenny""",Tommy Tutone,Tommy Tutone
17,"""Key Largo""",Bertie Higgins,Bertie Higgins
18,"""You Should Hear How She Talks About You""",Melissa Manchester,Melissa Manchester
19,"""Waiting for a Girl Like You""",Foreigner,Foreigner
20,"""Don't Talk to Strangers""",Rick Springfield,Rick Springfield
21,"""The Sweetest Thing (I've Ever Known)""",Juice Newton,Juice Newton
22,"""Always on My Mind""",Willie Nelson,Willie Nelson
23,"""Shake It Up""",The Cars,The Cars
24,"""Let It Whip""",Dazz Band,Dazz Band
25,"""We Got the Beat""",The Go-Go's,The Go-Go's
26,"""The Other Woman""",Ray Parker Jr.,Ray Parker Jr.
27,"""Turn Your Love Around""",George Benson,George Benson
28,"""Sweet Dreams""",Air Supply,Air Supply
29,"""Only the Lonely""",The Motels,The Motels
30,"""Who Can It Be Now?""",Men at Work,Men at Work
31,"""Hold Me""",Fleetwood Mac,Fleetwood Mac
32,"""Eye in the Sky""",The Alan Parsons Project,The Alan Parsons Project
33,"""Let's Groove""","Earth, Wind & Fire","Earth, Wind & Fire"
34,"""Open Arms""",Journey,Journey
35,"""Leader of the Band""",Dan Fogelberg,Dan Fogelberg
36,"""Leather and Lace""",Stevie Nicks and Don Henley,Stevie Nicks;Don Henley
37,"""Even the Nights Are Better""",Air Supply,Air Supply
38,"""I've Never Been to Me""",Charlene,Charlene
39,"""'65 Love Affair""",Paul Davis,Paul Davis
40,"""Heat of the Moment""",Asia,Asia
41,"""Take It Easy on Me""",Little River Band,Little River Band
42,"""Pac-Man Fever""",Buckner & Garcia,Buckner & Garcia
