Rank,Title,Artist(s),Artists Separately
1,"""Old Town Road""",Lil Nas X featuring Billy Ray Cyrus,Lil Nas X;Billy Ray Cyrus
2,"""Sunflower""",Post Malone and Swae Lee,Post Malone;Swae Lee
3,"""Without Me""",Halsey,Halsey
4,"""Bad Guy""",Billie Eilish,Billie Eilish
5,"""Wow""",Post Malone,Post Malone
6,"""Happier""",Marshmello and Bastille,Marshmello;Bastille
7,"""7 Rings""",Ariana Grande,Ariana Grande
8,"""Talk""",Khalid,Khalid
9,"""Sicko Mode""",Travis Scott,Travis Scott
10,"""Sucker""",Jonas Brothers,Jonas Brothers
11,"""High Hopes""",Panic! at the Disco,Panic! at the Disco
12,"""Thank U, Next""",Ariana Grande,Ariana Grande
13,"""Truth Hurts""",Lizzo,Lizzo
14,"""Dancing with a Stranger""",Sam Smith and Normani,Sam Smith;Normani
15,"""Señorita""",Shawn Mendes and Camila Cabello,Shawn Mendes;Camila Cabello
16,"""I Don't Care""",Ed Sheeran and Justin Bieber,Ed Sheeran;Justin Bieber
17,"""Eastside""","Benny Blanco, Halsey and Khalid",Benny Blanco;Halsey;Khalid
18,"""Going Bad""",Meek Mill featuring Drake,Meek Mill;Drake
19,"""Shallow""",Lady Gaga and Bradley Cooper,Lady Gaga;Bradley Cooper
20,"""Better""",Khalid,Khalid
21,"""No Guidance""",Chris Brown featuring Drake,Chris Brown;Drake
22,"""Girls Like You""",Maroon 5 featuring Cardi B,Maroon 5;Cardi B
23,"""Sweet but Psycho""",Ava Max,Ava Max
24,"""Suge""",DaBaby,DaBaby
25,"""Middle Child""",J. Cole,J. Cole
26,"""Drip Too Hard""",Lil Baby and Gunna,Lil Baby;Gunna
27,"""Someone You Loved""",Lewis Capaldi,Lewis Capaldi
28,"""Ransom""",Lil Tecca,Lil Tecca
29,"""If I Can't Have You""",Shawn Mendes,Shawn Mendes
30,"""Goodbyes""",Post Malone featuring Young Thug,Post Malone;Young Thug
31,"""Zeze""",Kodak Black featuring Travis Scott and Offset,Kodak Black;Travis Scott;Offset
32,"""Better Now""",Post Malone,Post Malone
33,"""Youngblood""",5 Seconds of Summer,5 Seconds of Summer
34,"""Money in the Grave""",Drake featuring Rick Ross,Drake;Rick Ross
35,"""Speechless""",Dan + Shay,Dan + Shay
36,"""Break Up with Your Girlfriend, I'm Bored""",Ariana Grande,Ariana Grande
37,"""Please Me""",Cardi B and Bruno Mars,Cardi B;Bruno Mars
38,"""Money""",Cardi B,Cardi B
39,"""You Need to Calm Down""",Taylor Swift,Taylor Swift
40,"""Panini""",Lil Nas X,Lil Nas X
41,"""Look Back at It""",A Boogie wit da Hoodie,A Boogie wit da Hoodie
42,"""A Lot""",21 Savage,21 Savage
43,"""Me!""",Taylor Swift featuring Brendon Urie,Taylor Swift;Brendon Urie
44,"""Mia""",Bad Bunny featuring Drake,Bad Bunny;Drake
45,"""Pop Out""",Polo G featuring Lil Tjay,Polo G;Lil Tjay
46,"""Beautiful Crazy""",Luke Combs,Luke Combs
47,"""Thotiana""",Blueface,Blueface
48,"""Lucid Dreams""",Juice Wrld,Juice Wrld
49,"""Mo Bamba""",Sheck Wes,Sheck Wes
50,"""Beautiful People""",Ed Sheeran featuring Khalid,Ed Sheeran;Khalid
51,"""Wake Up in the Sky""","Gucci Mane, Bruno Mars and Kodak Black",Gucci Mane;Bruno Mars;Kodak Black
52,"""Whiskey Glasses""",Morgan Wallen,Morgan Wallen
53,"""God's Country""",Blake Shelton,Blake Shelton
54,"""Be Alright""",Dean Lewis,Dean Lewis
55,"""Pure Water""",Mustard and Migos,Mustard;Migos
56,"""The Git Up""",Blanco Brown,Blanco Brown
57,"""Taki Taki""","DJ Snake featuring Selena Gomez, Ozuna and Cardi B",DJ Snake;Selena Gomez;Ozuna;Cardi B
58,"""Close to Me""",Ellie Goulding and Diplo featuring Swae Lee,Ellie Goulding;Diplo;Swae Lee
59,"""Envy Me""",Calboy,Calboy
60,"""You Say""",Lauren Daigle,Lauren Daigle
61,"""Hey Look Ma, I Made It""",Panic! at the Disco,Panic! at the Disco
62,"""Circles""",Post Malone,Post Malone
63,"""Beer Never Broke My Heart""",Luke Combs,Luke Combs
64,"""The London""","Young Thug, J. Cole and Travis Scott",Young Thug;J. Cole;Travis Scott
65,"""Con Calma""",Daddy Yankee and Katy Perry featuring Snow,Daddy Yankee;Katy Perry;Snow
66,"""Murder on My Mind""",YNW Melly,YNW Melly
67,"""When the Party's Over""",Billie Eilish,Billie Eilish
68,"""Act Up""",City Girls,City Girls
69,"""I Like It""","Cardi B, Bad Bunny and J Balvin",Cardi B;Bad Bunny;J Balvin
70,"""Trampoline""",Shaed,Shaed
71,"""Leave Me Alone""",Flipp Dinero,Flipp Dinero
72,"""Breathin""",Ariana Grande,Ariana Grande
73,"""Bury a Friend""",Billie Eilish,Billie Eilish
74,"""Close Friends""",Lil Baby,Lil Baby
75,"""Baby Shark""",Pinkfong,Pinkfong
76,"""My Type""",Saweetie,Saweetie
77,"""Worth It""",YK Osiris,YK Osiris
78,"""Only Human""",Jonas Brothers,Jonas Brothers
79,"""Knockin' Boots""",Luke Bryan,Luke Bryan
80,"""Trip""",Ella Mai,Ella Mai
81,"""Rumor""",Lee Brice,Lee Brice
82,"""Swervin""",A Boogie wit da Hoodie featuring 6ix9ine,A Boogie wit da Hoodie;6ix9ine
83,"""How Do You Sleep?""",Sam Smith,Sam Smith
84,"""Baby""",Lil Baby and DaBaby,Lil Baby;DaBaby
85,"""Look What God Gave Her""",Thomas Rhett,Thomas Rhett
86,"""Good as You""",Kane Brown,Kane Brown
87,"""Clout""",Offset featuring Cardi B,Offset;Cardi B
88,"""Love Lies""",Khalid and Normani,Khalid;Normani
89,"""One Thing Right""",Marshmello and Kane Brown,Marshmello;Kane Brown
90,"""Cash Shit""",Megan Thee Stallion featuring DaBaby,Megan Thee Stallion;DaBaby
91,"""Tequila""",Dan + Shay,Dan + Shay
92,"""Shotta Flow""",NLE Choppa,NLE Choppa
93,"""Hot Girl Summer""",Megan Thee Stallion featuring Nicki Minaj and Ty Dolla Sign,Megan Thee Stallion;Nicki Minaj;Ty Dolla Sign
94,"""Talk You Out of It""",Florida Georgia Line,Florida Georgia Line
95,"""Beautiful""",Bazzi featuring Camila Cabello,Bazzi;Camila Cabello
96,"""Eyes on You""",Chase Rice,Chase Rice
97,"""All to Myself""",Dan + Shay,Dan + Shay
98,"""Boyfriend""",Ariana Grande and Social House,Ariana Grande;Social House
99,"""Walk Me Home""",Pink,Pink
100,"""Robbery""",Juice Wrld,Juice Wrld
