Rank,Title,Artist(s),Artists Separately
1,"""Breathe""",Faith Hill,Faith Hill
2,"""Smooth""",Santana featuring Rob Thomas,Santana;Rob Thomas
3,"""Maria Maria""",Santana featuring The Product G&B,Santana;The Product G&B
4,"""I Wanna Know""",Joe,Joe
5,"""Everything You Want""",Vertical Horizon,Vertical Horizon
6,"""Say My Name""",Destiny's Child,Destiny's Child
7,"""I Knew I Loved You""",Savage Garden,Savage Garden
8,"""Amazed""",Lonestar,Lonestar
9,"""Bent""",Matchbox Twenty,Matchbox Twenty
10,"""He Wasn't Man Enough""",Toni Braxton,Toni Braxton
11,"""Higher""",Creed,Creed
12,"""Try Again""",Aaliyah,Aaliyah
13,"""Jumpin', Jumpin'""",Destiny's Child,Destiny's Child
14,"""Thong Song""",Sisqó,Sisqó
15,"""Kryptonite""",3 Doors Down,3 Doors Down
16,"""There You Go""",Pink,Pink
17,"""Music""",Madonna,Madonna
18,"""Doesn't Really Matter""",Janet,Janet
19,"""What a Girl Wants""",Christina Aguilera,Christina Aguilera
20,"""Back at One""",Brian McKnight,Brian McKnight
21,"""Bye Bye Bye""",'N Sync,'N Sync
22,"""You Sang to Me""",Marc Anthony,Marc Anthony
23,"""I Need to Know""",Marc Anthony,Marc Anthony
24,"""Get It On Tonite""",Montell Jordan,Montell Jordan
25,"""Incomplete""",Sisqó,Sisqó
26,"""I Try""",Macy Gray,Macy Gray
27,"""It's Gonna Be Me""",'N Sync,'N Sync
28,"""That's the Way It Is""",Celine Dion,Celine Dion
29,"""Country Grammar (Hot Shit)""",Nelly,Nelly
30,"""Bring It All to Me""",Blaque,Blaque
31,"""Show Me the Meaning of Being Lonely""",Backstreet Boys,Backstreet Boys
32,"""Hot Boyz""","Missy Elliott featuring Nas, Eve and Q-Tip",Missy Elliott;Nas;Eve;Q-Tip
33,"""Back Here""",BBMak,BBMak
34,"""It Feels So Good""",Sonique,Sonique
35,"""Absolutely (Story of a Girl)""",Nine Days,Nine Days
36,"""With Arms Wide Open""",Creed,Creed
37,"""Be with You""",Enrique Iglesias,Enrique Iglesias
38,"""Come On Over Baby (All I Want Is You)""",Christina Aguilera,Christina Aguilera
39,"""No More""",Ruff Endz,Ruff Endz
40,"""All the Small Things""",Blink 182,Blink 182
41,"""The Way You Love Me""",Faith Hill,Faith Hill
42,"""I Turn to You""",Christina Aguilera,Christina Aguilera
43,"""Never Let You Go""",Third Eye Blind,Third Eye Blind
44,"""I Need You""",LeAnn Rimes,LeAnn Rimes
45,"""Thank God I Found You""",Mariah Carey featuring Joe and 98 Degrees,Mariah Carey;Joe;98 Degrees
46,"""Let's Get Married""",Jagged Edge,Jagged Edge
47,"""My Love Is Your Love""",Whitney Houston,Whitney Houston
48,"""Then the Morning Comes""",Smash Mouth,Smash Mouth
49,"""Blue (Da Ba Dee)""",Eiffel 65,Eiffel 65
50,"""Desert Rose""",Sting featuring Cheb Mami,Sting;Cheb Mami
51,"""The Real Slim Shady""",Eminem,Eminem
52,"""Most Girls""",Pink,Pink
53,"""Wifey""",Next,Next
54,"""Wonderful""",Everclear,Everclear
55,"""Oops!... I Did It Again""",Britney Spears,Britney Spears
56,"""I Wanna Love You Forever""",Jessica Simpson,Jessica Simpson
57,"""Give Me Just One Night (Una Noche)""",98 Degrees,98 Degrees
58,"""Take a Picture""",Filter,Filter
59,"""Otherside""",Red Hot Chili Peppers,Red Hot Chili Peppers
60,"""Big Pimpin'""",Jay-Z featuring UGK,Jay-Z;UGK
61,"""Purest of Pain (A Puro Dolor)""",Son by Four,Son by Four
62,"""He Can't Love U""",Jagged Edge,Jagged Edge
63,"""Separated""",Avant,Avant
64,"""I Wish""",Carl Thomas,Carl Thomas
65,"""U Know What's Up""",Donell Jones,Donell Jones
66,"""Faded""",soulDecision featuring Thrust,soulDecision;Thrust
67,"""Only God Knows Why""",Kid Rock,Kid Rock
68,"""Shake Ya Ass""",Mystikal,Mystikal
69,"""Bag Lady""",Erykah Badu,Erykah Badu
70,"""Meet Virginia""",Train,Train
71,"""Party Up (Up in Here)""",DMX,DMX
72,"""Case of the Ex (Whatcha Gonna Do)""",Mýa,Mýa
73,"""Forgot About Dre""",Dr. Dre featuring Eminem,Dr. Dre;Eminem
