Rank,Title,Artist(s),Artists Separately
37,"""Sunshine""",Jonathan Edwards,Jonathan Edwards
38,"""Starting All Over Again""",Mel and Tim,Mel and Tim
39,"""Day After Day""",Badfinger,Badfinger
40,"""Rocket Man""",Elton John,Elton John
41,"""Rockin' Robin""",Michael Jackson,Michael Jackson
42,"""Beautiful Sunday""",Daniel Boone,Daniel Boone
43,"""Scorpio""",Dennis Coffey,Dennis Coffey
44,"""Morning Has Broken""",Cat Stevens,Cat Stevens
45,"""City of New Orleans""",Arlo Guthrie,Arlo Guthrie
46,"""Garden Party""",Ricky Nelson,Ricky Nelson
47,"""I Can See Clearly Now""",Johnny Nash,Johnny Nash
48,"""Burning Love""",Elvis Presley,Elvis Presley
49,"""Clean Up Woman""",Betty Wright,Betty Wright
50,"""Hold Your Head Up""",Argent,Argent
51,"""Jungle Fever""",The Chakachas,The Chakachas
52,"""Everything I Own""",Bread,Bread
53,"""In the Rain""",The Dramatics,The Dramatics
54,"""Look What You Done for Me""",Al Green,Al Green
55,"""The Happiest Girl in the Whole U.S.A.""",Donna Fargo,Donna Fargo
56,"""Bang a Gong (Get it On)""",T. Rex,T. Rex
57,"""Mother and Child Reunion""",Paul Simon,Paul Simon
58,"""Where Is the Love""",Roberta Flack & Donny Hathaway,Roberta Flack;Donny Hathaway
59,"""I'm Still in Love with You""",Al Green,Al Green
60,"""Layla""",Derek and the Dominos,Derek and the Dominos
61,"""Day Dreaming""",Aretha Franklin,Aretha Franklin
62,"""The Way of Love""",Cher,Cher
63,"""Black and White""",Three Dog Night,Three Dog Night
64,"""Sylvia's Mother""",Dr. Hook & the Medicine Show,Dr. Hook & the Medicine Show
65,"""Hurting Each Other""",The Carpenters,The Carpenters
66,"""Coconut""",Harry Nilsson,Harry Nilsson
67,"""Puppy Love""",Donny Osmond,Donny Osmond
68,"""You Don't Mess Around with Jim""",Jim Croce,Jim Croce
69,"""Hot Rod Lincoln""",Commander Cody and His Lost Planet Airmen,Commander Cody and His Lost Planet Airmen
70,"""A Cowboy's Work Is Never Done""",Sonny & Cher,Sonny & Cher
71,"""Joy""",Apollo 100,Apollo 100
72,"""Anticipation""",Carly Simon,Carly Simon
73,"""Never Been to Spain""",Three Dog Night,Three Dog Night
74,"""Kiss an Angel Good Mornin'""",Charley Pride,Charley Pride
75,"""School's Out""",Alice Cooper,Alice Cooper
76,"""Saturday in the Park""",Chicago,Chicago
77,"""Drowning in the Sea of Love""",Joe Simon,Joe Simon
78,"""Use Me""",Bill Withers,Bill Withers
79,"""Family Affair""",Sly & the Family Stone,Sly & the Family Stone
80,"""Troglodyte (Cave Man)""",The Jimmy Castor Bunch,The Jimmy Castor Bunch
81,"""The Witch Queen of New Orleans""",Redbone,Redbone
82,"""Freddie's Dead""",Curtis Mayfield,Curtis Mayfield
83,"""Power of Love""",Joe Simon,Joe Simon
84,"""Ain't Understanding Mellow""",Jerry Butler & Brenda Lee Eager,Jerry Butler;Brenda Lee Eager
85,"""Taxi""",Harry Chapin,Harry Chapin
86,"""Don't Say You Don't Remember""",Beverly Bremers,Beverly Bremers
87,"""Sealed with a Kiss""",Bobby Vinton,Bobby Vinton
88,"""I Saw the Light""",Todd Rundgren,Todd Rundgren
89,"""Motorcycle Mama""",Sailcat,Sailcat
90,"""Day by Day""",Original Cast of Godspell,Original Cast of Godspell
91,"""Roundabout""",Yes,Yes
92,"""Doctor My Eyes""",Jackson Browne,Jackson Browne
93,"""I'd Like to Teach the World to Sing (In Perfect Harmony)""",The New Seekers,The New Seekers
94,"""Vincent""",Don McLean,Don McLean
95,"""Baby Let Me Take You (In My Arms)""",The Detroit Emeralds,The Detroit Emeralds
96,"""Speak to the Sky""",Rick Springfield,Rick Springfield
97,"""I'd Like to Teach the World to Sing (In Perfect Harmony)""",The Hillside Singers,The Hillside Singers
98,"""Walkin' in the Rain with the One I Love""",Love Unlimited,Love Unlimited
99,"""Get on the Good Foot""",James Brown,James Brown
100,"""Pop That Thang""",The Isley Brothers,The Isley Brothers
