Rank,Title,Artist(s),Artists Separately
1,"""The First Time Ever I Saw Your Face""",Roberta Flack,Roberta Flack
2,"""Alone Again (Naturally)""",Gilbert O'Sullivan,Gilbert O'Sullivan
3,"""American Pie""",Don McLean,Don McLean
4,"""Without You""",Harry Nilsson,Harry Nilsson
5,"""The Candy Man""",Sammy Davis Jr.,Sammy Davis Jr.
6,"""I Gotcha""",Joe Tex,Joe Tex
7,"""Lean on Me""",Bill Withers,Bill Withers
8,"""Baby, Don't Get Hooked on Me""",Mac Davis,Mac Davis
9,"""Brand New Key""",Melanie,Melanie
10,"""Daddy Don't You Walk So Fast""",Wayne Newton,Wayne Newton
11,"""Let's Stay Together""",Al Green,Al Green
12,"""Brandy (You're a Fine Girl)""",Looking Glass,Looking Glass
13,"""Oh Girl""",The Chi-Lites,The Chi-Lites
14,"""Nice to Be with You""",Gallery,Gallery
15,"""My Ding-a-Ling""",Chuck Berry,Chuck Berry
16,"""(If Loving You Is Wrong) I Don't Want to Be Right""",Luther Ingram,Luther Ingram
17,"""Heart of Gold""",Neil Young,Neil Young
18,"""Betcha by Golly, Wow""",The Stylistics,The Stylistics
19,"""I'll Take You There""",The Staple Singers,The Staple Singers
20,"""Ben""",Michael Jackson,Michael Jackson
21,"""The Lion Sleeps Tonight""",Robert John,Robert John
22,"""Outa-Space""",Billy Preston,Billy Preston
23,"""Slippin' into Darkness""",War,War
24,"""Long Cool Woman in a Black Dress""",The Hollies,The Hollies
25,"""How Do You Do""",Mouth & MacNeal,Mouth & MacNeal
26,"""Song Sung Blue""",Neil Diamond,Neil Diamond
27,"""A Horse with No Name""",America,America
28,"""Popcorn""",Hot Butter,Hot Butter
29,"""Everybody Plays the Fool""",The Main Ingredient,The Main Ingredient
30,"""Precious and Few""",Climax,Climax
31,"""(Last Night) I Didn't Get to Sleep at All""",The 5th Dimension,The 5th Dimension
32,"""Nights in White Satin""",The Moody Blues,The Moody Blues
33,"""Go All the Way""",Raspberries,Raspberries
34,"""Too Late to Turn Back Now""",Cornelius Brothers & Sister Rose,Cornelius Brothers & Sister Rose
35,"""Back Stabbers""",The O'Jays,The O'Jays
36,"""Down by the Lazy River""",The Osmonds,The Osmonds
