Rank,Title,Artist(s),Artists Separately
1,"""Candle in the Wind 1997"" / ""Something About the Way You Look Tonight""",Elton John,Elton John
2,"""You Were Meant for Me"" / ""Foolish Games""",Jewel,Jewel
3,"""I'll Be Missing You""",Puff Daddy and Faith Evans featuring 112,Puff Daddy;Faith Evans;112
4,"""Un-Break My Heart""",Toni Braxton,Toni Braxton
5,"""Can't Nobody Hold Me Down""",Puff Daddy featuring Mase,Puff Daddy;Mase
6,"""I Believe I Can Fly""",R. Kelly,R. Kelly
7,"""Don't Let Go (Love)""",En Vogue,En Vogue
8,"""Return of the Mack""",Mark Morrison,Mark Morrison
9,"""How Do I Live""",LeAnn Rimes,LeAnn Rimes
10,"""Wannabe""",Spice Girls,Spice Girls
11,"""Quit Playing Games (With My Heart)""",Backstreet Boys,Backstreet Boys
12,"""MMMBop""",Hanson,Hanson
13,"""For You I Will""",Monica,Monica
14,"""You Make Me Wanna...""",Usher,Usher
15,"""Bitch""",Meredith Brooks,Meredith Brooks
16,"""Nobody""",Keith Sweat featuring Athena Cage,Keith Sweat;Athena Cage
17,"""Semi-Charmed Life""",Third Eye Blind,Third Eye Blind
18,"""Barely Breathing""",Duncan Sheik,Duncan Sheik
19,"""Hard to Say I'm Sorry""",Az Yet featuring Peter Cetera,Az Yet;Peter Cetera
20,"""Mo Money Mo Problems""",The Notorious B.I.G. featuring Puff Daddy and Mase,The Notorious B.I.G.;Puff Daddy;Mase
21,"""The Freshmen""",The Verve Pipe,The Verve Pipe
22,"""I Want You""",Savage Garden,Savage Garden
23,"""No Diggity""",Blackstreet featuring Dr. Dre,Blackstreet;Dr. Dre
24,"""I Belong to You (Every Time I See Your Face)""",Rome,Rome
25,"""Hypnotize""",The Notorious B.I.G.,The Notorious B.I.G.
26,"""Every Time I Close My Eyes""",Babyface,Babyface
27,"""In My Bed""",Dru Hill,Dru Hill
28,"""Say You'll Be There""",Spice Girls,Spice Girls
29,"""Do You Know (What It Takes)""",Robyn,Robyn
30,"""4 Seasons of Loneliness""",Boyz II Men,Boyz II Men
