Rank,Title,Artist(s),Artists Separately
1,"""Love Will Keep Us Together""",Captain & Tennille,Captain & Tennille
2,"""Rhinestone Cowboy""",Glen Campbell,Glen Campbell
3,"""Philadelphia Freedom""",Elton John,Elton John
4,"""Before the Next Teardrop Falls""",Freddy Fender,Freddy Fender
5,"""My Eyes Adored You""",Frankie Valli,Frankie Valli
6,"""Some Kind of Wonderful""",Grand Funk Railroad,Grand Funk Railroad
7,"""Shining Star""","Earth, Wind & Fire","Earth, Wind & Fire"
8,"""Fame""",David Bowie,David Bowie
9,"""Laughter in the Rain""",Neil Sedaka,Neil Sedaka
10,"""One of These Nights""",Eagles,Eagles
11,"""Thank God I'm a Country Boy""",John Denver,John Denver
12,"""Jive Talkin'""",Bee Gees,Bee Gees
13,"""Best of My Love""",Eagles,Eagles
14,"""Lovin' You""",Minnie Riperton,Minnie Riperton
15,"""Kung Fu Fighting""",Carl Douglas,Carl Douglas
16,"""Black Water""",The Doobie Brothers,The Doobie Brothers
17,"""The Ballroom Blitz""",Sweet,Sweet
18,"""(Hey Won't You Play) Another Somebody Done Somebody Wrong Song""",B.J. Thomas,B.J. Thomas
19,"""He Don't Love You (Like I Love You)""",Tony Orlando and Dawn,Tony Orlando and Dawn
20,"""At Seventeen""",Janis Ian,Janis Ian
21,"""Pick Up the Pieces""",Average White Band,Average White Band
22,"""The Hustle""",Van McCoy & the Soul City Symphony,Van McCoy & the Soul City Symphony
23,"""Lady Marmalade""",Labelle,Labelle
24,"""Why Can't We Be Friends?""",War,War
25,"""Love Won't Let Me Wait""",Major Harris,Major Harris
26,"""Boogie On Reggae Woman""",Stevie Wonder,Stevie Wonder
27,"""Wasted Days and Wasted Nights""",Freddy Fender,Freddy Fender
28,"""Angie Baby""",Helen Reddy,Helen Reddy
29,"""Fight the Power""",The Isley Brothers,The Isley Brothers
30,"""Jackie Blue""",Ozark Mountain Daredevils,Ozark Mountain Daredevils
31,"""Fire""",Ohio Players,Ohio Players
32,"""Magic""",Pilot,Pilot
33,"""Please Mr. Postman""",The Carpenters,The Carpenters
34,"""Sister Golden Hair""",America,America
35,"""Lucy in the Sky with Diamonds""",Elton John,Elton John
36,"""Mandy""",Barry Manilow,Barry Manilow
37,"""Have You Never Been Mellow""",Olivia Newton-John,Olivia Newton-John
38,"""Could It Be Magic""",Barry Manilow,Barry Manilow
39,"""Cat's in the Cradle""",Harry Chapin,Harry Chapin
40,"""Wildfire""",Michael Martin Murphey,Michael Martin Murphey
41,"""I'm Not Lisa""",Jessi Colter,Jessi Colter
42,"""Listen to What the Man Said""",Wings,Wings
43,"""I'm Not in Love""",10cc,10cc
44,"""I Can Help""",Billy Swan,Billy Swan
45,"""Fallin' in Love""","Hamilton, Joe Frank & Reynolds","Hamilton, Joe Frank & Reynolds"
46,"""Feelings""",Morris Albert,Morris Albert
47,"""When Will I Be Loved""",Linda Ronstadt,Linda Ronstadt
48,"""Chevy Van""",Sammy Johns,Sammy Johns
49,"""You're the First, the Last, My Everything""",Barry White,Barry White
50,"""Please Mr. Please""",Olivia Newton-John,Olivia Newton-John
51,"""You're No Good""",Linda Ronstadt,Linda Ronstadt
52,"""Dynomite""",Bazuka,Bazuka
53,"""Walking in Rhythm""",The Blackbyrds,The Blackbyrds
54,"""The Way We Were""/""Try to Remember""",Gladys Knight & the Pips,Gladys Knight & the Pips
55,"""Midnight Blue""",Melissa Manchester,Melissa Manchester
56,"""Don't Call Us, We'll Call You""",Sugarloaf,Sugarloaf
57,"""Poetry Man""",Phoebe Snow,Phoebe Snow
58,"""How Long?""",Ace,Ace
59,"""Express""",B.T. Express,B.T. Express
60,"""That's the Way of the World""","Earth, Wind & Fire","Earth, Wind & Fire"
61,"""Lady""",Styx,Styx
62,"""Bad Time""",Grand Funk,Grand Funk
63,"""Only Women Bleed""",Alice Cooper,Alice Cooper
64,"""Doctor's Orders""",Carol Douglas,Carol Douglas
65,"""Get Down Tonight""",KC and the Sunshine Band,KC and the Sunshine Band
66,"""One Man Woman/One Woman Man""",Paul Anka & Odia Coates,Paul Anka;Odia Coates
67,"""You Are So Beautiful""",Joe Cocker,Joe Cocker
68,"""Feel Like Makin' Love""",Bad Company,Bad Company
69,"""How Sweet It Is (To Be Loved by You)""",James Taylor,James Taylor
70,"""Dance with Me""",Orleans,Orleans
71,"""Cut the Cake""",Average White Band,Average White Band
72,"""Never Can Say Goodbye""",Gloria Gaynor,Gloria Gaynor
73,"""I Don't Like to Sleep Alone""",Paul Anka & Odia Coates,Paul Anka;Odia Coates
74,"""Morning Side of the Mountain""",Donny & Marie Osmond,Donny;Marie Osmond
75,"""When Will I See You Again""",The Three Degrees,The Three Degrees
76,"""Get Down, Get Down (Get on the Floor)""",Joe Simon,Joe Simon
77,"""I'm Sorry""",John Denver,John Denver
78,"""Killer Queen""",Queen,Queen
79,"""Shoeshine Boy""",Eddie Kendricks,Eddie Kendricks
80,"""Do It ('Til You're Satisfied)""",B.T. Express,B.T. Express
81,"""Can't Get It Out of My Head""",Electric Light Orchestra,Electric Light Orchestra
82,"""Sha-La-La (Make Me Happy)""",Al Green,Al Green
83,"""Lonely People""",America,America
84,"""You Got the Love""",Rufus,Rufus
85,"""The Rockford Files Theme""",Mike Post,Mike Post
86,"""It Only Takes a Minute""",Tavares,Tavares
87,"""No No Song""",Ringo Starr,Ringo Starr
88,"""Junior's Farm""",Paul McCartney & Wings,Paul McCartney & Wings
89,"""Bungle in the Jungle""",Jethro Tull,Jethro Tull
90,"""Long Tall Glasses (I Can Dance)""",Leo Sayer,Leo Sayer
91,"""Misty""",Ray Stevens,Ray Stevens
92,"""Someone Saved My Life Tonight""",Elton John,Elton John
93,"""Bad Blood""",Neil Sedaka,Neil Sedaka
94,"""Only Yesterday""",The Carpenters,The Carpenters
95,"""I'm on Fire""",Dwight Twilley Band,Dwight Twilley Band
96,"""Only You (And You Alone)""",Ringo Starr,Ringo Starr
97,"""Third Rate Romance""",Amazing Rhythm Aces,Amazing Rhythm Aces
98,"""You Ain't Seen Nothing Yet""",Bachman–Turner Overdrive,Bachman–Turner Overdrive
99,"""Swearin' to God""",Frankie Valli,Frankie Valli
