Rank,Title,Artist(s),Artists Separately
1,"""Shape of You""",Ed Sheeran,Ed Sheeran
2,"""Despacito (Remix)""",Luis Fonsi and Daddy Yankee featuring Justin Bieber,Luis Fonsi;Daddy Yankee;Justin Bieber
3,"""That's What I Like""",Bruno Mars,Bruno Mars
4,"""Humble""",Kendrick Lamar,Kendrick Lamar
5,"""Something Just Like This""",The Chainsmokers and Coldplay,The Chainsmokers;Coldplay
6,"""Bad and Boujee""",Migos featuring Lil Uzi Vert,Migos;Lil Uzi Vert
7,"""Closer""",The Chainsmokers featuring Halsey,The Chainsmokers;Halsey
8,"""Body Like a Back Road""",Sam Hunt,Sam Hunt
9,"""Believer""",Imagine Dragons,Imagine Dragons
10,"""Congratulations""",Post Malone featuring Quavo,Post Malone;Quavo
11,"""Say You Won't Let Go""",James Arthur,James Arthur
12,"""I'm the One""","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne",DJ Khaled;Justin Bieber;Quavo;Chance the Rapper;Lil Wayne
13,"""XO Tour Llif3""",Lil Uzi Vert,Lil Uzi Vert
14,"""Mask Off""",Future,Future
15,"""Unforgettable""",French Montana featuring Swae Lee,French Montana;Swae Lee
16,"""24K Magic""",Bruno Mars,Bruno Mars
17,"""Stay""",Zedd and Alessia Cara,Zedd;Alessia Cara
18,"""Wild Thoughts""",DJ Khaled featuring Rihanna and Bryson Tiller,DJ Khaled;Rihanna;Bryson Tiller
19,"""Black Beatles""",Rae Sremmurd featuring Gucci Mane,Rae Sremmurd;Gucci Mane
20,"""Starboy""",The Weeknd featuring Daft Punk,The Weeknd;Daft Punk
21,"""Location""",Khalid,Khalid
22,"""Attention""",Charlie Puth,Charlie Puth
23,"""There's Nothing Holdin' Me Back""",Shawn Mendes,Shawn Mendes
24,"""Bodak Yellow""",Cardi B,Cardi B
25,"""Redbone""",Childish Gambino,Childish Gambino
26,"""I Don't Wanna Live Forever""",Zayn and Taylor Swift,Zayn;Taylor Swift
27,"""It Ain't Me""",Kygo and Selena Gomez,Kygo;Selena Gomez
