Rank,Title,Artist(s),Artists Separately
1,"""Surfin' U.S.A.""",The Beach Boys,The Beach Boys
2,"""The End of the World""",Skeeter Davis,Skeeter Davis
3,"""Rhythm of the Rain""",The Cascades,The Cascades
4,"""He's So Fine""",The Chiffons,The Chiffons
5,"""Blue Velvet""",Bobby Vinton,Bobby Vinton
6,"""Hey Paula""",Paul & Paula,Paul & Paula
7,"""Fingertips""",Little Stevie Wonder,Little Stevie Wonder
8,"""Can't Get Used to Losing You""",Andy Williams,Andy Williams
9,"""My Boyfriend's Back""",The Angels,The Angels
10,"""Sukiyaki""",Kyu Sakamoto,Kyu Sakamoto
11,"""So Much in Love""",The Tymes,The Tymes
12,"""Puff, the Magic Dragon""","Peter, Paul & Mary","Peter, Paul & Mary"
13,"""Blowin' in the Wind""","Peter, Paul & Mary","Peter, Paul & Mary"
14,"""Wipe Out""",The Surfaris,The Surfaris
15,"""I Love You Because""",Al Martino,Al Martino
16,"""Wild Weekend""",The Rebels,The Rebels
17,"""You're the Reason I'm Living""",Bobby Darin,Bobby Darin
18,"""Walk Like a Man""",The Four Seasons,The Four Seasons
19,"""Mockingbird""",Inez & Charlie Foxx,Inez & Charlie Foxx
20,"""I Will Follow Him""",Little Peggy March,Little Peggy March
21,"""Pipeline""",The Chantays,The Chantays
22,"""Surf City""",Jan & Dean,Jan & Dean
23,"""It's My Party""",Lesley Gore,Lesley Gore
24,"""Blame It on the Bossa Nova""",Eydie Gormé,Eydie Gormé
25,"""You Can't Sit Down""",The Dovells,The Dovells
26,"""Heat Wave""",Martha and the Vandellas,Martha and the Vandellas
27,"""Denise""",Randy & the Rainbows,Randy & the Rainbows
28,"""Walk Right In""",The Rooftop Singers,The Rooftop Singers
29,"""If You Wanna Be Happy""",Jimmy Soul,Jimmy Soul
30,"""If I Had a Hammer""",Trini Lopez,Trini Lopez
31,"""Easier Said Than Done""",The Essex,The Essex
32,"""Ruby Baby""",Dion,Dion
33,"""Our Day Will Come""",Ruby & the Romantics,Ruby & the Romantics
34,"""Hello Stranger""",Barbara Lewis,Barbara Lewis
35,"""Be My Baby""",The Ronettes,The Ronettes
36,"""South Street""",The Orlons,The Orlons
37,"""Days of Wine and Roses""",Henry Mancini,Henry Mancini
38,"""The Monkey Time""",Major Lance,Major Lance
39,"""Candy Girl""",The Four Seasons,The Four Seasons
40,"""Sugar Shack""",Jimmy Gilmer and the Fireballs,Jimmy Gilmer and the Fireballs
41,"""Still""",Bill Anderson,Bill Anderson
42,"""Blue on Blue""",Bobby Vinton,Bobby Vinton
43,"""Cry Baby""",Garnet Mimms & the Enchanters,Garnet Mimms
44,"""Two Faces Have I""",Lou Christie,Lou Christie
45,"""Busted""",Ray Charles,Ray Charles
46,"""Da Doo Ron Ron""",The Crystals,The Crystals
47,"""Foolish Little Girl""",The Shirelles,The Shirelles
48,"""Memphis""",Lonnie Mack,Lonnie Mack
49,"""In Dreams""",Roy Orbison,Roy Orbison
50,"""More""",Kai Winding,Kai Winding
51,"""I Can't Stay Mad at You""",Skeeter Davis,Skeeter Davis
52,"""Losing You""",Brenda Lee,Brenda Lee
53,"""Mean Woman Blues""",Roy Orbison,Roy Orbison
54,"""Our Winter Love""",Bill Pursell,Bill Pursell
