Rank,Title,Artist(s),Artists Separately
1,"""Call Me""",Blondie,Blondie
2,"""Another Brick in the Wall, Part II""",Pink Floyd,Pink Floyd
3,"""Magic""",Olivia Newton-John,Olivia Newton-John
4,"""Rock with You""",Michael Jackson,Michael Jackson
5,"""Do That to Me One More Time""",Captain & Tennille,Captain & Tennille
6,"""Crazy Little Thing Called Love""",Queen,Queen
7,"""Coming Up""",Paul McCartney,Paul McCartney
8,"""Funkytown""",Lipps Inc,Lipps Inc
9,"""It's Still Rock and Roll to Me""",Billy Joel,Billy Joel
10,"""The Rose""",Bette Midler,Bette Midler
11,"""Escape (The Piña Colada Song)""",Rupert Holmes,Rupert Holmes
12,"""Cars""",Gary Numan,Gary Numan
13,"""Cruisin""",Smokey Robinson,Smokey Robinson
14,"""Working My Way Back to You/Forgive Me, Girl""",The Spinners,The Spinners
15,"""Lost in Love""",Air Supply,Air Supply
16,"""Little Jeannie""",Elton John,Elton John
17,"""Ride Like the Wind""",Christopher Cross,Christopher Cross
18,"""Upside Down""",Diana Ross,Diana Ross
19,"""Please Don't Go""",KC and the Sunshine Band,KC and the Sunshine Band
20,"""Babe""",Styx,Styx
21,"""With You I'm Born Again""",Billy Preston and Syreeta,Billy Preston;Syreeta
22,"""Shining Star""",The Manhattans,The Manhattans
23,"""Still""",Commodores,Commodores
24,"""Yes, I'm Ready""",Teri DeSario & KC,Teri DeSario;KC
25,"""Sexy Eyes""",Dr. Hook,Dr. Hook
26,"""Steal Away""",Robbie Dupree,Robbie Dupree
27,"""Biggest Part of Me""",Ambrosia,Ambrosia
28,"""This Is It""",Kenny Loggins,Kenny Loggins
29,"""Cupid/I've Loved You for a Long Time""",The Spinners,The Spinners
30,"""Let's Get Serious""",Jermaine Jackson,Jermaine Jackson
31,"""Don't Fall in Love with a Dreamer""",Kenny Rogers & Kim Carnes,Kenny Rogers;Kim Carnes
32,"""Sailing""",Christopher Cross,Christopher Cross
33,"""Longer""",Dan Fogelberg,Dan Fogelberg
