Rank,Title,Artist(s),Artists Separately
1,"""Faith""",George Michael,George Michael
2,"""Need You Tonight""",INXS,INXS
3,"""Got My Mind Set on You""",George Harrison,George Harrison
4,"""Never Gonna Give You Up""",Rick Astley,Rick Astley
5,"""Sweet Child o' Mine""",Guns N' Roses,Guns N' Roses
6,"""So Emotional""",Whitney Houston,Whitney Houston
7,"""Heaven Is a Place on Earth""",Belinda Carlisle,Belinda Carlisle
8,"""Could've Been""",Tiffany,Tiffany
9,"""Hands to Heaven""",Breathe,Breathe
10,"""Roll with It""",Steve Winwood,Steve Winwood
11,"""One More Try""",George Michael,George Michael
12,"""Wishing Well""",Terence Trent D'Arby,Terence Trent D'Arby
13,"""Anything for You""",Gloria Estefan and Miami Sound Machine,Gloria Estefan and Miami Sound Machine
14,"""The Flame""",Cheap Trick,Cheap Trick
15,"""Get Outta My Dreams, Get into My Car""",Billy Ocean,Billy Ocean
16,"""Seasons Change""",Exposé,Exposé
17,"""Is This Love""",Whitesnake,Whitesnake
18,"""Wild, Wild West""",The Escape Club,The Escape Club
19,"""Pour Some Sugar on Me""",Def Leppard,Def Leppard
20,"""I'll Always Love You""",Taylor Dayne,Taylor Dayne
21,"""Man in the Mirror""",Michael Jackson,Michael Jackson
22,"""Shake Your Love""",Debbie Gibson,Debbie Gibson
23,"""Simply Irresistible""",Robert Palmer,Robert Palmer
24,"""Hold On to the Nights""",Richard Marx,Richard Marx
25,"""Hungry Eyes""",Eric Carmen,Eric Carmen
26,"""Shattered Dreams""",Johnny Hates Jazz,Johnny Hates Jazz
27,"""Father Figure""",George Michael,George Michael
28,"""Naughty Girls (Need Love Too)""",Samantha Fox,Samantha Fox
29,"""A Groovy Kind of Love""",Phil Collins,Phil Collins
30,"""Love Bites""",Def Leppard,Def Leppard
31,"""Endless Summer Nights""",Richard Marx,Richard Marx
32,"""Foolish Beat""",Debbie Gibson,Debbie Gibson
33,"""Where Do Broken Hearts Go""",Whitney Houston,Whitney Houston
34,"""Angel""",Aerosmith,Aerosmith
35,"""A Hazy Shade of Winter""",The Bangles,The Bangles
36,"""The Way You Make Me Feel""",Michael Jackson,Michael Jackson
37,"""Don't Worry, Be Happy""",Bobby McFerrin,Bobby McFerrin
38,"""Make Me Lose Control""",Eric Carmen,Eric Carmen
39,"""Red Red Wine""",UB40,UB40
40,"""She's Like the Wind""",Patrick Swayze featuring Wendy Fraser,Patrick Swayze
41,"""Bad Medicine""",Bon Jovi,Bon Jovi
42,"""Kokomo""",The Beach Boys,The Beach Boys
43,"""I Don't Wanna Go on with You Like That""",Elton John,Elton John
44,"""Together Forever""",Rick Astley,Rick Astley
45,"""Monkey""",George Michael,George Michael
46,"""Devil Inside""",INXS,INXS
47,"""Should've Known Better""",Richard Marx,Richard Marx
48,"""I Don't Wanna Live Without Your Love""",Chicago,Chicago
49,"""The Loco-Motion""",Kylie Minogue,Kylie Minogue
