Rank,Title,Artist(s),Artists Separately
50,"""What Have I Done to Deserve This?""",Pet Shop Boys with Dusty Springfield,Pet Shop Boys;Dusty Springfield
51,"""Make It Real""",The Jets,The Jets
52,"""What's On Your Mind (Pure Energy)""",Information Society,Information Society
53,"""Tell It to My Heart""",Taylor Dayne,Taylor Dayne
54,"""Out of the Blue""",Debbie Gibson,Debbie Gibson
55,"""Don't You Want Me""",Jody Watley,Jody Watley
56,"""Desire""",U2,U2
57,"""I Get Weak""",Belinda Carlisle,Belinda Carlisle
58,"""Sign Your Name""",Terence Trent D'Arby,Terence Trent D'Arby
59,"""I Want to Be Your Man""",Roger,Roger
60,"""Girlfriend""",Pebbles,Pebbles
61,"""Dirty Diana""",Michael Jackson,Michael Jackson
62,"""1-2-3""",Gloria Estefan and Miami Sound Machine,Gloria Estefan and Miami Sound Machine
63,"""Mercedes Boy""",Pebbles,Pebbles
64,"""Perfect World""",Huey Lewis and the News,Huey Lewis and the News
65,"""New Sensation""",INXS,INXS
66,"""Catch Me (I'm Falling)""",Pretty Poison,Pretty Poison
67,"""If It Isn't Love""",New Edition,New Edition
68,"""Rocket 2 U""",The Jets,The Jets
69,"""One Good Woman""",Peter Cetera,Peter Cetera
70,"""Don't Be Cruel""",Cheap Trick,Cheap Trick
71,"""Candle in the Wind""",Elton John,Elton John
72,"""Everything Your Heart Desires""",Daryl Hall & John Oates,Daryl Hall & John Oates
73,"""Say You Will""",Foreigner,Foreigner
74,"""I Want Her""",Keith Sweat,Keith Sweat
75,"""Pink Cadillac""",Natalie Cole,Natalie Cole
76,"""Fast Car""",Tracy Chapman,Tracy Chapman
77,"""Electric Blue""",Icehouse,Icehouse
78,"""The Valley Road""",Bruce Hornsby and the Range,Bruce Hornsby and the Range
79,"""Don't Be Cruel""",Bobby Brown,Bobby Brown
80,"""Always on My Mind""",Pet Shop Boys,Pet Shop Boys
81,"""Piano in the Dark""",Brenda Russell featuring Joe Esposito,Brenda Russell;Joe Esposito
82,"""When It's Love""",Van Halen,Van Halen
83,"""Don't Shed a Tear""",Paul Carrack,Paul Carrack
84,"""We'll Be Together""",Sting,Sting
85,"""I Hate Myself for Loving You""",Joan Jett and the Blackhearts,Joan Jett and the Blackhearts
86,"""I Don't Want to Live Without You""",Foreigner,Foreigner
87,"""Nite and Day""",Al B. Sure!,Al B. Sure!
88,"""Don't You Know What the Night Can Do?""",Steve Winwood,Steve Winwood
89,"""One Moment in Time""",Whitney Houston,Whitney Houston
90,"""Can't Stay Away from You""",Gloria Estefan and Miami Sound Machine,Gloria Estefan and Miami Sound Machine
91,"""Kissing a Fool""",George Michael,George Michael
92,"""Cherry Bomb""",John Cougar Mellencamp,John Cougar Mellencamp
93,"""I Still Believe""",Brenda K. Starr,Brenda K. Starr
94,"""I Found Someone""",Cher,Cher
95,"""Never Tear Us Apart""",INXS,INXS
96,"""Valerie""",Steve Winwood,Steve Winwood
97,"""Just Like Paradise""",David Lee Roth,David Lee Roth
98,"""Nothin' but a Good Time""",Poison,Poison
99,"""Wait""",White Lion,White Lion
100,"""Prove Your Love""",Taylor Dayne,Taylor Dayne
