Rank,Title,Artist(s),Artists Separately
1,"""Hold On""",Wilson Phillips,Wilson Phillips
2,"""It Must Have Been Love""",Roxette,Roxette
3,"""Nothing Compares 2 U""",Sinéad O'Connor,Sinéad O'Connor
4,"""Poison""",Bell Biv DeVoe,Bell Biv DeVoe
5,"""Vogue""",Madonna,Madonna
6,"""Vision of Love""",Mariah Carey,Mariah Carey
7,"""Another Day in Paradise""",Phil Collins,Phil Collins
8,"""Hold On""",En Vogue,En Vogue
9,"""Cradle of Love""",Billy Idol,Billy Idol
10,"""Blaze of Glory""",Jon Bon Jovi,Jon Bon Jovi
11,"""Do Me!""",Bell Biv DeVoe,Bell Biv DeVoe
12,"""How Am I Supposed to Live Without You""",Michael Bolton,Michael Bolton
13,"""Pump Up the Jam""",Technotronic,Technotronic
14,"""Opposites Attract""",Paula Abdul,Paula Abdul
15,"""Escapade""",Janet Jackson,Janet Jackson
16,"""All I Wanna Do Is Make Love to You""",Heart,Heart
17,"""Close to You""",Maxi Priest,Maxi Priest
18,"""Black Velvet""",Alannah Myles,Alannah Myles
19,"""Release Me""",Wilson Phillips,Wilson Phillips
20,"""Don't Know Much""",Linda Ronstadt featuring Aaron Neville,Linda Ronstadt;Aaron Neville
21,"""All Around the World""",Lisa Stansfield,Lisa Stansfield
22,"""I Wanna Be Rich""",Calloway,Calloway
23,"""Rub You the Right Way""",Johnny Gill,Johnny Gill
24,"""She Ain't Worth It""",Glenn Medeiros featuring Bobby Brown,Glenn Medeiros;Bobby Brown
25,"""If Wishes Came True""",Sweet Sensation,Sweet Sensation
26,"""The Power""",Snap!,Snap!
27,"""(Can't Live Without Your) Love and Affection""",Nelson,Nelson
28,"""Love Will Lead You Back""",Taylor Dayne,Taylor Dayne
29,"""Don't Wanna Fall in Love""",Jane Child,Jane Child
30,"""Two to Make It Right""",Seduction,Seduction
31,"""Sending All My Love""",Linear,Linear
32,"""Unskinny Bop""",Poison,Poison
33,"""Step by Step""",New Kids on the Block,New Kids on the Block
34,"""Dangerous""",Roxette,Roxette
35,"""We Didn't Start the Fire""",Billy Joel,Billy Joel
36,"""I Don't Have the Heart""",James Ingram,James Ingram
37,"""Downtown Train""",Rod Stewart,Rod Stewart
38,"""Rhythm Nation""",Janet Jackson,Janet Jackson
39,"""I'll Be Your Everything""",Tommy Page,Tommy Page
40,"""Roam""",The B-52's,The B-52's
41,"""Everything""",Jody Watley,Jody Watley
42,"""Back to Life (However Do You Want Me)""",Soul II Soul featuring Caron Wheeler,Soul II Soul;Caron Wheeler
43,"""Here and Now""",Luther Vandross,Luther Vandross
44,"""Alright""",Janet Jackson,Janet Jackson
45,"""Ice Ice Baby""",Vanilla Ice,Vanilla Ice
46,"""Blame It on the Rain""",Milli Vanilli,Milli Vanilli
47,"""Have You Seen Her""",MC Hammer,MC Hammer
48,"""With Every Beat of My Heart""",Taylor Dayne,Taylor Dayne
49,"""Come Back to Me""",Janet Jackson,Janet Jackson
50,"""No More Lies""",Michel'le,Michel'le
51,"""Praying for Time""",George Michael,George Michael
52,"""How Can We Be Lovers""",Michael Bolton,Michael Bolton
