Rank,Title,Artist(s),Artists Separately
1,"""Hanging by a Moment""",Lifehouse,Lifehouse
2,"""Fallin'""",Alicia Keys,Alicia Keys
3,"""All for You""",Janet Jackson,Janet Jackson
4,"""Drops of Jupiter (Tell Me)""",Train,Train
5,"""I'm Real (Murder Remix)""",Jennifer Lopez featuring Ja Rule,Jennifer Lopez;Ja Rule
6,"""If You're Gone""",Matchbox Twenty,Matchbox Twenty
7,"""Let Me Blow Ya Mind""",Eve featuring Gwen Stefani,Eve;Gwen Stefani
8,"""Thank You""",Dido,Dido
9,"""Again""",Lenny Kravitz,Lenny Kravitz
10,"""Independent Women Part I""",Destiny's Child,Destiny's Child
11,"""Hit 'Em Up Style (Oops!)""",Blu Cantrell,Blu Cantrell
12,"""It Wasn't Me""",Shaggy featuring Rikrok,Shaggy;Rikrok
13,"""Stutter""",Joe featuring Mystikal,Joe;Mystikal
14,"""It's Been Awhile""",Staind,Staind
15,"""U Remind Me""",Usher,Usher
16,"""Where the Party At""",Jagged Edge with Nelly,Jagged Edge;Nelly
17,"""Angel""",Shaggy featuring Rayvon,Shaggy;Rayvon
18,"""Ride wit Me""",Nelly featuring City Spud,Nelly;City Spud
19,"""Follow Me""",Uncle Kracker,Uncle Kracker
20,"""Peaches & Cream""",112,112
21,"""Drive""",Incubus,Incubus
22,"""What Would You Do?""",City High,City High
23,"""Survivor""",Destiny's Child,Destiny's Child
24,"""Lady Marmalade""","Christina Aguilera, Lil' Kim, Mýa and Pink",Christina Aguilera;Lil' Kim;Mýa;Pink
25,"""Ms. Jackson""",Outkast,Outkast
26,"""Love Don't Cost a Thing""",Jennifer Lopez,Jennifer Lopez
27,"""The Way You Love Me""",Faith Hill,Faith Hill
28,"""He Loves U Not""",Dream,Dream
29,"""Butterfly""",Crazy Town,Crazy Town
30,"""Put It on Me""",Ja Rule featuring Lil' Mo and Vita,Ja Rule;Lil' Mo;Vita
31,"""Family Affair""",Mary J. Blige,Mary J. Blige
32,"""I Hope You Dance""",Lee Ann Womack,Lee Ann Womack
33,"""South Side""",Moby featuring Gwen Stefani,Moby;Gwen Stefani
34,"""Don't Tell Me""",Madonna,Madonna
35,"""Get Ur Freak On""",Missy Elliott,Missy Elliott
36,"""Crazy""",K-Ci & JoJo,K-Ci & JoJo
37,"""Fill Me In""",Craig David,Craig David
38,"""Someone to Call My Lover""",Janet Jackson,Janet Jackson
39,"""With Arms Wide Open""",Creed,Creed
40,"""Case of the Ex (Whatcha Gonna Do)""",Mýa,Mýa
41,"""All or Nothing""",O-Town,O-Town
42,"""Bootylicious""",Destiny's Child,Destiny's Child
43,"""I'm Like a Bird""",Nelly Furtado,Nelly Furtado
44,"""Kryptonite""",3 Doors Down,3 Doors Down
45,"""Fiesta""",R. Kelly featuring Jay-Z,R. Kelly;Jay-Z
46,"""When It's Over""",Sugar Ray,Sugar Ray
47,"""Jaded""",Aerosmith,Aerosmith
48,"""Promise""",Jagged Edge,Jagged Edge
49,"""Missing You""",Case,Case
50,"""Differences""",Ginuwine,Ginuwine
51,"""This I Promise You""",'N Sync,'N Sync
52,"""Izzo (H.O.V.A.)""",Jay-Z,Jay-Z
53,"""Superwoman Pt. II""",Lil' Mo featuring Fabolous,Lil' Mo;Fabolous
54,"""Crazy for This Girl""",Evan and Jaron,Evan and Jaron
55,"""Nobody Wants to Be Lonely""",Ricky Martin and Christina Aguilera,Ricky Martin;Christina Aguilera
56,"""I Just Wanna Love U (Give It 2 Me)""",Jay-Z,Jay-Z
57,"""One Minute Man""",Missy Elliott featuring Ludacris,Missy Elliott;Ludacris
58,"""Danger (Been So Long)""",Mystikal featuring Nivea,Mystikal;Nivea
59,"""Only Time""",Enya,Enya
60,"""I Do!!""",Toya,Toya
61,"""Never Had a Dream Come True""",S Club 7,S Club 7
62,"""Stranger in My House""",Tamia,Tamia
63,"""Irresistible""",Jessica Simpson,Jessica Simpson
64,"""Heard It All Before""",Sunshine Anderson,Sunshine Anderson
65,"""The Space Between""",Dave Matthews Band,Dave Matthews Band
66,"""There You'll Be""",Faith Hill,Faith Hill
67,"""Love""",Musiq Soulchild,Musiq Soulchild
68,"""It's Over Now""",112,112
69,"""No More (Baby I'ma Do Right)""",3LW,3LW
70,"""Turn Off the Light""",Nelly Furtado,Nelly Furtado
71,"""Ain't Nothing 'bout You""",Brooks & Dunn,Brooks & Dunn
72,"""Play""",Jennifer Lopez,Jennifer Lopez
73,"""I'm Already There""",Lonestar,Lonestar
74,"""My Baby""",Lil' Romeo,Lil' Romeo
75,"""Beautiful Day""",U2,U2
76,"""Austin""",Blake Shelton,Blake Shelton
77,"""Southern Hospitality""",Ludacris,Ludacris
78,"""Grown Men Don't Cry""",Tim McGraw,Tim McGraw
79,"""Livin' It Up""",Ja Rule featuring Case,Ja Rule;Case
80,"""Loverboy""",Mariah Carey featuring Cameo,Mariah Carey;Cameo
81,"""Contagious""",The Isley Brothers featuring R. Kelly and Chanté Moore,The Isley Brothers;R. Kelly;Chanté Moore
82,"""Who I Am""",Jessica Andrews,Jessica Andrews
83,"""Music""",Erick Sermon featuring Marvin Gaye,Erick Sermon;Marvin Gaye
84,"""I Wanna Be Bad""",Willa Ford,Willa Ford
85,"""Don't Happen Twice""",Kenny Chesney,Kenny Chesney
86,"""One More Day""",Diamond Rio,Diamond Rio
87,"""I Wish""",R. Kelly,R. Kelly
88,"""It's a Great Day to Be Alive""",Travis Tritt,Travis Tritt
89,"""I'm a Thug""",Trick Daddy,Trick Daddy
90,"""Here's to the Night""",Eve 6,Eve 6
91,"""You Shouldn't Kiss Me Like This""",Toby Keith,Toby Keith
92,"""Get Over Yourself""",Eden's Crush,Eden's Crush
93,"""Dance with Me""",Debelah Morgan,Debelah Morgan
94,"""So Fresh, So Clean""",Outkast,Outkast
95,"""E.I.""",Nelly,Nelly
96,"""Be Like That""",3 Doors Down,3 Doors Down
97,"""Most Girls""",Pink,Pink
98,"""Oochie Wally""",QB Finest featuring Nas and Bravehearts,QB Finest;Nas;Bravehearts
99,"""Hero""",Enrique Iglesias,Enrique Iglesias
100,"""Hemorrhage (In My Hands)""",Fuel,Fuel
