Rank,Title,Artist(s),Artists Separately
1,"""Too Close""",Next,Next
2,"""The Boy Is Mine""",Brandy and Monica,Brandy;Monica
3,"""You're Still the One""",Shania Twain,Shania Twain
4,"""Truly Madly Deeply""",Savage Garden,Savage Garden
5,"""How Do I Live""",LeAnn Rimes,LeAnn Rimes
6,"""Together Again""",Janet,Janet
7,"""All My Life""",K-Ci & JoJo,K-Ci & JoJo
8,"""Candle in the Wind 1997"" / ""Something About the Way You Look Tonight""",Elton John,Elton John
9,"""Nice & Slow""",Usher,Usher
10,"""I Don't Want to Wait""",Paula Cole,Paula Cole
11,"""How's It Going to Be""",Third Eye Blind,Third Eye Blind
12,"""No, No, No""",Destiny's Child,Destiny's Child
13,"""My Heart Will Go On""",Celine Dion,Celine Dion
14,"""Gettin' Jiggy wit It""",Will Smith,Will Smith
15,"""You Make Me Wanna...""",Usher,Usher
16,"""My Way""",Usher,Usher
17,"""My All""",Mariah Carey,Mariah Carey
18,"""The First Night""",Monica,Monica
19,"""Been Around the World""",Puff Daddy & the Family featuring The Notorious B.I.G. and Mase,Puff Daddy;The Notorious B.I.G.;Mase
20,"""Adia""",Sarah McLachlan,Sarah McLachlan
21,"""Crush""",Jennifer Paige,Jennifer Paige
22,"""Everybody (Backstreet's Back)""",Backstreet Boys,Backstreet Boys
23,"""I Don't Want to Miss a Thing""",Aerosmith,Aerosmith
24,"""Body Bumpin' (Yippie-Yi-Yo)""",Public Announcement,Public Announcement
25,"""This Kiss""",Faith Hill,Faith Hill
26,"""I Don't Ever Want to See You Again""",Uncle Sam,Uncle Sam
27,"""Let's Ride""",Montell Jordan featuring Master P and Silkk the Shocker,Montell Jordan;Master P;Silkk the Shocker
28,"""Sex and Candy""",Marcy Playground,Marcy Playground
29,"""Show Me Love""",Robyn,Robyn
30,"""A Song for Mama""",Boyz II Men,Boyz II Men
31,"""What You Want""",Mase featuring Total,Mase;Total
32,"""Frozen""",Madonna,Madonna
33,"""Gone till November""",Wyclef Jean,Wyclef Jean
34,"""My Body""",LSG,LSG
35,"""Tubthumping""",Chumbawamba,Chumbawamba
36,"""Deja Vu (Uptown Baby)""",Lord Tariq and Peter Gunz,Lord Tariq and Peter Gunz
37,"""I Want You Back""",'N Sync,'N Sync
38,"""When the Lights Go Out""",Five,Five
39,"""They Don't Know""",Jon B.,Jon B.
40,"""Make 'Em Say Uhh!""","Master P featuring Fiend, Silkk the Shocker, Mia X and Mystikal",Master P;Fiend;Silkk the Shocker;Mia X;Mystikal
41,"""Make It Hot""",Nicole featuring Missy Elliott and Mocha,Nicole;Missy Elliott
42,"""Never Ever""",All Saints,All Saints
43,"""I Get Lonely""",Janet featuring Blackstreet,Janet;Blackstreet
44,"""Feel So Good""",Mase,Mase
45,"""Say It""",Voices of Theory,Voices of Theory
46,"""Kiss the Rain""",Billie Myers,Billie Myers
47,"""Come with Me""",Puff Daddy featuring Jimmy Page,Puff Daddy;Jimmy Page
48,"""Romeo and Juliet""",Sylk-E. Fyne featuring Chill,Sylk-E. Fyne
49,"""It's All About Me""",Mýa and Sisqo,Mýa;Sisqo
50,"""I Will Come to You""",Hanson,Hanson
51,"""One Week""",Barenaked Ladies,Barenaked Ladies
52,"""Swing My Way""",K. P. & Envyi,K. P. & Envyi
53,"""The Arms of the One Who Loves You""",Xscape,Xscape
54,"""My Love Is the Shhh!""",Somethin' for the People featuring Trina & Tamara,Somethin' for the People;Trina & Tamara
55,"""Daydreamin'""",Tatyana Ali,Tatyana Ali
56,"""We're Not Making Love No More""",Dru Hill,Dru Hill
57,"""Semi-Charmed Life""",Third Eye Blind,Third Eye Blind
58,"""I Do""",Lisa Loeb,Lisa Loeb
59,"""Lookin' at Me""",Mase featuring Puff Daddy,Mase;Puff Daddy
60,"""Looking Through Your Eyes""",LeAnn Rimes,LeAnn Rimes
61,"""Lately""",Divine,Divine
62,"""Quit Playing Games (With My Heart)""",Backstreet Boys,Backstreet Boys
63,"""I Still Love You""",Next,Next
64,"""Time After Time""",INOJ,INOJ
65,"""Are You Jimmy Ray?""",Jimmy Ray,Jimmy Ray
66,"""Cruel Summer""",Ace of Base,Ace of Base
67,"""I Got the Hook Up""",Master P featuring Sons of Funk,Master P;Sons of Funk
68,"""Victory""",Puff Daddy & the Family featuring The Notorious B.I.G. and Busta Rhymes,Puff Daddy;The Notorious B.I.G.;Busta Rhymes
69,"""Too Much""",Spice Girls,Spice Girls
70,"""Ghetto Supastar (That Is What You Are)""",Pras Michel featuring Ol' Dirty Bastard and Mýa,Pras Michel;Ol' Dirty Bastard;Mýa
71,"""How Deep Is Your Love""",Dru Hill featuring Redman,Dru Hill;Redman
72,"""Friend of Mine""",Kelly Price,Kelly Price
73,"""Turn It Up (Remix)/Fire It Up""",Busta Rhymes,Busta Rhymes
74,"""I'll Be""",Edwin McCain,Edwin McCain
75,"""Ray of Light""",Madonna,Madonna
76,"""All for You""",Sister Hazel,Sister Hazel
77,"""Touch It""",Monifah,Monifah
78,"""Money, Power & Respect""",The Lox featuring DMX and Lil' Kim,The Lox;DMX;Lil' Kim
79,"""Bitter Sweet Symphony""",The Verve,The Verve
80,"""Dangerous""",Busta Rhymes,Busta Rhymes
81,"""Spice Up Your Life""",Spice Girls,Spice Girls
82,"""Because of You""",98 Degrees,98 Degrees
83,"""The Mummers' Dance""",Loreena McKennitt,Loreena McKennitt
84,"""All Cried Out""",Allure featuring 112,Allure;112
85,"""Still Not a Player""",Big Punisher featuring Joe,Big Punisher;Joe
86,"""The One I Gave My Heart To""",Aaliyah,Aaliyah
87,"""Foolish Games"" / ""You Were Meant for Me""",Jewel,Jewel
88,"""Love You Down""",INOJ,INOJ
89,"""Do for Love""",2Pac featuring Eric Williams,2Pac
90,"""Raise the Roof""",Luke featuring No Good But So Good,Luke;No Good But So Good
91,"""Heaven""",Nu Flavor,Nu Flavor
92,"""The Party Continues""",JD featuring Da Brat,JD;Da Brat
93,"""Sock It 2 Me""",Missy Elliott featuring Da Brat,Missy Elliott;Da Brat
94,"""Butta Love""",Next,Next
95,"""A Rose Is Still a Rose""",Aretha Franklin,Aretha Franklin
96,"""4 Seasons of Loneliness""",Boyz II Men,Boyz II Men
97,"""Father""",LL Cool J,LL Cool J
98,"""Thinkin' Bout It""",Gerald Levert,Gerald Levert
99,"""Nobody's Supposed to Be Here""",Deborah Cox,Deborah Cox
100,"""Westside""",TQ,TQ
