Rank,Title,Artist(s),Artists Separately
1,"""Careless Whisper""",Wham!,Wham!
2,"""Like a Virgin""",Madonna,Madonna
3,"""Wake Me Up Before You Go-Go""",Wham!,
4,"""I Want to Know What Love Is""",Foreigner,Foreigner
5,"""I Feel for You""",Chaka Khan,Chaka Khan
6,"""Out of Touch""",Daryl Hall & John Oates,Daryl Hall & John Oates
7,"""Everybody Wants to Rule the World""",Tears for Fears,Tears for Fears
8,"""Money for Nothing""",Dire Straits,Dire Straits
9,"""Crazy for You""",Madonna,
10,"""Take On Me""",a-ha,a-ha
11,"""Everytime You Go Away""",Paul Young,Paul Young
12,"""Easy Lover""",Philip Bailey and Phil Collins,Philip Bailey;Phil Collins
13,"""Can't Fight This Feeling""",REO Speedwagon,REO Speedwagon
14,"""We Built This City""",Starship,Starship
15,"""The Power of Love""",Huey Lewis and the News,Huey Lewis and the News
16,"""Don't You (Forget About Me)""",Simple Minds,Simple Minds
17,"""Cherish""",Kool & the Gang,Kool & the Gang
18,"""St. Elmo's Fire (Man in Motion)""",John Parr,John Parr
19,"""The Heat Is On""",Glenn Frey,Glenn Frey
20,"""We Are the World""",USA for Africa,USA for Africa
21,"""Shout""",Tears for Fears,
22,"""Part-Time Lover""",Stevie Wonder,Stevie Wonder
23,"""Saving All My Love for You""",Whitney Houston,Whitney Houston
24,"""Heaven""",Bryan Adams,Bryan Adams
25,"""Everything She Wants""",Wham!,
26,"""Cool It Now""",New Edition,New Edition
27,"""Miami Vice Theme""",Jan Hammer,Jan Hammer
28,"""Loverboy""",Billy Ocean,Billy Ocean
29,"""Lovergirl""",Teena Marie,Teena Marie
30,"""You Belong to the City""",Glenn Frey,
31,"""Oh Sheila""",Ready for the World,Ready for the World
32,"""Rhythm of the Night""",DeBarge,DeBarge
33,"""One More Night""",Phil Collins,
34,"""Sea of Love""",The Honeydrippers,The Honeydrippers
35,"""A View to a Kill""",Duran Duran,Duran Duran
36,"""The Wild Boys""",Duran Duran,
37,"""You're the Inspiration""",Chicago,Chicago
38,"""Neutron Dance""",The Pointer Sisters,The Pointer Sisters
39,"""We Belong""",Pat Benatar,Pat Benatar
40,"""Nightshift""",Commodores,Commodores
41,"""Things Can Only Get Better""",Howard Jones,Howard Jones
42,"""All I Need""",Jack Wagner,Jack Wagner
43,"""Freeway of Love""",Aretha Franklin,Aretha Franklin
44,"""Never Surrender""",Corey Hart,Corey Hart
45,"""Sussudio""",Phil Collins,
46,"""Strut""",Sheena Easton,Sheena Easton
47,"""You Give Good Love""",Whitney Houston,
48,"""The Search Is Over""",Survivor,Survivor
49,"""Missing You""",Diana Ross,Diana Ross
50,"""Separate Lives""",Phil Collins and Marilyn Martin,Marilyn Martin
51,"""Raspberry Beret""",Prince & the Revolution,Prince;the Revolution
52,"""Suddenly""",Billy Ocean,
53,"""The Boys of Summer""",Don Henley,Don Henley
54,"""One Night in Bangkok""",Murray Head,Murray Head
55,"""If You Love Somebody Set Them Free""",Sting,Sting
56,"""Obsession""",Animotion,Animotion
57,"""We Don't Need Another Hero (Thunderdome)""",Tina Turner,Tina Turner
58,"""Material Girl""",Madonna,
59,"""Better Be Good to Me""",Tina Turner,
60,"""Head over Heels""",Tears for Fears,
61,"""Axel F""",Harold Faltermeyer,Harold Faltermeyer
62,"""Smooth Operator""",Sade,Sade
63,"""In My House""",Mary Jane Girls,Mary Jane Girls
64,"""Don't Lose My Number""",Phil Collins,
65,"""All Through the Night""",Cyndi Lauper,Cyndi Lauper
66,"""Run to You""",Bryan Adams,
67,"""Glory Days""",Bruce Springsteen,Bruce Springsteen
68,"""Voices Carry""",'Til Tuesday,'Til Tuesday
69,"""Misled""",Kool & the Gang,
70,"""Would I Lie to You?""",Eurythmics,Eurythmics
71,"""Be Near Me""",ABC,ABC
72,"""No More Lonely Nights""",Paul McCartney,Paul McCartney
73,"""I Can't Hold Back""",Survivor,
74,"""Summer of '69""",Bryan Adams,
75,"""Walking on Sunshine""",Katrina and the Waves,Katrina and the Waves
76,"""Freedom""",Wham!,
77,"""Too Late for Goodbyes""",Julian Lennon,Julian Lennon
78,"""Valotte""",Julian Lennon,Julian Lennon
79,"""Some Like It Hot""",The Power Station,The Power Station
80,"""Solid""",Ashford & Simpson,Ashford & Simpson
81,"""Angel""",Madonna,
82,"""I'm on Fire""",Bruce Springsteen,
83,"""Method of Modern Love""",Daryl Hall & John Oates,
84,"""Lay Your Hands on Me""",Thompson Twins,Thompson Twins
85,"""Who's Holding Donna Now""",DeBarge,DeBarge
86,"""Lonely Ol' Night""",John Cougar Mellencamp,John Cougar Mellencamp
87,"""What About Love""",Heart,Heart
88,"""California Girls""",David Lee Roth,David Lee Roth
89,"""Fresh""",Kool & the Gang,
90,"""Do What You Do""",Jermaine Jackson,Jermaine Jackson
91,"""Jungle Love""",The Time,The Time
92,"""Born in the U.S.A.""",Bruce Springsteen,
93,"""Private Dancer""",Tina Turner,
94,"""Who's Zoomin' Who?""",Aretha Franklin,
95,"""Fortress Around Your Heart""",Sting,
96,"""Penny Lover""",Lionel Richie,Lionel Richie
97,"""All She Wants to Do Is Dance""",Don Henley,
98,"""Dress You Up""",Madonna,
99,"""Sentimental Street""",Night Ranger,Night Ranger
100,"""Sugar Walls""",Sheena Easton,
