Rank,Title,Artist(s),Artists Separately
1,"""Thrift Shop""",Macklemore & Ryan Lewis featuring Wanz,Macklemore & Ryan Lewis;Wanz
2,"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams,Robin Thicke;T.I.;Pharrell Williams
3,"""Radioactive""",Imagine Dragons,Imagine Dragons
4,"""Harlem Shake""",Baauer,Baauer
5,"""Can't Hold Us""",Macklemore & Ryan Lewis featuring Ray Dalton,Macklemore & Ryan Lewis;Ray Dalton
6,"""Mirrors""",Justin Timberlake,Justin Timberlake
7,"""Just Give Me a Reason""",Pink featuring Nate Ruess,Pink;Nate Ruess
8,"""When I Was Your Man""",Bruno Mars,Bruno Mars
9,"""Cruise""",Florida Georgia Line featuring Nelly,Florida Georgia Line;Nelly
10,"""Roar""",Katy Perry,Katy Perry
11,"""Locked Out of Heaven""",Bruno Mars,Bruno Mars
12,"""Ho Hey""",The Lumineers,The Lumineers
13,"""Stay""",Rihanna featuring Mikky Ekko,Rihanna;Mikky Ekko
14,"""Get Lucky""",Daft Punk featuring Pharrell Williams,Daft Punk;Pharrell Williams
15,"""Royals""",Lorde,Lorde
16,"""I Knew You Were Trouble""",Taylor Swift,Taylor Swift
17,"""We Can't Stop""",Miley Cyrus,Miley Cyrus
18,"""Wrecking Ball""",Miley Cyrus,Miley Cyrus
19,"""Wake Me Up""",Avicii,Avicii
20,"""Suit & Tie""",Justin Timberlake featuring Jay-Z,Justin Timberlake;Jay-Z
21,"""Cups (Pitch Perfect's When I'm Gone)""",Anna Kendrick,Anna Kendrick
22,"""Holy Grail""",Jay-Z featuring Justin Timberlake,Jay-Z;Justin Timberlake
23,"""Scream & Shout""",will.i.am featuring Britney Spears,will.i.am;Britney Spears
24,"""Clarity""",Zedd featuring Foxes,Zedd;Foxes
25,"""Sail""",Awolnation,Awolnation
26,"""Don't You Worry Child""",Swedish House Mafia featuring John Martin,Swedish House Mafia;John Martin
27,"""Diamonds""",Rihanna,Rihanna
28,"""I Love It""",Icona Pop featuring Charli XCX,Icona Pop;Charli XCX
29,"""Safe and Sound""",Capital Cities,Capital Cities
30,"""Treasure""",Bruno Mars,Bruno Mars
31,"""The Way""",Ariana Grande featuring Mac Miller,Ariana Grande;Mac Miller
32,"""Started from the Bottom""",Drake,Drake
33,"""Come & Get It""",Selena Gomez,Selena Gomez
34,"""Hold On, We're Going Home""",Drake featuring Majid Jordan,Drake;Majid Jordan
35,"""Daylight""",Maroon 5,Maroon 5
36,"""Feel This Moment""",Pitbull featuring Christina Aguilera,Pitbull;Christina Aguilera
37,"""Applause""",Lady Gaga,Lady Gaga
38,"""One More Night""",Maroon 5,Maroon 5
39,"""Love Me""",Lil Wayne featuring Drake and Future,Lil Wayne;Drake;Future
40,"""My Songs Know What You Did in the Dark (Light Em Up)""",Fall Out Boy,Fall Out Boy
41,"""Fuckin' Problems""","ASAP Rocky featuring Drake, 2 Chainz and Kendrick Lamar",ASAP Rocky;Drake;2 Chainz;Kendrick Lamar
42,"""Beauty and a Beat""",Justin Bieber featuring Nicki Minaj,Justin Bieber;Nicki Minaj
43,"""Same Love""",Macklemore & Ryan Lewis featuring Mary Lambert,Macklemore & Ryan Lewis;Mary Lambert
44,"""Sweet Nothing""",Calvin Harris featuring Florence Welch,Calvin Harris;Florence Welch
45,"""Summertime Sadness""",Lana Del Rey and Cédric Gervais,Lana Del Rey;Cédric Gervais
46,"""Home""",Phillip Phillips,Phillip Phillips
47,"""It's Time""",Imagine Dragons,Imagine Dragons
48,"""Power Trip""",J. Cole featuring Miguel,J. Cole;Miguel
49,"""Girl on Fire""",Alicia Keys featuring Nicki Minaj,Alicia Keys;Nicki Minaj
50,"""Heart Attack""",Demi Lovato,Demi Lovato
51,"""Love Somebody""",Maroon 5,Maroon 5
52,"""I Will Wait""",Mumford & Sons,Mumford & Sons
53,"""Try""",Pink,Pink
54,"""Wagon Wheel""",Darius Rucker,Darius Rucker
55,"""Gangnam Style""",Psy,Psy
56,"""I Need Your Love""",Calvin Harris featuring Ellie Goulding,Calvin Harris;Ellie Goulding
57,"""Die Young""",Kesha,Kesha
58,"""Some Nights""",Fun,Fun
59,"""Bad""",Wale featuring Tiara Thomas or Rihanna,Wale;Tiara Thomas;Rihanna
60,"""Boys 'Round Here""",Blake Shelton featuring Pistol Annies and Friends,Blake Shelton;Pistol Annies
61,"""Gone, Gone, Gone""",Phillip Phillips,Phillip Phillips
62,"""Demons""",Imagine Dragons,Imagine Dragons
63,"""Counting Stars""",OneRepublic,OneRepublic
64,"""I Cry""",Flo Rida,Flo Rida
65,"""Little Talks""",Of Monsters and Men,Of Monsters and Men
66,"""The Other Side""",Jason Derulo,Jason Derulo
67,"""Berzerk""",Eminem,Eminem
68,"""Catch My Breath""",Kelly Clarkson,Kelly Clarkson
69,"""Crash My Party""",Luke Bryan,Luke Bryan
70,"""Pour It Up""",Rihanna,Rihanna
71,"""22""",Taylor Swift,Taylor Swift
72,"""I Want Crazy""",Hunter Hayes,Hunter Hayes
73,"""The Fox (What Does the Fox Say?)""",Ylvis,Ylvis
74,"""Best Song Ever""",One Direction,One Direction
75,"""The A Team""",Ed Sheeran,Ed Sheeran
76,"""Carry On""",Fun,Fun
77,"""Highway Don't Care""",Tim McGraw featuring Taylor Swift and Keith Urban,Tim McGraw;Taylor Swift;Keith Urban
78,"""That's My Kind of Night""",Luke Bryan,Luke Bryan
79,"""Swimming Pools (Drank)""",Kendrick Lamar,Kendrick Lamar
80,"""Sure Be Cool If You Did""",Blake Shelton,Blake Shelton
81,"""#Beautiful""",Mariah Carey featuring Miguel,Mariah Carey;Miguel
82,"""Troublemaker""",Olly Murs featuring Flo Rida,Olly Murs;Flo Rida
83,"""Body Party""",Ciara,Ciara
84,"""Adorn""",Miguel,Miguel
