Rank,Title,Artist(s),Artists Separately
1,"""Levitating""",Dua Lipa,Dua Lipa
2,"""Save Your Tears""",The Weeknd and Ariana Grande,The Weeknd;Ariana Grande
3,"""Blinding Lights""",The Weeknd,The Weeknd
4,"""Mood""",24kGoldn featuring Iann Dior,24kGoldn;Iann Dior
5,"""Good 4 U""",Olivia Rodrigo,Olivia Rodrigo
6,"""Kiss Me More""",Doja Cat featuring SZA,Doja Cat;SZA
7,"""Leave the Door Open""",Silk Sonic (Bruno Mars and Anderson .Paak),Silk Sonic;Bruno Mars;Anderson .Paak
8,"""Drivers License""",Olivia Rodrigo,Olivia Rodrigo
9,"""Montero (Call Me by Your Name)""",Lil Nas X,Lil Nas X
10,"""Peaches""",Justin Bieber featuring Daniel Caesar and Giveon,Justin Bieber;Daniel Caesar;Giveon
11,"""Butter""",BTS,BTS
12,"""Stay""",The Kid Laroi and Justin Bieber,The Kid Laroi;Justin Bieber
13,"""Deja Vu""",Olivia Rodrigo,Olivia Rodrigo
14,"""Positions""",Ariana Grande,Ariana Grande
15,"""Bad Habits""",Ed Sheeran,Ed Sheeran
16,"""Heat Waves""",Glass Animals,Glass Animals
17,"""Without You""",The Kid Laroi,The Kid Laroi
18,"""Forever After All""",Luke Combs,Luke Combs
19,"""Go Crazy""",Chris Brown and Young Thug,Chris Brown;Young Thug
20,"""Astronaut in the Ocean""",Masked Wolf,Masked Wolf
21,"""34+35""",Ariana Grande featuring Doja Cat and Megan Thee Stallion,Ariana Grande;Doja Cat;Megan Thee Stallion
22,"""What You Know Bout Love""",Pop Smoke,Pop Smoke
23,"""My Ex's Best Friend""",Machine Gun Kelly featuring Blackbear,Machine Gun Kelly;Blackbear
24,"""Industry Baby""",Lil Nas X and Jack Harlow,Lil Nas X;Jack Harlow
25,"""Therefore I Am""",Billie Eilish,Billie Eilish
26,"""Up""",Cardi B,Cardi B
27,"""Fancy Like""",Walker Hayes,Walker Hayes
28,"""Dakiti""",Bad Bunny and Jhay Cortez,Bad Bunny;Jhay Cortez
29,"""Best Friend""",Saweetie featuring Doja Cat,Saweetie;Doja Cat
30,"""Rapstar""",Polo G,Polo G
31,"""Heartbreak Anniversary""",Giveon,Giveon
32,"""For the Night""",Pop Smoke featuring Lil Baby and DaBaby,Pop Smoke;Lil Baby;DaBaby
33,"""Calling My Phone""",Lil Tjay and 6lack,Lil Tjay;6lack
34,"""Beautiful Mistakes""",Maroon 5 featuring Megan Thee Stallion,Maroon 5;Megan Thee Stallion
35,"""Holy""",Justin Bieber featuring Chance the Rapper,Justin Bieber;Chance the Rapper
36,"""On Me""",Lil Baby,Lil Baby
37,"""You Broke Me First""",Tate McRae,Tate McRae
38,"""Traitor""",Olivia Rodrigo,Olivia Rodrigo
39,"""Back in Blood""",Pooh Shiesty featuring Lil Durk,Pooh Shiesty;Lil Durk
40,"""I Hope""",Gabby Barrett featuring Charlie Puth,Gabby Barrett;Charlie Puth
41,"""Dynamite""",BTS,BTS
42,"""Wockesha""",Moneybagg Yo,Moneybagg Yo
43,"""You Right""",Doja Cat and the Weeknd,Doja Cat;the Weeknd
44,"""Beat Box""",SpotemGottem featuring Pooh Shiesty or DaBaby,SpotemGottem;Pooh Shiesty;DaBaby
45,"""Laugh Now Cry Later""",Drake featuring Lil Durk,Drake;Lil Durk
46,"""Need to Know""",Doja Cat,Doja Cat
47,"""Wants and Needs""",Drake featuring Lil Baby,Drake;Lil Baby
48,"""Way 2 Sexy""",Drake featuring Future and Young Thug,Drake;Future;Young Thug
49,"""Telepatía""",Kali Uchis,Kali Uchis
50,"""Whoopty""",CJ,CJ
51,"""Lemonade""",Internet Money and Gunna featuring Don Toliver and Nav,Internet Money;Gunna;Don Toliver;Nav
52,"""Good Days""",SZA,SZA
53,"""Starting Over""",Chris Stapleton,Chris Stapleton
54,"""Body""",Megan Thee Stallion,Megan Thee Stallion
55,"""Willow""",Taylor Swift,Taylor Swift
56,"""Bang!""",AJR,AJR
57,"""Better Together""",Luke Combs,Luke Combs
58,"""You're Mines Still""",Yung Bleu featuring Drake,Yung Bleu;Drake
59,"""Every Chance I Get""",DJ Khaled featuring Lil Baby and Lil Durk,DJ Khaled;Lil Baby;Lil Durk
60,"""Essence""",Wizkid featuring Justin Bieber and Tems,Wizkid;Justin Bieber;Tems
61,"""Chasing After You""",Ryan Hurd and Maren Morris,Ryan Hurd;Maren Morris
62,"""The Good Ones""",Gabby Barrett,Gabby Barrett
63,"""Leave Before You Love Me""",Marshmello and Jonas Brothers,Marshmello;Jonas Brothers
64,"""Glad You Exist""",Dan + Shay,Dan + Shay
65,"""Lonely""",Justin Bieber and Benny Blanco,Justin Bieber;Benny Blanco
66,"""Beggin'""",Måneskin,Måneskin
67,"""Streets""",Doja Cat,Doja Cat
68,"""What's Next""",Drake,Drake
69,"""Famous Friends""",Chris Young and Kane Brown,Chris Young;Kane Brown
70,"""Lil Bit""",Nelly and Florida Georgia Line,Nelly;Florida Georgia Line
71,"""Thot Shit""",Megan Thee Stallion,Megan Thee Stallion
72,"""Late at Night""",Roddy Ricch,Roddy Ricch
73,"""Kings & Queens""",Ava Max,Ava Max
74,"""Anyone""",Justin Bieber,Justin Bieber
75,"""Track Star""",Mooski,Mooski
76,"""Time Today""",Moneybagg Yo,Moneybagg Yo
