Rank,Title,Artist(s),Artists Separately
1,"""That's What Friends Are For""","Dionne and Friends (Dionne Warwick, Gladys Knight, Elton John and Stevie Wonder)",Dionne Warwick;Gladys Knight;Elton John;Stevie Wonder
2,"""Say You, Say Me""",Lionel Richie,Lionel Richie
3,"""I Miss You""",Klymaxx,Klymaxx
4,"""On My Own""",Patti LaBelle and Michael McDonald,Patti LaBelle;Michael McDonald
5,"""Broken Wings""",Mr. Mister,Mr. Mister
6,"""How Will I Know""",Whitney Houston,Whitney Houston
7,"""Party All the Time""",Eddie Murphy,Eddie Murphy
8,"""Burning Heart""",Survivor,Survivor
9,"""Kyrie""",Mr. Mister,Mr. Mister
10,"""Addicted to Love""",Robert Palmer,Robert Palmer
11,"""The Greatest Love of All""",Whitney Houston,Whitney Houston
12,"""Secret Lovers""",Atlantic Starr,Atlantic Starr
13,"""Friends and Lovers""",Gloria Loring and Carl Anderson,Gloria Loring;Carl Anderson
14,"""Glory of Love""",Peter Cetera,Peter Cetera
15,"""West End Girls""",Pet Shop Boys,Pet Shop Boys
16,"""There'll Be Sad Songs (To Make You Cry)""",Billy Ocean,Billy Ocean
17,"""Alive and Kicking""",Simple Minds,Simple Minds
18,"""Never""",Heart,Heart
19,"""Kiss""",Prince and The Revolution,Prince;The Revolution
20,"""Higher Love""",Steve Winwood,Steve Winwood
21,"""Stuck with You""",Huey Lewis and the News,Huey Lewis and the News
22,"""Holding Back the Years""",Simply Red,Simply Red
23,"""Sledgehammer""",Peter Gabriel,Peter Gabriel
24,"""Sara""",Starship,Starship
25,"""Human""",The Human League,The Human League
26,"""I Can't Wait""",Nu Shooz,Nu Shooz
27,"""Take My Breath Away""",Berlin,Berlin
28,"""Rock Me Amadeus""",Falco,Falco
29,"""Papa Don't Preach""",Madonna,Madonna
30,"""You Give Love a Bad Name""",Bon Jovi,Bon Jovi
31,"""When the Going Gets Tough, the Tough Get Going""",Billy Ocean,Billy Ocean
32,"""When I Think of You""",Janet Jackson,Janet Jackson
33,"""These Dreams""",Heart,Heart
34,"""Don't Forget Me (When I'm Gone)""",Glass Tiger,Glass Tiger
35,"""Live to Tell""",Madonna,Madonna
36,"""Mad About You""",Belinda Carlisle,Belinda Carlisle
37,"""Something About You""",Level 42,Level 42
38,"""Venus""",Bananarama,Bananarama
39,"""Dancing on the Ceiling""",Lionel Richie,Lionel Richie
40,"""Conga""",Miami Sound Machine,Miami Sound Machine
41,"""True Colors""",Cyndi Lauper,Cyndi Lauper
42,"""Danger Zone""",Kenny Loggins,Kenny Loggins
43,"""What Have You Done For Me Lately""",Janet Jackson,Janet Jackson
44,"""No One Is to Blame""",Howard Jones,Howard Jones
45,"""Let's Go All the Way""",Sly Fox,Sly Fox
46,"""I Didn't Mean to Turn You On""",Robert Palmer,Robert Palmer
47,"""Words Get in the Way""",Miami Sound Machine,Miami Sound Machine
48,"""Manic Monday""",The Bangles,The Bangles
49,"""Walk of Life""",Dire Straits,Dire Straits
50,"""Amanda""",Boston,Boston
51,"""Two of Hearts""",Stacey Q,Stacey Q
52,"""Crush on You""",The Jets,The Jets
53,"""If You Leave""",Orchestral Manoeuvres in the Dark,Orchestral Manoeuvres in the Dark
54,"""Invisible Touch""",Genesis,Genesis
55,"""The Sweetest Taboo""",Sade,Sade
56,"""What You Need""",INXS,INXS
57,"""Talk to Me""",Stevie Nicks,Stevie Nicks
58,"""Nasty""",Janet Jackson,Janet Jackson
59,"""Take Me Home Tonight""",Eddie Money,Eddie Money
60,"""We Don't Have to Take Our Clothes Off""",Jermaine Stewart,Jermaine Stewart
61,"""All Cried Out""",Lisa Lisa and Cult Jam,Lisa Lisa and Cult Jam
62,"""Your Love""",The Outfield,The Outfield
63,"""I'm Your Man""",Wham!,Wham!
64,"""Perfect Way""",Scritti Politti,Scritti Politti
65,"""Living in America""",James Brown,James Brown
66,"""R.O.C.K. in the U.S.A.""",John Cougar Mellencamp,John Cougar Mellencamp
67,"""Who's Johnny""",El DeBarge,El DeBarge
68,"""Word Up!""",Cameo,Cameo
69,"""Why Can't This Be Love""",Van Halen,Van Halen
70,"""Silent Running (On Dangerous Ground)""",Mike + The Mechanics,Mike + The Mechanics
