Rank,Title,Artist(s),Artists Separately
1,"""The Way We Were""",Barbra Streisand,Barbra Streisand
2,"""Seasons in the Sun""",Terry Jacks,Terry Jacks
3,"""Love's Theme""",Love Unlimited Orchestra,Love Unlimited Orchestra
4,"""Come and Get Your Love""",Redbone,Redbone
5,"""Dancing Machine""",The Jackson 5,The Jackson 5
6,"""The Loco-Motion""",Grand Funk Railroad,Grand Funk Railroad
7,"""TSOP (The Sound of Philadelphia)""",MFSB,MFSB
8,"""The Streak""",Ray Stevens,Ray Stevens
9,"""Bennie and the Jets""",Elton John,Elton John
10,"""One Hell of a Woman""",Mac Davis,Mac Davis
11,"""Until You Come Back to Me (That's What I'm Gonna Do)""",Aretha Franklin,Aretha Franklin
12,"""Jungle Boogie""",Kool & the Gang,Kool & the Gang
13,"""Midnight at the Oasis""",Maria Muldaur,Maria Muldaur
14,"""You Make Me Feel Brand New""",The Stylistics,The Stylistics
15,"""Show and Tell""",Al Wilson,Al Wilson
16,"""Spiders and Snakes""",Jim Stafford,Jim Stafford
17,"""Rock On""",David Essex,David Essex
18,"""Sunshine on My Shoulders""",John Denver,John Denver
19,"""Sideshow""",Blue Magic,Blue Magic
20,"""Hooked on a Feeling""",Blue Swede,Blue Swede
21,"""Billy Don't Be a Hero""",Bo Donaldson and The Heywoods,Bo Donaldson and The Heywoods
22,"""Band on the Run""",Paul McCartney and Wings,Paul McCartney and Wings
23,"""The Most Beautiful Girl""",Charlie Rich,Charlie Rich
24,"""Time in a Bottle""",Jim Croce,Jim Croce
25,"""Annie's Song""",John Denver,John Denver
26,"""Let Me Be There""",Olivia Newton-John,Olivia Newton-John
27,"""Sundown""",Gordon Lightfoot,Gordon Lightfoot
28,"""(You're) Having My Baby""",Paul Anka,Paul Anka
29,"""Rock Me Gently""",Andy Kim,Andy Kim
30,"""Boogie Down""",Eddie Kendricks,Eddie Kendricks
31,"""You're Sixteen""",Ringo Starr,Ringo Starr
32,"""If You Love Me (Let Me Know)""",Olivia Newton-John,Olivia Newton-John
33,"""Dark Lady""",Cher,Cher
34,"""Best Thing That Ever Happened to Me""",Gladys Knight & the Pips,Gladys Knight & the Pips
35,"""Feel Like Makin' Love""",Roberta Flack,Roberta Flack
36,"""Just Don't Want to Be Lonely""",The Main Ingredient,The Main Ingredient
37,"""Nothing from Nothing""",Billy Preston,Billy Preston
38,"""Rock Your Baby""",George McCrae,George McCrae
39,"""Top of the World""",The Carpenters,The Carpenters
40,"""The Joker""",Steve Miller Band,Steve Miller Band
41,"""I've Got to Use My Imagination""",Gladys Knight & the Pips,Gladys Knight & the Pips
42,"""The Show Must Go On""",Three Dog Night,Three Dog Night
43,"""Rock the Boat""",The Hues Corporation,The Hues Corporation
44,"""Smokin' in the Boys Room""",Brownsville Station,Brownsville Station
45,"""Living for the City""",Stevie Wonder,Stevie Wonder
46,"""Then Came You""",Dionne Warwick & The Spinners,Dionne Warwick;The Spinners
47,"""The Night Chicago Died""",Paper Lace,Paper Lace
48,"""The Entertainer""",Marvin Hamlisch,Marvin Hamlisch
49,"""Waterloo""",ABBA,ABBA
50,"""The Air That I Breathe""",The Hollies,The Hollies
51,"""Rikki Don't Lose That Number""",Steely Dan,Steely Dan
52,"""Mockingbird""",Carly Simon & James Taylor,Carly Simon;James Taylor
53,"""Help Me""",Joni Mitchell,Joni Mitchell
54,"""You Won't See Me""",Anne Murray,Anne Murray
55,"""Never, Never Gonna Give You Up""",Barry White,Barry White
56,"""Tell Me Something Good""",Rufus & Chaka Khan,Rufus;Chaka Khan
57,"""You and Me Against the World""",Helen Reddy,Helen Reddy
58,"""Rock and Roll Heaven""",The Righteous Brothers,The Righteous Brothers
59,"""Hollywood Swinging""",Kool & the Gang,Kool & the Gang
60,"""Be Thankful for What You Got""",William DeVaughn,William DeVaughn
61,"""Hang on in There Baby""",Johnny Bristol,Johnny Bristol
62,"""Eres tú""",Mocedades,Mocedades
63,"""Takin' Care of Business""",Bachman-Turner Overdrive,Bachman-Turner Overdrive
64,"""Radar Love""",Golden Earring,Golden Earring
65,"""Please Come to Boston""",Dave Loggins,Dave Loggins
66,"""Keep on Smilin'""",Wet Willie,Wet Willie
67,"""Lookin' for a Love""",Bobby Womack,Bobby Womack
68,"""Put Your Hands Together""",The O'Jays,The O'Jays
69,"""On and On""",Gladys Knight & the Pips,Gladys Knight & the Pips
70,"""Oh Very Young""",Cat Stevens,Cat Stevens
71,"""Leave Me Alone (Ruby Red Dress)""",Helen Reddy,Helen Reddy
72,"""Goodbye Yellow Brick Road""",Elton John,Elton John
73,"""(I've Been) Searchin' So Long""",Chicago,Chicago
74,"""Oh My My""",Ringo Starr,Ringo Starr
75,"""For the Love of Money""",The O'Jays,The O'Jays
76,"""I Shot the Sheriff""",Eric Clapton,Eric Clapton
77,"""Jet""",Paul McCartney and Wings,Paul McCartney and Wings
78,"""Don't Let the Sun Go Down on Me""",Elton John,Elton John
79,"""Tubular Bells""",Mike Oldfield,Mike Oldfield
80,"""A Love Song""",Anne Murray,Anne Murray
81,"""I'm Leaving It Up to You""",Donny and Marie Osmond,Donny;Marie Osmond
82,"""Hello It's Me""",Todd Rundgren,Todd Rundgren
83,"""I Love""",Tom T. Hall,Tom T. Hall
84,"""Clap for the Wolfman""",The Guess Who featuring Wolfman Jack,The Guess Who;Wolfman Jack
85,"""I'll Have to Say I Love You in a Song""",Jim Croce,Jim Croce
86,"""The Lord's Prayer""",Sister Janet Mead,Sister Janet Mead
87,"""Trying to Hold on to My Woman""",Lamont Dozier,Lamont Dozier
88,"""Don't You Worry 'bout a Thing""",Stevie Wonder,Stevie Wonder
89,"""A Very Special Love Song""",Charlie Rich,Charlie Rich
90,"""My Girl Bill""",Jim Stafford,Jim Stafford
91,"""Helen Wheels""",Paul McCartney and Wings,Paul McCartney and Wings
92,"""My Mistake (Was to Love You)""",Diana Ross & Marvin Gaye,Diana Ross;Marvin Gaye
93,"""Wildwood Weed""",Jim Stafford,Jim Stafford
94,"""Beach Baby""",The First Class,The First Class
95,"""Me and Baby Brother""",War,War
96,"""Rockin' Roll Baby""",The Stylistics,The Stylistics
97,"""I Honestly Love You""",Olivia Newton-John,Olivia Newton-John
98,"""Call on Me""",Chicago,Chicago
99,"""Wild Thing""",Fancy,Fancy
100,"""Mighty Love""",The Spinners,The Spinners
