Rank,Title,Artist(s),Artists Separately
1,"""Stranger on the Shore""",Acker Bilk,Acker Bilk
2,"""I Can't Stop Loving You""",Ray Charles,Ray Charles
3,"""Mashed Potato Time""",Dee Dee Sharp,Dee Dee Sharp
4,"""Roses Are Red (My Love)""",Bobby Vinton,Bobby Vinton
5,"""The Stripper""",David Rose,David Rose
6,"""Johnny Angel""",Shelley Fabares,Shelley Fabares
7,"""The Loco-Motion""",Little Eva,Little Eva
8,"""Let Me In""",The Sensations,The Sensations
9,"""The Twist""",Chubby Checker,Chubby Checker
10,"""Soldier Boy""",The Shirelles,The Shirelles
11,"""Hey! Baby""",Bruce Channel,Bruce Channel
12,"""The Wanderer""",Dion,Dion
13,"""Duke of Earl""",Gene Chandler,Gene Chandler
14,"""Palisades Park""",Freddy Cannon,Freddy Cannon
15,"""Breaking Up Is Hard to Do""",Neil Sedaka,Neil Sedaka
16,"""Wolverton Mountain""",Claude King,Claude King
17,"""Slow Twistin'""",Chubby Checker & Dee Dee Sharp,Chubby Checker;Dee Dee Sharp
18,"""It Keeps Right On a-Hurtin'""",Johnny Tillotson,Johnny Tillotson
19,"""The One Who Really Loves You""",Mary Wells,Mary Wells
20,"""Good Luck Charm""",Elvis Presley,Elvis Presley
21,"""Midnight in Moscow""",Kenny Ball,Kenny Ball
22,"""Sheila""",Tommy Roe,Tommy Roe
23,"""Twistin' the Night Away""",Sam Cooke,Sam Cooke
24,"""The Wah-Watusi""",The Orlons,The Orlons
25,"""Peppermint Twist""",Joey Dee and the Starliters,Joey Dee and the Starliters
26,"""Break It to Me Gently""",Brenda Lee,Brenda Lee
27,"""Playboy""",The Marvelettes,The Marvelettes
28,"""Ramblin' Rose""",Nat King Cole,Nat King Cole
29,"""Sealed with a Kiss""",Brian Hyland,Brian Hyland
30,"""She Cried""",Jay and the Americans,Jay and the Americans
31,"""Don't Break the Heart That Loves You""",Connie Francis,Connie Francis
32,"""Dear Lady Twist""",Gary U.S. Bonds,Gary U.S. Bonds
33,"""Norman""",Sue Thompson,Sue Thompson
34,"""Love Letters""",Ketty Lester,Ketty Lester
35,"""Party Lights""",Claudine Clark,Claudine Clark
36,"""Cotton Fields""",The Highwaymen,The Highwaymen
37,"""Alley Cat""",Bent Fabric,Bent Fabric
38,"""Twist and Shout""",The Isley Brothers,The Isley Brothers
39,"""Theme from Dr. Kildare (Three Stars Will Shine Tonight)""",Richard Chamberlain,Richard Chamberlain
40,"""Tuff""",Ace Cannon,Ace Cannon
41,"""Lover Please""",Clyde McPhatter,Clyde McPhatter
42,"""I Know (You Don't Love Me No More)""",Barbara George,Barbara George
43,"""Young World""",Ricky Nelson,Ricky Nelson
44,"""Baby It's You""",The Shirelles,The Shirelles
45,"""Speedy Gonzales""",Pat Boone,Pat Boone
46,"""A Little Bitty Tear""",Burl Ives,Burl Ives
47,"""Crying in the Rain""",The Everly Brothers,The Everly Brothers
48,"""Al di là""",Emilio Pericoli,Emilio Pericoli
49,"""Shout! Shout! (Knock Yourself Out)""",Ernie Maresca,Ernie Maresca
50,"""What's Your Name""",Don and Juan,Don and Juan
51,"""Smoky Places""",The Corsairs,The Corsairs
52,"""Having a Party""",Sam Cooke,Sam Cooke
53,"""Green Onions""",Booker T. & the M.G.'s,Booker T. & the M.G.'s
54,"""You Don't Know Me""",Ray Charles,Ray Charles
55,"""Sherry""",The Four Seasons,The Four Seasons
56,"""Johnny Get Angry""",Joanie Sommers,Joanie Sommers
57,"""Can't Help Falling in Love""",Elvis Presley,Elvis Presley
58,"""Shout""",Joey Dee and the Starliters,Joey Dee and the Starliters
59,"""Rinky Dink""","Dave ""Baby"" Cortez","Dave ""Baby"" Cortez"
60,"""Moon River""",Henry Mancini,Henry Mancini
61,"""Ahab the Arab""",Ray Stevens,Ray Stevens
62,"""Things""",Bobby Darin,Bobby Darin
63,"""(The Man Who Shot) Liberty Valance""",Gene Pitney,Gene Pitney
64,"""You Belong to Me""",The Duprees,The Duprees
65,"""Dream Baby (How Long Must I Dream)""",Roy Orbison,Roy Orbison
66,"""Snap Your Fingers""",Joe Henderson,Joe Henderson
67,"""Lovers Who Wander""",Dion,Dion
68,"""Let's Dance""",Chris Montez,Chris Montez
69,"""Cindy's Birthday""",Johnny Crawford,Johnny Crawford
70,"""You Beat Me to the Punch""",Mary Wells,Mary Wells
71,"""You'll Lose a Good Thing""",Barbara Lynn,Barbara Lynn
72,"""Uptown""",The Crystals,The Crystals
73,"""Everybody Loves Me But You""",Brenda Lee,Brenda Lee
74,"""Patches""",Dickey Lee,Dickey Lee
75,"""Venus in Blue Jeans""",Jimmy Clanton,Jimmy Clanton
76,"""Love Me Warm and Tender""",Paul Anka,Paul Anka
77,"""Teen Age Idol""",Rick Nelson,Rick Nelson
78,"""She's Got You""",Patsy Cline,Patsy Cline
79,"""Dear One""",Larry Finnegan,Larry Finnegan
80,"""Her Royal Majesty""",James Darren,James Darren
81,"""Old Rivers""",Walter Brennan,Walter Brennan
82,"""Funny Way of Laughin'""",Burl Ives,Burl Ives
83,"""A Swingin' Safari""",Billy Vaughn,Billy Vaughn
84,"""Tell Me""",Dick and Dee Dee,Dick and Dee Dee
85,"""PT-109""",Jimmy Dean,Jimmy Dean
86,"""Little Diane""",Dion,Dion
87,"""Percolator (Twist)""",Billy Joe and the Checkmates,Billy Joe and the Checkmates
88,"""Twist, Twist Senora""",Gary U.S. Bonds,Gary U.S. Bonds
89,"""Twistin' Matilda""",Jimmy Soul,Jimmy Soul
90,"""Gravy (For My Mashed Potatoes)""",Dee Dee Sharp,Dee Dee Sharp
91,"""Walk on the Wild Side""",Jimmy Smith,Jimmy Smith
92,"""Soul Twist""",King Curtis,King Curtis
93,"""I'll Never Dance Again""",Bobby Rydell,Bobby Rydell
94,"""I'm Blue (The Gong-Gong Song)""",The Ikettes,The Ikettes
95,"""Where Have All the Flowers Gone?""",The Kingston Trio,The Kingston Trio
96,"""(Girls, Girls, Girls) Made to Love""",Eddie Hodges,Eddie Hodges
97,"""Town Without Pity""",Gene Pitney,Gene Pitney
98,"""If I Had a Hammer""","Peter, Paul and Mary","Peter, Paul and Mary"
99,"""I Wish That We Were Married""",Ronnie & the Hi-Lites,Ronnie & the Hi-Lites
