Rank,Title,Artist(s),Artists Separately
1,"""Somebody That I Used to Know""",Gotye featuring Kimbra,Gotye;Kimbra
2,"""Call Me Maybe""",Carly Rae Jepsen,Carly Rae Jepsen
3,"""We Are Young""",Fun featuring Janelle Monáe,Fun;Janelle Monáe
4,"""Payphone""",Maroon 5 featuring Wiz Khalifa,Maroon 5;Wiz Khalifa
5,"""Lights""",Ellie Goulding,Ellie Goulding
6,"""Glad You Came""",The Wanted,The Wanted
7,"""Stronger (What Doesn't Kill You)""",Kelly Clarkson,Kelly Clarkson
8,"""We Found Love""",Rihanna featuring Calvin Harris,Rihanna;Calvin Harris
9,"""Starships""",Nicki Minaj,Nicki Minaj
10,"""What Makes You Beautiful""",One Direction,One Direction
11,"""Wild Ones""",Flo Rida featuring Sia,Flo Rida;Sia
12,"""Set Fire to the Rain""",Adele,Adele
13,"""Sexy and I Know It""",LMFAO,LMFAO
14,"""Some Nights""",Fun,Fun
15,"""Wide Awake""",Katy Perry,Katy Perry
16,"""Good Feeling""",Flo Rida,Flo Rida
17,"""Whistle""",Flo Rida,Flo Rida
18,"""One More Night""",Maroon 5,Maroon 5
19,"""Drive By""",Train,Train
20,"""The Motto""",Drake featuring Lil Wayne,Drake;Lil Wayne
21,"""Where Have You Been""",Rihanna,Rihanna
22,"""Everybody Talks""",Neon Trees,Neon Trees
23,"""Take Care""",Drake featuring Rihanna,Drake;Rihanna
24,"""Titanium""",David Guetta featuring Sia,David Guetta;Sia
25,"""I Won't Give Up""",Jason Mraz,Jason Mraz
26,"""It Will Rain""",Bruno Mars,Bruno Mars
27,"""Mercy""","Kanye West, Big Sean, Pusha T and 2 Chainz",Kanye West;Big Sean;Pusha T;2 Chainz
28,"""Boyfriend""",Justin Bieber,Justin Bieber
29,"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,LMFAO;Lauren Bennett;GoonRock
30,"""Too Close""",Alex Clare,Alex Clare
31,"""Part of Me""",Katy Perry,Katy Perry
32,"""Young, Wild & Free""",Snoop Dogg and Wiz Khalifa featuring Bruno Mars,Snoop Dogg;Wiz Khalifa;Bruno Mars
33,"""We Are Never Ever Getting Back Together""",Taylor Swift,Taylor Swift
34,"""As Long as You Love Me""",Justin Bieber featuring Big Sean,Justin Bieber;Big Sean
35,"""Turn Me On""",David Guetta featuring Nicki Minaj,David Guetta;Nicki Minaj
36,"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,Maroon 5;Christina Aguilera
37,"""Blow Me (One Last Kiss)""",Pink,Pink
38,"""Good Time""",Owl City and Carly Rae Jepsen,Owl City;Carly Rae Jepsen
39,"""Give Your Heart a Break""",Demi Lovato,Demi Lovato
40,"""Niggas in Paris""",Jay-Z and Kanye West,Jay-Z;Kanye West
41,"""The One That Got Away""",Katy Perry,Katy Perry
42,"""Feel So Close""",Calvin Harris,Calvin Harris
43,"""Someone like You""",Adele,Adele
44,"""Scream""",Usher,Usher
45,"""Rack City""",Tyga,Tyga
46,"""Domino""",Jessie J,Jessie J
47,"""Gangnam Style""",Psy,Psy
48,"""International Love""",Pitbull featuring Chris Brown,Pitbull;Chris Brown
49,"""Home""",Phillip Phillips,Phillip Phillips
50,"""Without You""",David Guetta featuring Usher,David Guetta;Usher
51,"""Ass Back Home""",Gym Class Heroes featuring Neon Hitch,Gym Class Heroes;Neon Hitch
52,"""Wanted""",Hunter Hayes,Hunter Hayes
53,"""Drunk on You""",Luke Bryan,Luke Bryan
54,"""No Lie""",2 Chainz featuring Drake,2 Chainz;Drake
55,"""Want U Back""",Cher Lloyd,Cher Lloyd
56,"""Don't Wake Me Up""",Chris Brown,Chris Brown
57,"""Dance (A$$)""",Big Sean featuring Nicki Minaj,Big Sean;Nicki Minaj
58,"""Springsteen""",Eric Church,Eric Church
59,"""Brokenhearted""",Karmin,Karmin
60,"""Not Over You""",Gavin DeGraw,Gavin DeGraw
61,"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine,Gym Class Heroes;Adam Levine
62,"""Back in Time""",Pitbull,Pitbull
63,"""Work Out""",J. Cole,J. Cole
64,"""Rumour Has It""",Adele,Adele
65,"""Let's Go""",Calvin Harris featuring Ne-Yo,Calvin Harris;Ne-Yo
66,"""Good Girl""",Carrie Underwood,Carrie Underwood
67,"""Pontoon""",Little Big Town,Little Big Town
