Rank,Title,Artist(s),Artists Separately
1,"""To Sir With Love""",Lulu,Lulu
2,"""The Letter""",The Box Tops,The Box Tops
3,"""Ode to Billie Joe""",Bobbie Gentry,Bobbie Gentry
4,"""Windy""",The Association,The Association
5,"""I'm a Believer""",The Monkees,The Monkees
6,"""Light My Fire""",The Doors,The Doors
7,"""Somethin' Stupid""",Frank & Nancy Sinatra,Frank;Nancy Sinatra
8,"""Happy Together""",The Turtles,The Turtles
9,"""Groovin'""",The Young Rascals,The Young Rascals
10,"""Can't Take My Eyes off You""",Frankie Valli,Frankie Valli
11,"""Little Bit O' Soul""",The Music Explosion,The Music Explosion
12,"""I Think We're Alone Now""",Tommy James and the Shondells,Tommy James and the Shondells
13,"""Respect""",Aretha Franklin,Aretha Franklin
14,"""I Was Made to Love Her""",Stevie Wonder,Stevie Wonder
15,"""Come Back When You Grow Up""",Bobby Vee,Bobby Vee
16,"""Kind of a Drag""",The Buckinghams,The Buckinghams
17,"""Sweet Soul Music""",Arthur Conley,Arthur Conley
18,"""Expressway to Your Heart""",The Soul Survivors,The Soul Survivors
19,"""Soul Man""",Sam & Dave,Sam & Dave
20,"""Never My Love""",The Association,The Association
21,"""Apples, Peaches, Pumpkin Pie""",Jay & the Techniques,Jay & the Techniques
22,"""Come on Down to My Boat""",Every Mother's Son,Every Mother's Son
23,"""Incense and Peppermints""",Strawberry Alarm Clock,Strawberry Alarm Clock
24,"""Ruby Tuesday""",The Rolling Stones,The Rolling Stones
25,"""It Must Be Him""",Vikki Carr,Vikki Carr
26,"""Love Is Here and Now You're Gone""",The Supremes,The Supremes
27,"""For What It's Worth""",Buffalo Springfield,Buffalo Springfield
28,"""Gimme Little Sign""",Brenton Wood,Brenton Wood
29,"""The Happening""",The Supremes,The Supremes
30,"""All You Need Is Love""",The Beatles,The Beatles
31,"""Release Me""",Engelbert Humperdinck,Engelbert Humperdinck
32,"""Your Precious Love""",Marvin Gaye & Tammi Terrell,Marvin Gaye;Tammi Terrell
33,"""Somebody to Love""",Jefferson Airplane,Jefferson Airplane
34,"""Get on Up""",The Esquires,The Esquires
35,"""Brown Eyed Girl""",Van Morrison,Van Morrison
36,"""Jimmy Mack""",Martha and the Vandellas,Martha and the Vandellas
37,"""I Got Rhythm""",The Happenings,The Happenings
38,"""A Whiter Shade of Pale""",Procol Harum,Procol Harum
39,"""Don't You Care""",The Buckinghams,The Buckinghams
