Rank,Title,Artist(s),Artists Separately
1,"""End of the Road""",Boyz II Men,Boyz II Men
2,"""Baby Got Back""",Sir Mix-a-Lot,Sir Mix-a-Lot
3,"""Jump""",Kris Kross,Kris Kross
4,"""Save the Best for Last""",Vanessa Williams,Vanessa Williams
5,"""Baby-Baby-Baby""",TLC,TLC
6,"""Tears in Heaven""",Eric Clapton,Eric Clapton
7,"""My Lovin' (You're Never Gonna Get It)""",En Vogue,En Vogue
8,"""Under the Bridge""",Red Hot Chili Peppers,Red Hot Chili Peppers
9,"""All 4 Love""",Color Me Badd,Color Me Badd
10,"""Just Another Day""",Jon Secada,Jon Secada
11,"""I Love Your Smile""",Shanice,Shanice
12,"""To Be with You""",Mr. Big,Mr. Big
13,"""I'm Too Sexy""",Right Said Fred,Right Said Fred
14,"""Black or White""",Michael Jackson,Michael Jackson
15,"""Achy Breaky Heart""",Billy Ray Cyrus,Billy Ray Cyrus
16,"""I'll Be There""",Mariah Carey,Mariah Carey
17,"""November Rain""",Guns N' Roses,Guns N' Roses
18,"""Life Is a Highway""",Tom Cochrane,Tom Cochrane
19,"""Remember the Time""",Michael Jackson,Michael Jackson
20,"""Finally""",CeCe Peniston,CeCe Peniston
21,"""This Used to Be My Playground""",Madonna,Madonna
22,"""Sometimes Love Just Ain't Enough""",Patty Smyth and Don Henley,Patty Smyth;Don Henley
23,"""Can't Let Go""",Mariah Carey,Mariah Carey
24,"""Jump Around""",House of Pain,House of Pain
25,"""Diamonds and Pearls""",Prince and The New Power Generation,Prince;The New Power Generation
26,"""Don't Let the Sun Go Down on Me""",George Michael and Elton John,George Michael;Elton John
27,"""Masterpiece""",Atlantic Starr,Atlantic Starr
28,"""If You Asked Me To""",Celine Dion,Celine Dion
29,"""Giving Him Something He Can Feel""",En Vogue,En Vogue
30,"""Live and Learn""",Joe Public,Joe Public
31,"""Come and Talk to Me""",Jodeci,Jodeci
32,"""Smells Like Teen Spirit""",Nirvana,Nirvana
33,"""Humpin' Around""",Bobby Brown,Bobby Brown
