Rank,Title,Artist(s),Artists Separately
1,"""Hey Jude""",The Beatles,The Beatles
2,"""Love is Blue""",Paul Mauriat,Paul Mauriat
3,"""Honey""",Bobby Goldsboro,Bobby Goldsboro
4,"""(Sittin' On) The Dock of the Bay""",Otis Redding,Otis Redding
5,"""People Got to Be Free""",The Rascals,The Rascals
6,"""Sunshine of Your Love""",Cream,Cream
7,"""This Guy's in Love With You""",Herb Alpert,Herb Alpert
8,"""The Good, the Bad and the Ugly""",Hugo Montenegro,Hugo Montenegro
9,"""Mrs. Robinson""",Simon & Garfunkel,Simon & Garfunkel
10,"""Tighten Up""",Archie Bell & the Drells,Archie Bell & the Drells
11,"""Harper Valley PTA""",Jeannie C. Riley,Jeannie C. Riley
12,"""Little Green Apples""",O. C. Smith,O. C. Smith
13,"""Mony Mony""",Tommy James and the Shondells,Tommy James and the Shondells
14,"""Hello, I Love You""",The Doors,The Doors
15,"""Young Girl""",Gary Puckett & The Union Gap,Gary Puckett & The Union Gap
16,"""Cry Like a Baby""",The Box Tops,The Box Tops
17,"""Stoned Soul Picnic""",The 5th Dimension,The 5th Dimension
18,"""Grazing in the Grass""",Hugh Masekela,Hugh Masekela
19,"""Midnight Confessions""",The Grass Roots,The Grass Roots
20,"""Dance to the Music""",Sly & the Family Stone,Sly & the Family Stone
21,"""The Horse""",Cliff Nobles,Cliff Nobles
22,"""I Wish It Would Rain""",The Temptations,The Temptations
23,"""La-La (Means I Love You)""",The Delfonics,The Delfonics
24,"""Turn Around, Look at Me""",The Vogues,The Vogues
25,"""Judy in Disguise (With Glasses)""",John Fred & His Playboy Band,John Fred & His Playboy Band
26,"""Spooky""",Classics IV,Classics IV
27,"""Love Child""",The Supremes,The Supremes
28,"""Angel of the Morning""",Merrilee Rush,Merrilee Rush
29,"""The Ballad of Bonnie and Clyde""",Georgie Fame,Georgie Fame
30,"""Those Were the Days""",Mary Hopkin,Mary Hopkin
31,"""Born to Be Wild""",Steppenwolf,Steppenwolf
32,"""Cowboys to Girls""",The Intruders,The Intruders
33,"""Simon Says""",1910 Fruitgum Company,1910 Fruitgum Company
34,"""Lady Willpower""",Gary Puckett & The Union Gap,Gary Puckett & The Union Gap
35,"""A Beautiful Morning""",The Rascals,The Rascals
36,"""The Look of Love""",Sérgio Mendes,Sérgio Mendes
37,"""Hold Me Tight""",Johnny Nash,Johnny Nash
38,"""Yummy Yummy Yummy""",Ohio Express,Ohio Express
39,"""Fire""",The Crazy World of Arthur Brown,The Crazy World of Arthur Brown
40,"""Love Is All Around""",The Troggs,The Troggs
41,"""Playboy""",Gene & Debbe,Gene & Debbe
42,"""(Theme from) Valley of the Dolls""",Dionne Warwick,Dionne Warwick
43,"""Classical Gas""",Mason Williams,Mason Williams
44,"""Slip Away""",Clarence Carter,Clarence Carter
45,"""Girl Watcher""",The O'Kaysions,The O'Kaysions
46,"""(Sweet Sweet Baby) Since You've Been Gone""",Aretha Franklin,Aretha Franklin
47,"""Green Tambourine""",The Lemon Pipers,The Lemon Pipers
48,"""1, 2, 3, Red Light""",1910 Fruitgum Company,1910 Fruitgum Company
49,"""Reach Out of the Darkness""",Friend & Lover,Friend & Lover
50,"""Jumpin' Jack Flash""",The Rolling Stones,The Rolling Stones
51,"""MacArthur Park""",Richard Harris,Richard Harris
52,"""Light My Fire""",José Feliciano,José Feliciano
53,"""I Love You""",People!,People!
54,"""Take Time to Know Her""",Percy Sledge,Percy Sledge
55,"""Pictures of Matchstick Men""",Status Quo,Status Quo
