Rank,Title,Artist(s),Artists Separately
1,"""Every Breath You Take""",The Police,The Police
2,"""Billie Jean""",Michael Jackson,Michael Jackson
3,"""Flashdance... What a Feeling""",Irene Cara,Irene Cara
4,"""Down Under""",Men at Work,Men at Work
5,"""Beat It""",Michael Jackson,Michael Jackson
6,"""Total Eclipse of the Heart""",Bonnie Tyler,Bonnie Tyler
7,"""Maneater""",Hall & Oates,Hall & Oates
8,"""Baby, Come to Me""",Patti Austin and James Ingram,Patti Austin;James Ingram
9,"""Maniac""",Michael Sembello,Michael Sembello
10,"""Sweet Dreams (Are Made of This)""",Eurythmics,Eurythmics
11,"""Do You Really Want to Hurt Me""",Culture Club,Culture Club
12,"""You and I""",Eddie Rabbitt and Crystal Gayle,Eddie Rabbitt;Crystal Gayle
13,"""Come On Eileen""",Dexys Midnight Runners,Dexys Midnight Runners
14,"""Shame on the Moon""",Bob Seger & The Silver Bullet Band,Bob Seger & The Silver Bullet Band
15,"""She Works Hard for the Money""",Donna Summer,Donna Summer
16,"""Never Gonna Let You Go""",Sérgio Mendes,Sérgio Mendes
17,"""Hungry Like the Wolf""",Duran Duran,Duran Duran
18,"""Let's Dance""",David Bowie,David Bowie
19,"""Twilight Zone""",Golden Earring,Golden Earring
20,"""I Know There's Something Going On""",Frida,Frida
21,"""Jeopardy""",The Greg Kihn Band,The Greg Kihn Band
22,"""Electric Avenue""",Eddy Grant,Eddy Grant
23,"""She Blinded Me with Science""",Thomas Dolby,Thomas Dolby
24,"""Africa""",Toto,Toto
25,"""Little Red Corvette""",Prince,Prince
26,"""Back on the Chain Gang""",The Pretenders,The Pretenders
27,"""Up Where We Belong""",Joe Cocker and Jennifer Warnes,Joe Cocker;Jennifer Warnes
28,"""Mr. Roboto""",Styx,Styx
29,"""You Are""",Lionel Richie,Lionel Richie
30,"""Der Kommissar""",After the Fire,After the Fire
31,"""Puttin' on the Ritz""",Taco,Taco
32,"""Sexual Healing""",Marvin Gaye,Marvin Gaye
33,"""(Keep Feeling) Fascination""",The Human League,The Human League
34,"""Time (Clock of the Heart)""",Culture Club,Culture Club
35,"""The Safety Dance""",Men Without Hats,Men Without Hats
36,"""Mickey""",Toni Basil,Toni Basil
37,"""You Can't Hurry Love""",Phil Collins,Phil Collins
38,"""Separate Ways (Worlds Apart)""",Journey,Journey
39,"""One on One""",Hall & Oates,Hall & Oates
40,"""We've Got Tonight""",Kenny Rogers and Sheena Easton,Kenny Rogers;Sheena Easton
41,"""1999""",Prince,Prince
42,"""Stray Cat Strut""",Stray Cats,Stray Cats
43,"""Allentown""",Billy Joel,Billy Joel
44,"""Stand Back""",Stevie Nicks,Stevie Nicks
45,"""Tell Her About It""",Billy Joel,Billy Joel
46,"""Always Something There to Remind Me""",Naked Eyes,Naked Eyes
47,"""Truly""",Lionel Richie,Lionel Richie
48,"""Dirty Laundry""",Don Henley,Don Henley
49,"""The Girl Is Mine""",Michael Jackson and Paul McCartney,Michael Jackson;Paul McCartney
50,"""Too Shy""",Kajagoogoo,Kajagoogoo
51,"""Goody Two-Shoes""",Adam Ant,Adam Ant
52,"""Rock the Casbah""",The Clash,The Clash
53,"""Our House""",Madness,Madness
54,"""Overkill""",Men at Work,Men at Work
55,"""Is There Something I Should Know?""",Duran Duran,Duran Duran
56,"""Gloria""",Laura Branigan,Laura Branigan
57,"""Affair of the Heart""",Rick Springfield,Rick Springfield
58,"""She's a Beauty""",The Tubes,The Tubes
59,"""Solitaire""",Laura Branigan,Laura Branigan
60,"""Don't Let It End""",Styx,Styx
61,"""How Am I Supposed to Live Without You""",Laura Branigan,Laura Branigan
62,"""China Girl""",David Bowie,David Bowie
63,"""Come Dancing""",The Kinks,The Kinks
64,"""Promises, Promises""",Naked Eyes,Naked Eyes
65,"""The Other Guy""",Little River Band,Little River Band
66,"""Making Love Out of Nothing at All""",Air Supply,Air Supply
67,"""Family Man""",Hall & Oates,Hall & Oates
68,"""Wanna Be Startin' Somethin'""",Michael Jackson,Michael Jackson
69,"""I Won't Hold You Back""",Toto,Toto
70,"""All Right""",Christopher Cross,Christopher Cross
71,"""Straight from the Heart""",Bryan Adams,Bryan Adams
72,"""Heart to Heart""",Kenny Loggins,Kenny Loggins
73,"""My Love""",Lionel Richie,Lionel Richie
74,"""I'm Still Standing""",Elton John,Elton John
75,"""Hot Girls in Love""",Loverboy,Loverboy
76,"""It's a Mistake""",Men at Work,Men at Work
77,"""I'll Tumble 4 Ya""",Culture Club,Culture Club
78,"""All This Love""",DeBarge,DeBarge
79,"""Your Love Is Driving Me Crazy""",Sammy Hagar,Sammy Hagar
80,"""Heartbreaker""",Dionne Warwick,Dionne Warwick
81,"""Faithfully""",Journey,Journey
82,"""Steppin' Out""",Joe Jackson,Joe Jackson
83,"""Take Me to Heart""",Quarterflash,Quarterflash
84,"""(She's) Sexy + 17""",Stray Cats,Stray Cats
85,"""Try Again""",Champaign,Champaign
86,"""Dead Giveaway""",Shalamar,Shalamar
87,"""Lawyers in Love""",Jackson Browne,Jackson Browne
88,"""What About Me""",Moving Pictures,Moving Pictures
89,"""Human Nature""",Michael Jackson,Michael Jackson
90,"""Photograph""",Def Leppard,Def Leppard
91,"""Pass the Dutchie""",Musical Youth,Musical Youth
92,"""True""",Spandau Ballet,Spandau Ballet
93,"""Far from Over""",Frank Stallone,Frank Stallone
94,"""I've Got a Rock 'n' Roll Heart""",Eric Clapton,Eric Clapton
95,"""It Might Be You""",Stephen Bishop,Stephen Bishop
96,"""Tonight, I Celebrate My Love""",Peabo Bryson and Roberta Flack,Peabo Bryson;Roberta Flack
97,"""You Got Lucky""",Tom Petty and the Heartbreakers,Tom Petty and the Heartbreakers
98,"""Don't Cry""",Asia,Asia
99,"""Breaking Us in Two""",Joe Jackson,Joe Jackson
100,"""Fall in Love with Me""","Earth, Wind & Fire","Earth, Wind & Fire"
