Rank,Title,Artist(s),Artists Separately
1,"""I Will Always Love You""",Whitney Houston,Whitney Houston
2,"""Whoomp! (There It Is)""",Tag Team,Tag Team
3,"""Can't Help Falling in Love""",UB40,UB40
4,"""That's the Way Love Goes""",Janet Jackson,Janet Jackson
5,"""Freak Me""",Silk,Silk
6,"""Weak""",SWV,SWV
7,"""If I Ever Fall in Love""",Shai,Shai
8,"""Dreamlover""",Mariah Carey,Mariah Carey
9,"""Rump Shaker""",Wreckx-n-Effect,Wreckx-n-Effect
10,"""Informer""",Snow,Snow
11,"""Nuthin' but a 'G' Thang""",Dr. Dre,Dr. Dre
12,"""In the Still of the Nite""",Boyz II Men,Boyz II Men
13,"""Don't Walk Away""",Jade,Jade
14,"""Knockin' da Boots""",H-Town,H-Town
15,"""Lately""",Jodeci,Jodeci
16,"""Dazzey Duks""",Duice,Duice
17,"""Show Me Love""",Robin S.,Robin S.
18,"""A Whole New World""",Peabo Bryson and Regina Belle,Peabo Bryson;Regina Belle
19,"""If""",Janet Jackson,Janet Jackson
20,"""I'm So Into You""",SWV,SWV
21,"""Love Is""",Vanessa Williams and Brian McKnight,Vanessa Williams;Brian McKnight
22,"""Runaway Train""",Soul Asylum,Soul Asylum
23,"""I'll Never Get Over You (Getting Over Me)""",Exposé,Exposé
24,"""Ditty""",Paperboy,Paperboy
25,"""Rhythm Is a Dancer""",Snap!,Snap!
26,"""The River of Dreams""",Billy Joel,Billy Joel
27,"""I'm Gonna Be (500 Miles)""",The Proclaimers,The Proclaimers
28,"""Two Princes""",Spin Doctors,Spin Doctors
29,"""Right Here (Human Nature)"" / ""Downtown""",SWV,SWV
30,"""I Have Nothing""",Whitney Houston,Whitney Houston
31,"""Mr. Wendal""",Arrested Development,Arrested Development
32,"""Have I Told You Lately""",Rod Stewart,Rod Stewart
33,"""Saving Forever for You""",Shanice,Shanice
34,"""Ordinary World""",Duran Duran,Duran Duran
35,"""If I Had No Loot""",Tony! Toni! Toné!,Tony! Toni! Toné!
36,"""I'd Do Anything for Love (But I Won't Do That)""",Meat Loaf,Meat Loaf
37,"""Slam""",Onyx,Onyx
38,"""Looking Through Patient Eyes""",P.M. Dawn,P.M. Dawn
39,"""I'm Every Woman""",Whitney Houston,Whitney Houston
40,"""Baby I'm Yours""",Shai,Shai
41,"""Come Undone""",Duran Duran,Duran Duran
42,"""I Don't Wanna Fight""",Tina Turner,Tina Turner
43,"""I'd Die Without You""",P.M. Dawn,P.M. Dawn
44,"""Whoot, There It Is""",95 South,95 South
45,"""Hip Hop Hooray""",Naughty by Nature,Naughty by Nature
46,"""Another Sad Love Song""",Toni Braxton,Toni Braxton
47,"""Will You Be There""",Michael Jackson,Michael Jackson
48,"""Comforter""",Shai,Shai
49,"""Good Enough""",Bobby Brown,Bobby Brown
50,"""What's Up?""",4 Non Blondes,4 Non Blondes
51,"""All That She Wants""",Ace of Base,Ace of Base
52,"""7""",Prince and The New Power Generation,Prince;The New Power Generation
53,"""Dre Day""",Dr. Dre,Dr. Dre
54,"""One Last Cry""",Brian McKnight,Brian McKnight
55,"""Just Kickin' It""",Xscape,Xscape
56,"""I Get Around""",2Pac,2Pac
57,"""Bed of Roses""",Bon Jovi,Bon Jovi
58,"""Real Love""",Mary J. Blige,Mary J. Blige
59,"""Here We Go Again!""",Portrait,Portrait
60,"""Cryin'""",Aerosmith,Aerosmith
61,"""Cat's in the Cradle""",Ugly Kid Joe,Ugly Kid Joe
62,"""What About Your Friends""",TLC,TLC
63,"""I Got a Man""",Positive K,Positive K
64,"""Hey Mr. D.J.""",Zhané,Zhané
65,"""Insane in the Brain""",Cypress Hill,Cypress Hill
66,"""Deeper and Deeper""",Madonna,Madonna
67,"""Rain""",Madonna,Madonna
68,"""The Right Kind of Love""",Jeremy Jordan,Jeremy Jordan
69,"""Bad Boys""",Inner Circle,Inner Circle
70,"""That's What Love Can Do""",Boy Krazy,Boy Krazy
71,"""Do You Believe in Us""",Jon Secada,Jon Secada
72,"""Angel""",Jon Secada,Jon Secada
73,"""Forever in Love""",Kenny G,Kenny G
74,"""Again""",Janet Jackson,Janet Jackson
75,"""Boom! Shake the Room""",DJ Jazzy Jeff & The Fresh Prince,DJ Jazzy Jeff & The Fresh Prince
76,"""When She Cries""",Restless Heart,Restless Heart
77,"""Sweat (A La La La La Long)""",Inner Circle,Inner Circle
78,"""It Was a Good Day""",Ice Cube,Ice Cube
79,"""More and More""",Captain Hollywood Project,Captain Hollywood Project
80,"""How Do You Talk to an Angel""",The Heights,The Heights
81,"""Rebirth of Slick (Cool Like Dat)""",Digable Planets,Digable Planets
82,"""What Is Love""",Haddaway,Haddaway
83,"""To Love Somebody""",Michael Bolton,Michael Bolton
84,"""Give It Up, Turn It Loose""",En Vogue,En Vogue
85,"""Alright""",Kris Kross featuring Super Cat,Kris Kross;Super Cat
86,"""Check Yo Self""",Ice Cube featuring Das EFX,Ice Cube;Das EFX
87,"""Fields of Gold""",Sting,Sting
88,"""Ooh Child""",Dino,Dino
89,"""Faithful""",Go West,Go West
90,"""Reason to Believe""",Rod Stewart,Rod Stewart
91,"""Break It Down Again""",Tears for Fears,Tears for Fears
92,"""Nothin' My Love Can't Fix""",Joey Lawrence,Joey Lawrence
