Rank,Title,Artist(s),Artists Separately
1,"""Gangsta's Paradise""",Coolio featuring L.V.,Coolio;L.V.
2,"""Waterfalls""",TLC,TLC
3,"""Creep""",TLC,
4,"""Kiss from a Rose""",Seal,Seal
5,"""On Bended Knee""",Boyz II Men,Boyz II Men
6,"""Another Night""",Real McCoy,Real McCoy
7,"""Fantasy""",Mariah Carey,Mariah Carey
8,"""Take a Bow""",Madonna,Madonna
9,"""Don't Take It Personal (Just One of Dem Days)""",Monica,Monica
10,"""This Is How We Do It""",Montell Jordan,Montell Jordan
11,"""I Know""",Dionne Farris,Dionne Farris
12,"""Water Runs Dry""",Boyz II Men,
13,"""Freak Like Me""",Adina Howard,Adina Howard
14,"""Run-Around""",Blues Traveler,Blues Traveler
15,"""I Can Love You Like That""",All-4-One,All-4-One
16,"""Have You Ever Really Loved a Woman?""",Bryan Adams,Bryan Adams
17,"""Always""",Bon Jovi,Bon Jovi
18,"""Boombastic"" / ""In the Summertime""",Shaggy,Shaggy
19,"""Total Eclipse of the Heart""",Nicki French,Nicki French
20,"""You Gotta Be""",Des'ree,Des'ree
21,"""You Are Not Alone""",Michael Jackson,Michael Jackson
22,"""Hold My Hand""",Hootie & the Blowfish,Hootie & the Blowfish
23,"""One More Chance/Stay with Me""",The Notorious B.I.G.,The Notorious B.I.G.
24,"""Here Comes the Hotstepper""",Ini Kamoze,Ini Kamoze
25,"""Candy Rain""",Soul for Real,Soul for Real
26,"""Let Her Cry""",Hootie & the Blowfish,
27,"""I Believe""",Blessid Union of Souls,Blessid Union of Souls
28,"""Red Light Special""",TLC,
29,"""Runaway""",Janet Jackson,Janet Jackson
30,"""Strong Enough""",Sheryl Crow,Sheryl Crow
31,"""Colors of the Wind""",Vanessa Williams,Vanessa Williams
32,"""Someone to Love""",Jon B. featuring Babyface,Jon B.;Babyface
33,"""Only Wanna Be with You""",Hootie & the Blowfish,
34,"""If You Love Me""",Brownstone,Brownstone
35,"""In the House of Stone and Light""",Martin Page,Martin Page
36,"""I Got 5 on It""",Luniz,Luniz
37,"""Baby""",Brandy,Brandy
38,"""Run Away""",Real McCoy,
39,"""As I Lay Me Down""",Sophie B. Hawkins,Sophie B. Hawkins
40,"""He's Mine""",MoKenStef,MoKenStef
41,"""December""",Collective Soul,Collective Soul
42,"""I'll Be There for You/You're All I Need to Get By""",Method Man featuring Mary J. Blige,Method Man;Mary J. Blige
43,"""Shy Guy""",Diana King,Diana King
44,"""I'm the Only One""",Melissa Etheridge,Melissa Etheridge
45,"""Every Little Thing I Do""",Soul for Real,Soul for Real
46,"""Before I Let You Go""",Blackstreet,Blackstreet
47,"""Big Poppa"" / ""Warning""",The Notorious B.I.G.,
48,"""Sukiyaki""",4 P.M.,4 P.M.
49,"""I Wanna Be Down""",Brandy,
50,"""I'll Make Love to You""",Boyz II Men,
51,"""Dear Mama"" / ""Old School""",2Pac,2Pac
52,"""Hold On""",Jamie Walters,Jamie Walters
53,"""Keep Their Heads Ringin'""",Dr. Dre,Dr. Dre
54,"""The Rhythm of the Night""",Corona,Corona
55,"""Roll to Me""",Del Amitri,Del Amitri
56,"""Scream"" / ""Childhood""",Michael Jackson and Janet Jackson,
57,"""Freek'n You""",Jodeci,Jodeci
58,"""I Wish""",Skee-Lo,Skee-Lo
59,"""Believe""",Elton John,Elton John
60,"""Carnival""",Natalie Merchant,Natalie Merchant
61,"""You Don't Know How It Feels""",Tom Petty,Tom Petty
62,"""Back for Good""",Take That,Take That
63,"""Tootsee Roll""",69 Boyz,69 Boyz
64,"""You Want This"" / ""70's Love Groove""",Janet Jackson,
65,"""Tell Me""",Groove Theory,Groove Theory
66,"""Can't You See""",Total featuring The Notorious B.I.G.,Total
67,"""All I Wanna Do""",Sheryl Crow,Sheryl Crow
68,"""This Lil' Game We Play""",Subway featuring 702,Subway;702
69,"""Come and Get Your Love""",Real McCoy,
70,"""This Ain't a Love Song""",Bon Jovi,Bon Jovi
71,"""Secret""",Madonna,
72,"""Player's Anthem""",Junior M.A.F.I.A. featuring The Notorious B.I.G.,Junior M.A.F.I.A.
73,"""Feel Me Flow""",Naughty by Nature,Naughty by Nature
74,"""Every Day of the Week""",Jade,Jade
75,"""The Sweetest Days""",Vanessa Williams,Vanessa Williams
76,"""Short Dick Man""",20 Fingers featuring Gillette,20 Fingers;Gillette
77,"""Brokenhearted""",Brandy,
78,"""No More I Love You's""",Annie Lennox,Annie Lennox
79,"""You Used to Love Me""",Faith Evans,Faith Evans
80,"""Constantly""",Immature,Immature
81,"""Hold Me, Thrill Me, Kiss Me, Kill Me""",U2,U2
82,"""100% Pure Love""",Crystal Waters,Crystal Waters
83,"""Ask of You""",Raphael Saadiq,Raphael Saadiq
84,"""Sugar Hill""",AZ,AZ
85,"""Good""",Better Than Ezra,Better Than Ezra
86,"""Brown Sugar""",D'Angelo,D'Angelo
87,"""Turn the Beat Around""",Gloria Estefan,Gloria Estefan
88,"""'Til You Do Me Right""",After 7,After 7
89,"""1st of tha Month""",Bone Thugs-n-Harmony,Bone Thugs-n-Harmony
90,"""Like the Way I Do"" / ""If I Wanted To""",Melissa Etheridge,
91,"""I Live My Life for You""",FireHouse,FireHouse
92,"""Dream About You"" / ""Funky Melody""",Stevie B,Stevie B
93,"""Cotton Eye Joe""",Rednex,Rednex
94,"""Thank You""",Boyz II Men,
95,"""I'll Stand by You""",The Pretenders,The Pretenders
96,"""I Miss You""",N II U,N II U
97,"""Give It 2 You""",Da Brat,Da Brat
98,"""Best Friend""",Brandy,
99,"""Misery""",Soul Asylum,Soul Asylum
100,"""Can't Stop Lovin' You""",Van Halen,Van Halen
