Rank,Title,Artist(s),Artists Separately
1,"""Shadow Dancing""",Andy Gibb,Andy Gibb
2,"""Night Fever""",Bee Gees,Bee Gees
3,"""You Light Up My Life""",Debby Boone,Debby Boone
4,"""Stayin' Alive""",Bee Gees,Bee Gees
5,"""Kiss You All Over""",Exile,Exile
6,"""How Deep Is Your Love""",Bee Gees,Bee Gees
7,"""Baby Come Back""",Player,Player
8,"""(Love Is) Thicker Than Water""",Andy Gibb,Andy Gibb
9,"""Boogie Oogie Oogie""",A Taste of Honey,A Taste of Honey
10,"""Three Times a Lady""",Commodores,Commodores
11,"""Grease""",Frankie Valli,Frankie Valli
12,"""I Go Crazy""",Paul Davis,Paul Davis
13,"""You're the One That I Want""",John Travolta & Olivia Newton-John,John Travolta;Olivia Newton-John
14,"""Emotion""",Samantha Sang,Samantha Sang
15,"""Lay Down Sally""",Eric Clapton,Eric Clapton
16,"""Miss You""",The Rolling Stones,The Rolling Stones
17,"""Just the Way You Are""",Billy Joel,Billy Joel
18,"""With a Little Luck""",Wings,Wings
19,"""If I Can't Have You""",Yvonne Elliman,Yvonne Elliman
20,"""Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)""",Chic,Chic
21,"""Feels So Good""",Chuck Mangione,Chuck Mangione
22,"""Hot Child in the City""",Nick Gilder,Nick Gilder
23,"""Love Is Like Oxygen""",Sweet,Sweet
24,"""It's a Heartache""",Bonnie Tyler,Bonnie Tyler
25,"""We Will Rock You/We Are the Champions""",Queen,Queen
26,"""Baker Street""",Gerry Rafferty,Gerry Rafferty
27,"""Can't Smile Without You""",Barry Manilow,Barry Manilow
28,"""Too Much, Too Little, Too Late""",Johnny Mathis & Deniece Williams,Johnny Mathis;Deniece Williams
29,"""Dance With Me""",Peter Brown,Peter Brown
30,"""Two Out of Three Ain't Bad""",Meat Loaf,Meat Loaf
31,"""Jack And Jill""",Raydio,Raydio
32,"""Take a Chance on Me""",ABBA,ABBA
33,"""Sometimes When We Touch""",Dan Hill,Dan Hill
34,"""Last Dance""",Donna Summer,Donna Summer
35,"""Hopelessly Devoted to You""",Olivia Newton-John,Olivia Newton-John
36,"""Hot Blooded""",Foreigner,Foreigner
37,"""You're in My Heart (The Final Acclaim)""",Rod Stewart,Rod Stewart
38,"""The Closer I Get to You""",Roberta Flack & Donny Hathaway,Roberta Flack;Donny Hathaway
39,"""Dust in the Wind""",Kansas,Kansas
40,"""Magnet and Steel""",Walter Egan,Walter Egan
41,"""Short People""",Randy Newman,Randy Newman
42,"""Use ta Be My Girl""",The O'Jays,The O'Jays
43,"""Our Love""",Natalie Cole,Natalie Cole
44,"""Love Will Find a Way""",Pablo Cruise,Pablo Cruise
45,"""An Everlasting Love""",Andy Gibb,Andy Gibb
46,"""Love Is in the Air""",John Paul Young,John Paul Young
47,"""Goodbye Girl""",David Gates,David Gates
48,"""Slip Slidin' Away""",Paul Simon,Paul Simon
49,"""The Groove Line""",Heatwave,Heatwave
50,"""Thunder Island""",Jay Ferguson,Jay Ferguson
51,"""Imaginary Lover""",Atlanta Rhythm Section,Atlanta Rhythm Section
52,"""Still the Same""",Bob Seger & The Silver Bullet Band,Bob Seger & The Silver Bullet Band
53,"""My Angel Baby""",Toby Beau,Toby Beau
54,"""Disco Inferno""",The Trammps,The Trammps
55,"""On Broadway""",George Benson,George Benson
56,"""Come Sail Away""",Styx,Styx
57,"""(Every Time I Turn Around) Back in Love Again""",L.T.D.,L.T.D.
58,"""This Time I'm in It for Love""",Player,Player
59,"""You Belong to Me""",Carly Simon,Carly Simon
60,"""Here You Come Again""",Dolly Parton,Dolly Parton
61,"""Blue Bayou""",Linda Ronstadt,Linda Ronstadt
62,"""Peg""",Steely Dan,Steely Dan
63,"""You Needed Me""",Anne Murray,Anne Murray
64,"""Shame""","Evelyn ""Champagne"" King","Evelyn ""Champagne"" King"
65,"""Reminiscing""",Little River Band,Little River Band
66,"""Count On Me""",Jefferson Starship,Jefferson Starship
67,"""Baby Hold On""",Eddie Money,Eddie Money
68,"""Hey Deanie""",Shaun Cassidy,Shaun Cassidy
69,"""Summer Nights""",John Travolta & Olivia Newton-John,John Travolta;Olivia Newton-John
70,"""What's Your Name""",Lynyrd Skynyrd,Lynyrd Skynyrd
71,"""Don't It Make My Brown Eyes Blue""",Crystal Gayle,Crystal Gayle
72,"""Because the Night""",Patti Smith Group,Patti Smith Group
73,"""Every Kinda People""",Robert Palmer,Robert Palmer
74,"""Copacabana""",Barry Manilow,Barry Manilow
75,"""Always and Forever""",Heatwave,Heatwave
76,"""You and I""",Rick James,Rick James
77,"""Serpentine Fire""","Earth, Wind & Fire","Earth, Wind & Fire"
78,"""Sentimental Lady""",Bob Welch,Bob Welch
79,"""Falling""",LeBlanc & Carr,LeBlanc;Carr
80,"""Don't Let Me Be Misunderstood""",Santa Esmeralda,Santa Esmeralda
81,"""Bluer Than Blue""",Michael Johnson,Michael Johnson
82,"""Running on Empty""",Jackson Browne,Jackson Browne
83,"""Whenever I Call You 'Friend'""",Kenny Loggins & Stevie Nicks,Kenny Loggins;Stevie Nicks
84,"""Fool (If You Think It's Over)""",Chris Rea,Chris Rea
85,"""Get Off""",Foxy,Foxy
86,"""Sweet Talkin' Woman""",Electric Light Orchestra,Electric Light Orchestra
87,"""Life's Been Good""",Joe Walsh,Joe Walsh
88,"""I Love the Nightlife""",Alicia Bridges,Alicia Bridges
89,"""You Can't Turn Me Off (In The Middle Of Turning Me On)""",High Inergy,High Inergy
90,"""It's So Easy""",Linda Ronstadt,Linda Ronstadt
91,"""Native New Yorker""",Odyssey,Odyssey
92,"""Flash Light""",Parliament,Parliament
93,"""Don't Look Back""",Boston,Boston
94,"""Turn to Stone""",Electric Light Orchestra,Electric Light Orchestra
95,"""I Can't Stand the Rain""",Eruption,Eruption
96,"""Ebony Eyes""",Bob Welch,Bob Welch
97,"""The Name of the Game""",ABBA,ABBA
98,"""We're All Alone""",Rita Coolidge,Rita Coolidge
99,"""Hollywood Nights""",Bob Seger & The Silver Bullet Band,Bob Seger & The Silver Bullet Band
100,"""Deacon Blues""",Steely Dan,Steely Dan
