Rank,Title,Artist(s),Artists Separately
1,"""California Dreamin'""",The Mamas & the Papas,The Mamas & the Papas
2,"""96 Tears""",? and the Mysterians,? and the Mysterians
3,"""What Becomes of the Brokenhearted""",Jimmy Ruffin,Jimmy Ruffin
4,"""Last Train to Clarksville""",The Monkees,The Monkees
5,"""Reach Out I'll Be There""",Four Tops,Four Tops
6,"""These Boots Are Made for Walkin'""",Nancy Sinatra,Nancy Sinatra
7,"""Cherish""",The Association,The Association
8,"""Strangers in the Night""",Frank Sinatra,Frank Sinatra
9,"""Kicks""",Paul Revere & the Raiders,Paul Revere & the Raiders
10,"""The Ballad of the Green Berets""",SSgt Barry Sadler,SSgt Barry Sadler
11,"""Good Lovin'""",The Young Rascals,The Young Rascals
12,"""(You're My) Soul and Inspiration""",The Righteous Brothers,The Righteous Brothers
13,"""You Can't Hurry Love""",The Supremes,The Supremes
14,"""Sunny""",Bobby Hebb,Bobby Hebb
15,"""See You In September""",The Happenings,The Happenings
16,"""Li'l Red Riding Hood""",Sam the Sham and the Pharaohs,Sam the Sham and the Pharaohs
17,"""Lightnin' Strikes""",Lou Christie,Lou Christie
18,"""Poor Side of Town""",Johnny Rivers,Johnny Rivers
19,"""Working In The Coal Mine""",Lee Dorsey,Lee Dorsey
20,"""A Groovy Kind of Love""",The Mindbenders,The Mindbenders
21,"""You Don't Have To Say You Love Me""",Dusty Springfield,Dusty Springfield
22,"""Sunshine Superman""",Donovan,Donovan
23,"""Born a Woman""",Sandy Posey,Sandy Posey
24,"""Monday, Monday""",The Mamas & the Papas,The Mamas & the Papas
25,"""Red Rubber Ball""",The Cyrkle,The Cyrkle
26,"""Born Free""",Roger Williams,Roger Williams
27,"""Walk Away Renée""",The Left Banke,The Left Banke
28,"""Cool Jerk""",The Capitols,The Capitols
29,"""B-A-B-Y""",Carla Thomas,Carla Thomas
30,"""Hanky Panky""",Tommy James and the Shondells,Tommy James and the Shondells
31,"""When a Man Loves a Woman""",Percy Sledge,Percy Sledge
32,"""Time Won't Let Me""",The Outsiders,The Outsiders
33,"""Good Vibrations""",The Beach Boys,The Beach Boys
34,"""Paint It Black""",The Rolling Stones,The Rolling Stones
35,"""Summer in the City""",The Lovin' Spoonful,The Lovin' Spoonful
36,"""I'm So Lonesome I Could Cry""",B. J. Thomas & the Triumphs,B. J. Thomas & the Triumphs
37,"""My Love""",Petula Clark,Petula Clark
38,"""Daydream""",The Lovin' Spoonful,The Lovin' Spoonful
39,"""Ain't Too Proud to Beg""",The Temptations,The Temptations
40,"""Wild Thing""",The Troggs,The Troggs
41,"""Elusive Butterfly""",Bob Lind,Bob Lind
42,"""I Am a Rock""",Simon & Garfunkel,Simon & Garfunkel
43,"""Dirty Water""",The Standells,The Standells
44,"""Hooray for Hazel""",Tommy Roe,Tommy Roe
45,"""Crying Time""",Ray Charles,Ray Charles
46,"""Sweet Pea""",Tommy Roe,Tommy Roe
47,"""Secret Agent Man""",Johnny Rivers,Johnny Rivers
48,"""Did You Ever Have to Make Up Your Mind?""",The Lovin' Spoonful,The Lovin' Spoonful
49,"""We Can Work It Out""",The Beatles,The Beatles
50,"""Homeward Bound""",Simon & Garfunkel,Simon & Garfunkel
51,"""Uptight (Everything's Alright)""",Stevie Wonder,Stevie Wonder
52,"""Bang Bang (My Baby Shot Me Down)""",Cher,Cher
53,"""Sloop John B""",The Beach Boys,The Beach Boys
54,"""19th Nervous Breakdown""",The Rolling Stones,The Rolling Stones
55,"""Wipe Out""",The Surfaris,The Surfaris
56,"""Psychotic Reaction""",Count Five,Count Five
57,"""Paperback Writer""",The Beatles,The Beatles
58,"""Beauty Is Only Skin Deep""",The Temptations,The Temptations
59,"""No Matter What Shape (Your Stomach's In)""",The T-Bones,The T-Bones
60,"""Barefootin'""",Robert Parker,Robert Parker
61,"""Just Like Me""",Paul Revere & the Raiders,Paul Revere & the Raiders
62,"""Love Makes the World Go Round""",Deon Jackson,Deon Jackson
63,"""The Pied Piper""",Crispian St. Peters,Crispian St. Peters
64,"""Somewhere My Love""",Ray Conniff Singers,Ray Conniff Singers
65,"""Almost Persuaded""",David Houston,David Houston
66,"""If I Were a Carpenter""",Bobby Darin,Bobby Darin
67,"""Don't Mess with Bill""",The Marvelettes,The Marvelettes
68,"""Cherry, Cherry""",Neil Diamond,Neil Diamond
69,"""Message to Michael""",Dionne Warwick,Dionne Warwick
70,"""Love Is a Hurtin' Thing""",Lou Rawls,Lou Rawls
71,"""Gloria""",The Shadows of Knight,The Shadows of Knight
72,"""My World Is Empty Without You""",The Supremes,The Supremes
73,"""Barbara Ann""",The Beach Boys,The Beach Boys
74,"""Rainy Day Women #12 & 35""",Bob Dylan,Bob Dylan
75,"""Guantanamera""",The Sandpipers,The Sandpipers
76,"""I'm Your Puppet""",James & Bobby Purify,James & Bobby Purify
77,"""Land of 1000 Dances""",Wilson Pickett,Wilson Pickett
