Rank,Title,Artist(s),Artists Separately
1,"""Uptown Funk""",Mark Ronson featuring Bruno Mars,Mark Ronson;Bruno Mars
2,"""Thinking Out Loud""",Ed Sheeran,Ed Sheeran
3,"""See You Again""",Wiz Khalifa featuring Charlie Puth,Wiz Khalifa;Charlie Puth
4,"""Trap Queen""",Fetty Wap,Fetty Wap
5,"""Sugar""",Maroon 5,Maroon 5
6,"""Shut Up and Dance""",Walk the Moon,Walk the Moon
7,"""Blank Space""",Taylor Swift,Taylor Swift
8,"""Watch Me""",Silentó,Silentó
9,"""Earned It""",The Weeknd,The Weeknd
10,"""The Hills""",The Weeknd,The Weeknd
11,"""Cheerleader (Felix Jaehn Remix)""",OMI,OMI
12,"""Can't Feel My Face""",The Weeknd,The Weeknd
13,"""Love Me Like You Do""",Ellie Goulding,Ellie Goulding
14,"""Take Me to Church""",Hozier,Hozier
15,"""Bad Blood""",Taylor Swift featuring Kendrick Lamar,Taylor Swift;Kendrick Lamar
16,"""Lean On""",Major Lazer and DJ Snake featuring MØ,Major Lazer;DJ Snake;MØ
17,"""Want to Want Me""",Jason Derulo,Jason Derulo
18,"""Shake It Off""",Taylor Swift,Taylor Swift
19,"""Where Are Ü Now""",Skrillex and Diplo (Jack Ü) featuring Justin Bieber,Skrillex;Diplo;Jack Ü;Justin Bieber
20,"""Fight Song""",Rachel Platten,Rachel Platten
21,"""679""",Fetty Wap featuring Remy Boyz,Fetty Wap
22,"""Lips Are Movin""",Meghan Trainor,Meghan Trainor
23,"""Worth It""",Fifth Harmony featuring Kid Ink,Fifth Harmony;Kid Ink
24,"""Post to Be""",Omarion featuring Chris Brown and Jhené Aiko,Omarion;Chris Brown;Jhené Aiko
25,"""Honey, I'm Good.""",Andy Grammer,Andy Grammer
26,"""I'm Not the Only One""",Sam Smith,Sam Smith
27,"""Good for You""",Selena Gomez featuring ASAP Rocky,Selena Gomez;ASAP Rocky
28,"""All About That Bass""",Meghan Trainor,Meghan Trainor
29,"""Style""",Taylor Swift,Taylor Swift
30,"""Hotline Bling""",Drake,Drake
31,"""Hey Mama""","David Guetta featuring Nicki Minaj, Bebe Rexha and Afrojack",David Guetta;Nicki Minaj;Bebe Rexha;Afrojack
32,"""G.D.F.R.""",Flo Rida featuring Sage the Gemini and Lookas,Flo Rida;Sage the Gemini;Lookas
33,"""What Do You Mean?""",Justin Bieber,Justin Bieber
34,"""Photograph""",Ed Sheeran,Ed Sheeran
35,"""Hello""",Adele,Adele
36,"""Stitches""",Shawn Mendes,Shawn Mendes
37,"""Talking Body""",Tove Lo,Tove Lo
38,"""Jealous""",Nick Jonas,Nick Jonas
39,"""Time of Our Lives""",Pitbull and Ne-Yo,Pitbull;Ne-Yo
40,"""Locked Away""",R. City featuring Adam Levine,R. City;Adam Levine
41,"""Somebody""",Natalie La Rose featuring Jeremih,Natalie La Rose;Jeremih
42,"""FourFiveSeconds""","Rihanna, Kanye West and Paul McCartney",Rihanna;Kanye West;Paul McCartney
43,"""Centuries""",Fall Out Boy,Fall Out Boy
44,"""My Way""",Fetty Wap featuring Monty,Fetty Wap
45,"""Take Your Time""",Sam Hunt,Sam Hunt
46,"""Animals""",Maroon 5,Maroon 5
47,"""I Don't Fuck with You""",Big Sean featuring E-40,Big Sean;E-40
48,"""Bitch Better Have My Money""",Rihanna,Rihanna
49,"""Flex (Ooh, Ooh, Ooh)""",Rich Homie Quan,Rich Homie Quan
50,"""Nasty Freestyle""",T-Wayne,T-Wayne
51,"""Only""","Nicki Minaj featuring Drake, Lil Wayne and Chris Brown",Nicki Minaj;Drake;Lil Wayne;Chris Brown
52,"""Elastic Heart""",Sia,Sia
53,"""Cool for the Summer""",Demi Lovato,Demi Lovato
54,"""Renegades""",X Ambassadors,X Ambassadors
55,"""I Don't Mind""",Usher featuring Juicy J,Usher;Juicy J
56,"""Love Me Harder""",Ariana Grande and The Weeknd,Ariana Grande;The Weeknd
57,"""Wildest Dreams""",Taylor Swift,Taylor Swift
58,"""Stay with Me""",Sam Smith,Sam Smith
59,"""You Know You Like It""",DJ Snake and AlunaGeorge,DJ Snake;AlunaGeorge
60,"""Uma Thurman""",Fall Out Boy,Fall Out Boy
61,"""7/11""",Beyoncé,Beyoncé
62,"""The Heart Wants What It Wants""",Selena Gomez,Selena Gomez
63,"""Girl Crush""",Little Big Town,Little Big Town
64,"""Slow Motion""",Trey Songz,Trey Songz
65,"""Drag Me Down""",One Direction,One Direction
66,"""Truffle Butter""",Nicki Minaj featuring Drake and Lil Wayne,Nicki Minaj;Drake;Lil Wayne
67,"""One Last Time""",Ariana Grande,Ariana Grande
68,"""Chains""",Nick Jonas,Nick Jonas
69,"""All Eyes on You""",Meek Mill featuring Chris Brown and Nicki Minaj,Meek Mill;Chris Brown;Nicki Minaj
70,"""No Type""",Rae Sremmurd,Rae Sremmurd
71,"""Riptide""",Vance Joy,Vance Joy
72,"""Classic Man""",Jidenna featuring Roman GianArthur,Jidenna;Roman GianArthur
73,"""Ex's & Oh's""",Elle King,Elle King
74,"""Dear Future Husband""",Meghan Trainor,Meghan Trainor
75,"""Marvin Gaye""",Charlie Puth featuring Meghan Trainor,Charlie Puth;Meghan Trainor
76,"""Like I'm Gonna Lose You""",Meghan Trainor featuring John Legend,Meghan Trainor;John Legend
77,"""Habits (Stay High)""",Tove Lo,Tove Lo
78,"""The Hanging Tree""",James Newton Howard featuring Jennifer Lawrence,James Newton Howard;Jennifer Lawrence
79,"""CoCo""",O.T. Genasis,O.T. Genasis
80,"""Bang Bang""","Jessie J, Ariana Grande and Nicki Minaj",Jessie J;Ariana Grande;Nicki Minaj
81,"""Lay Me Down""",Sam Smith,Sam Smith
82,"""Tuesday""",ILoveMakonnen featuring Drake,ILoveMakonnen;Drake
83,"""Hit the Quan""",iLoveMemphis,iLoveMemphis
84,"""Downtown""","Macklemore & Ryan Lewis featuring Eric Nally, Melle Mel, Kool Moe Dee and Grandmaster Caz",Macklemore & Ryan Lewis;Eric Nally;Melle Mel;Kool Moe Dee;Grandmaster Caz
85,"""House Party""",Sam Hunt,Sam Hunt
86,"""Ayo""",Chris Brown and Tyga,Chris Brown;Tyga
87,"""Kick the Dust Up""",Luke Bryan,Luke Bryan
88,"""Blessings""",Big Sean featuring Drake and Kanye West,Big Sean;Drake;Kanye West
89,"""Budapest""",George Ezra,George Ezra
90,"""Chandelier""",Sia,Sia
91,"""Heartbeat Song""",Kelly Clarkson,Kelly Clarkson
92,"""Don't""",Ed Sheeran,Ed Sheeran
93,"""Ghost""",Ella Henderson,Ella Henderson
94,"""Here""",Alessia Cara,Alessia Cara
95,"""Waves (Robin Schulz Remix)""",Mr Probz,Mr Probz
96,"""El Perdón""",Nicky Jam and Enrique Iglesias,Nicky Jam;Enrique Iglesias
97,"""She Knows""",Ne-Yo featuring Juicy J,Ne-Yo;Juicy J
98,"""Night Changes""",One Direction,One Direction
99,"""Back to Back""",Drake,Drake
100,"""How Deep Is Your Love""",Calvin Harris and Disciples,Calvin Harris;Disciples
