Rank,Title,Artist(s),Artists Separately
1,"""Rolling in the Deep""",Adele,Adele
2,"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,LMFAO;Lauren Bennett;GoonRock
3,"""Firework""",Katy Perry,Katy Perry
4,"""E.T.""",Katy Perry featuring Kanye West,Katy Perry;Kanye West
5,"""Give Me Everything""","Pitbull featuring Ne-Yo, Afrojack and Nayer",Pitbull;Ne-Yo;Afrojack;Nayer
6,"""Grenade""",Bruno Mars,Bruno Mars
7,"""F**K You (Forget You)""",CeeLo Green,CeeLo Green
8,"""Super Bass""",Nicki Minaj,Nicki Minaj
9,"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,Maroon 5;Christina Aguilera
10,"""Just Can't Get Enough""",The Black Eyed Peas,The Black Eyed Peas
11,"""On the Floor""",Jennifer Lopez featuring Pitbull,Jennifer Lopez;Pitbull
12,"""S&M""",Rihanna,Rihanna
13,"""Pumped Up Kicks""",Foster the People,Foster the People
14,"""Last Friday Night (T.G.I.F.)""",Katy Perry,Katy Perry
15,"""Just the Way You Are""",Bruno Mars,Bruno Mars
16,"""Tonight (I'm Lovin' You)""",Enrique Iglesias featuring Ludacris and DJ Frank E,Enrique Iglesias;Ludacris;DJ Frank E
17,"""Raise Your Glass""",Pink,Pink
18,"""Born This Way""",Lady Gaga,Lady Gaga
19,"""F**kin' Perfect""",Pink,Pink
20,"""What's My Name?""",Rihanna featuring Drake,Rihanna;Drake
21,"""Look at Me Now""",Chris Brown featuring Lil Wayne and Busta Rhymes,Chris Brown;Lil Wayne;Busta Rhymes
22,"""Down on Me""",Jeremih featuring 50 Cent,Jeremih;50 Cent
23,"""How to Love""",Lil Wayne,Lil Wayne
24,"""Someone Like You""",Adele,Adele
25,"""Good Life""",OneRepublic,OneRepublic
26,"""The Lazy Song""",Bruno Mars,Bruno Mars
27,"""Till the World Ends""",Britney Spears,Britney Spears
28,"""The Show Goes On""",Lupe Fiasco,Lupe Fiasco
29,"""The Edge of Glory""",Lady Gaga,Lady Gaga
30,"""We R Who We R""",Kesha,Kesha
31,"""Black and Yellow""",Wiz Khalifa,Wiz Khalifa
32,"""Tonight Tonight""",Hot Chelle Rae,Hot Chelle Rae
33,"""Blow""",Kesha,Kesha
34,"""Lighters""",Bad Meets Evil featuring Bruno Mars,Bad Meets Evil;Bruno Mars
35,"""If I Die Young""",The Band Perry,The Band Perry
36,"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine,Gym Class Heroes;Adam Levine
37,"""The Time (Dirty Bit)""",The Black Eyed Peas,The Black Eyed Peas
38,"""Coming Home""",Diddy – Dirty Money featuring Skylar Grey,Diddy – Dirty Money;Skylar Grey
39,"""Hey Baby (Drop It to the Floor)""",Pitbull featuring T-Pain,Pitbull;T-Pain
40,"""Only Girl (In the World)""",Rihanna,Rihanna
41,"""6 Foot 7 Foot""",Lil Wayne featuring Cory Gunz,Lil Wayne;Cory Gunz
42,"""Just a Kiss""",Lady Antebellum,Lady Antebellum
43,"""Dirt Road Anthem""",Jason Aldean,Jason Aldean
44,"""Dynamite""",Taio Cruz,Taio Cruz
45,"""No Hands""",Waka Flocka Flame featuring Wale and Roscoe Dash,Waka Flocka Flame;Wale;Roscoe Dash
46,"""I Wanna Go""",Britney Spears,Britney Spears
47,"""I'm on One""","DJ Khaled featuring Drake, Rick Ross and Lil Wayne",DJ Khaled;Drake;Rick Ross;Lil Wayne
48,"""You Make Me Feel...""",Cobra Starship featuring Sabi,Cobra Starship;Sabi
49,"""Yeah 3x""",Chris Brown,Chris Brown
50,"""Moment 4 Life""",Nicki Minaj featuring Drake,Nicki Minaj;Drake
51,"""I Need a Doctor""",Dr. Dre featuring Eminem and Skylar Grey,Dr. Dre;Eminem;Skylar Grey
52,"""Just a Dream""",Nelly,Nelly
53,"""Motivation""",Kelly Rowland featuring Lil Wayne,Kelly Rowland;Lil Wayne
54,"""Stereo Love""",Edward Maya featuring Vika Jigulina,Edward Maya;Vika Jigulina
55,"""Jar of Hearts""",Christina Perri,Christina Perri
56,"""Roll Up""",Wiz Khalifa,Wiz Khalifa
57,"""Sexy and I Know It""",LMFAO,LMFAO
58,"""Rocketeer""",Far East Movement featuring Ryan Tedder,Far East Movement;Ryan Tedder
59,"""All of the Lights""",Kanye West,Kanye West
60,"""Hold It Against Me""",Britney Spears,Britney Spears
61,"""More""",Usher,Usher
62,"""What the Hell""",Avril Lavigne,Avril Lavigne
63,"""Written in the Stars""",Tinie Tempah featuring Eric Turner,Tinie Tempah;Eric Turner
64,"""Bottoms Up""",Trey Songz featuring Nicki Minaj,Trey Songz;Nicki Minaj
65,"""DJ Got Us Fallin' in Love""",Usher featuring Pitbull,Usher;Pitbull
66,"""For the First Time""",The Script,The Script
67,"""Honey Bee""",Blake Shelton,Blake Shelton
68,"""Don't You Wanna Stay""",Jason Aldean featuring Kelly Clarkson,Jason Aldean;Kelly Clarkson
69,"""We Found Love""",Rihanna featuring Calvin Harris,Rihanna;Calvin Harris
70,"""Pretty Girl Rock""",Keri Hilson,Keri Hilson
71,"""Yoü and I""",Lady Gaga,Lady Gaga
72,"""Like a G6""",Far East Movement featuring The Cataracs and Dev,Far East Movement;The Cataracs;Dev
73,"""Without You""",David Guetta featuring Usher,David Guetta;Usher
74,"""Back to December""",Taylor Swift,Taylor Swift
75,"""Teenage Dream""",Katy Perry,Katy Perry
76,"""Crazy Girl""",Eli Young Band,Eli Young Band
77,"""Cheers (Drink to That)""",Rihanna,Rihanna
78,"""Who Says""",Selena Gomez & the Scene,Selena Gomez & the Scene
79,"""Barefoot Blue Jean Night""",Jake Owen,Jake Owen
80,"""Knee Deep""",Zac Brown Band featuring Jimmy Buffett,Zac Brown Band;Jimmy Buffett
81,"""Country Girl (Shake It for Me)""",Luke Bryan,Luke Bryan
82,"""Remind Me""",Brad Paisley and Carrie Underwood,Brad Paisley;Carrie Underwood
83,"""In the Dark""",Dev,Dev
84,"""Backseat""",New Boyz featuring The Cataracs and Dev,New Boyz;The Cataracs;Dev
85,"""Headlines""",Drake,Drake
86,"""Best Thing I Never Had""",Beyoncé,Beyoncé
87,"""Don't Wanna Go Home""",Jason Derulo,Jason Derulo
88,"""Where Them Girls At""",David Guetta featuring Flo Rida and Nicki Minaj,David Guetta;Flo Rida;Nicki Minaj
89,"""She Ain't You""",Chris Brown,Chris Brown
90,"""Take a Back Road""",Rodney Atkins,Rodney Atkins
91,"""Please Don't Go""",Mike Posner,Mike Posner
92,"""Sure Thing""",Miguel,Miguel
93,"""Price Tag""",Jessie J featuring B.o.B,Jessie J;B.o.B
94,"""God Gave Me You""",Blake Shelton,Blake Shelton
