Rank,Title,Artist(s),Artists Separately
1,"""My Sharona""",The Knack,The Knack
2,"""Bad Girls""",Donna Summer,Donna Summer
3,"""Le Freak""",Chic,Chic
4,"""Da Ya Think I'm Sexy?""",Rod Stewart,Rod Stewart
5,"""Reunited""",Peaches & Herb,Peaches & Herb
6,"""I Will Survive""",Gloria Gaynor,Gloria Gaynor
7,"""Hot Stuff""",Donna Summer,Donna Summer
8,"""Y.M.C.A.""",Village People,Village People
9,"""Ring My Bell""",Anita Ward,Anita Ward
10,"""Sad Eyes""",Robert John,Robert John
11,"""Too Much Heaven""",Bee Gees,Bee Gees
12,"""MacArthur Park""",Donna Summer,Donna Summer
13,"""When You're in Love with a Beautiful Woman""",Dr. Hook,Dr. Hook
14,"""Makin' It""",David Naughton,David Naughton
15,"""Fire""",The Pointer Sisters,The Pointer Sisters
16,"""Tragedy""",Bee Gees,Bee Gees
17,"""A Little More Love""",Olivia Newton-John,Olivia Newton-John
18,"""Heart of Glass""",Blondie,Blondie
19,"""What a Fool Believes""",The Doobie Brothers,The Doobie Brothers
20,"""Good Times""",Chic,Chic
21,"""You Don't Bring Me Flowers""",Neil Diamond & Barbra Streisand,Neil Diamond;Barbra Streisand
22,"""Knock on Wood""",Amii Stewart,Amii Stewart
23,"""Stumblin' In""",Suzi Quatro & Chris Norman,Suzi Quatro;Chris Norman
24,"""Lead Me On""",Maxine Nightingale,Maxine Nightingale
25,"""Shake Your Body (Down to the Ground)""",The Jacksons,The Jacksons
26,"""Don't Cry Out Loud""",Melissa Manchester,Melissa Manchester
27,"""The Logical Song""",Supertramp,Supertramp
28,"""My Life""",Billy Joel,Billy Joel
29,"""Just When I Needed You Most""",Randy VanWarmer,Randy VanWarmer
30,"""You Can't Change That""",Raydio,Raydio
31,"""Shake Your Groove Thing""",Peaches & Herb,Peaches & Herb
32,"""I'll Never Love This Way Again""",Dionne Warwick,Dionne Warwick
33,"""Love You Inside Out""",Bee Gees,Bee Gees
34,"""I Want You to Want Me""",Cheap Trick,Cheap Trick
35,"""The Main Event/Fight""",Barbra Streisand,Barbra Streisand
36,"""Mama Can't Buy You Love""",Elton John,Elton John
37,"""I Was Made for Dancin'""",Leif Garrett,Leif Garrett
38,"""After the Love Has Gone""","Earth, Wind & Fire","Earth, Wind & Fire"
39,"""Heaven Knows""",Donna Summer and Brooklyn Dreams,Donna Summer;Brooklyn Dreams
40,"""The Gambler""",Kenny Rogers,Kenny Rogers
41,"""Lotta Love""",Nicolette Larson,Nicolette Larson
42,"""Lady""",Little River Band,Little River Band
43,"""Heaven Must Have Sent You""",Bonnie Pointer,Bonnie Pointer
44,"""Hold the Line""",Toto,Toto
45,"""He's the Greatest Dancer""",Sister Sledge,Sister Sledge
46,"""Sharing the Night Together""",Dr. Hook,Dr. Hook
47,"""She Believes in Me""",Kenny Rogers,Kenny Rogers
48,"""In the Navy""",Village People,Village People
49,"""Music Box Dancer""",Frank Mills,Frank Mills
50,"""The Devil Went Down to Georgia""",The Charlie Daniels Band,The Charlie Daniels Band
51,"""Gold""",John Stewart,John Stewart
52,"""Goodnight Tonight""",Wings,Wings
53,"""We Are Family""",Sister Sledge,Sister Sledge
54,"""Rock 'n' Roll Fantasy""",Bad Company,Bad Company
55,"""Every 1's a Winner""",Hot Chocolate,Hot Chocolate
56,"""Take Me Home""",Cher,Cher
57,"""Boogie Wonderland""","Earth, Wind & Fire & The Emotions","Earth, Wind & Fire;The Emotions"
58,"""(Our Love) Don't Throw It All Away""",Andy Gibb,Andy Gibb
59,"""What You Won't Do for Love""",Bobby Caldwell,Bobby Caldwell
60,"""New York Groove""",Ace Frehley,Ace Frehley
61,"""Sultans of Swing""",Dire Straits,Dire Straits
62,"""I Want Your Love""",Chic,Chic
63,"""Chuck E.'s In Love""",Rickie Lee Jones,Rickie Lee Jones
64,"""I Love the Nightlife""",Alicia Bridges,Alicia Bridges
65,"""Ain't No Stoppin' Us Now""",McFadden & Whitehead,McFadden & Whitehead
66,"""Lonesome Loser""",Little River Band,Little River Band
67,"""Renegade""",Styx,Styx
68,"""Love Is the Answer""",England Dan & John Ford Coley,England Dan & John Ford Coley
69,"""Got to Be Real""",Cheryl Lynn,Cheryl Lynn
70,"""Born to Be Alive""",Patrick Hernandez,Patrick Hernandez
71,"""Shine a Little Love""",Electric Light Orchestra,Electric Light Orchestra
72,"""I Just Fall in Love Again""",Anne Murray,Anne Murray
73,"""Shake It""",Ian Matthews,Ian Matthews
74,"""I Was Made for Lovin' You""",Kiss,Kiss
75,"""I Just Wanna Stop""",Gino Vannelli,Gino Vannelli
76,"""Disco Nights (Rock-Freak)""",GQ,GQ
77,"""Ooo Baby Baby""",Linda Ronstadt,Linda Ronstadt
78,"""September""","Earth, Wind & Fire","Earth, Wind & Fire"
79,"""Time Passages""",Al Stewart,Al Stewart
80,"""Rise""",Herb Alpert,Herb Alpert
81,"""Don't Bring Me Down""",Electric Light Orchestra,Electric Light Orchestra
82,"""Promises""",Eric Clapton,Eric Clapton
83,"""Get Used to It""",Roger Voudouris,Roger Voudouris
84,"""How Much I Feel""",Ambrosia,Ambrosia
85,"""Suspicions""",Eddie Rabbitt,Eddie Rabbitt
86,"""You Take My Breath Away""",Rex Smith,Rex Smith
87,"""How You Gonna See Me Now""",Alice Cooper,Alice Cooper
88,"""Double Vision""",Foreigner,Foreigner
89,"""Everytime I Think of You""",The Babys,The Babys
90,"""I Got My Mind Made Up (You Can Get It Girl)""",Instant Funk,Instant Funk
91,"""Don't Stop 'til You Get Enough""",Michael Jackson,Michael Jackson
92,"""Bad Case of Loving You (Doctor, Doctor)""",Robert Palmer,Robert Palmer
93,"""Somewhere in the Night""",Barry Manilow,Barry Manilow
94,"""We've Got Tonight""",Bob Seger & The Silver Bullet Band,Bob Seger & The Silver Bullet Band
95,"""Dance the Night Away""",Van Halen,Van Halen
96,"""Dancin' Shoes""",Nigel Olsson,Nigel Olsson
