Rank,Title,Artist(s),Artists Separately
1,"""Sugar, Sugar""",The Archies,The Archies
2,"""Aquarius/Let the Sunshine In""",The 5th Dimension,The 5th Dimension
3,"""I Can't Get Next to You""",The Temptations,The Temptations
4,"""Honky Tonk Women""",The Rolling Stones,The Rolling Stones
5,"""Everyday People""",Sly and the Family Stone,Sly and the Family Stone
6,"""Dizzy""",Tommy Roe,Tommy Roe
7,"""Hot Fun in the Summertime""",Sly and the Family Stone,Sly and the Family Stone
8,"""I'll Never Fall in Love Again""",Tom Jones,Tom Jones
9,"""Build Me Up Buttercup""",The Foundations,The Foundations
10,"""Crimson and Clover""",Tommy James and the Shondells,Tommy James and the Shondells
11,"""One""",Three Dog Night,Three Dog Night
12,"""Crystal Blue Persuasion""",Tommy James and the Shondells,Tommy James and the Shondells
13,"""Hair""",The Cowsills,The Cowsills
14,"""Too Busy Thinking About My Baby""",Marvin Gaye,Marvin Gaye
15,"""Love Theme from Romeo and Juliet""",Henry Mancini,Henry Mancini
16,"""Get Together""",The Youngbloods,The Youngbloods
17,"""Grazing in the Grass""",The Friends of Distinction,The Friends of Distinction
18,"""Suspicious Minds""",Elvis Presley,Elvis Presley
19,"""Proud Mary""",Creedence Clearwater Revival,Creedence Clearwater Revival
20,"""What Does It Take (To Win Your Love)""",Jr. Walker & The All Stars,Jr. Walker & The All Stars
21,"""It's Your Thing""",The Isley Brothers,The Isley Brothers
22,"""Sweet Caroline""",Neil Diamond,Neil Diamond
23,"""Jean""",Oliver,Oliver
24,"""Bad Moon Rising""",Creedence Clearwater Revival,Creedence Clearwater Revival
25,"""Get Back""",The Beatles with Billy Preston,The Beatles;Billy Preston
26,"""In the Year 2525""",Zager & Evans,Zager & Evans
27,"""Spinning Wheel""","Blood, Sweat & Tears","Blood, Sweat & Tears"
28,"""Baby, I Love You""",Andy Kim,Andy Kim
29,"""Going in Circles""",The Friends of Distinction,The Friends of Distinction
30,"""Hurt So Bad""",The Lettermen,The Lettermen
31,"""Green River""",Creedence Clearwater Revival,Creedence Clearwater Revival
32,"""My Cherie Amour""",Stevie Wonder,Stevie Wonder
33,"""Easy to Be Hard""",Three Dog Night,Three Dog Night
34,"""Baby It's You""",Smith,Smith
35,"""In the Ghetto""",Elvis Presley,Elvis Presley
36,"""A Boy Named Sue""",Johnny Cash,Johnny Cash
37,"""Baby, Baby Don't Cry""",The Miracles,The Miracles
38,"""Only the Strong Survive""",Jerry Butler,Jerry Butler
39,"""Time of the Season""",The Zombies,The Zombies
40,"""Wedding Bell Blues""",The 5th Dimension,The 5th Dimension
41,"""Little Woman""",Bobby Sherman,Bobby Sherman
42,"""Love (Can Make You Happy)""",Mercy,Mercy
43,"""Good Morning Starshine""",Oliver,Oliver
44,"""These Eyes""",The Guess Who,The Guess Who
45,"""You've Made Me So Very Happy""","Blood, Sweat & Tears","Blood, Sweat & Tears"
46,"""Put a Little Love in Your Heart""",Jackie DeShannon,Jackie DeShannon
47,"""Do Your Thing""",Charles Wright & the Watts 103rd Street Rhythm Band,Charles Wright & the Watts 103rd Street Rhythm Band
48,"""I'd Wait a Million Years""",The Grass Roots,The Grass Roots
49,"""Touch Me""",The Doors,The Doors
50,"""More Today Than Yesterday""",Spiral Starecase,Spiral Starecase
51,"""I've Gotta Be Me""",Sammy Davis Jr.,Sammy Davis Jr.
52,"""Lay Lady Lay""",Bob Dylan,Bob Dylan
53,"""Atlantis""",Donovan,Donovan
54,"""Traces""",Classics IV,Classics IV
55,"""It's Getting Better""","""Mama"" Cass Elliot","""Mama"" Cass Elliot"
56,"""This Magic Moment""",Jay and the Americans,Jay and the Americans
57,"""Runaway Child, Running Wild""",The Temptations,The Temptations
58,"""Hawaii Five-O""",The Ventures,The Ventures
59,"""Galveston""",Glen Campbell,Glen Campbell
60,"""I'm Gonna Make You Mine""",Lou Christie,Lou Christie
61,"""Gitarzan""",Ray Stevens,Ray Stevens
62,"""Can I Change My Mind""",Tyrone Davis,Tyrone Davis
63,"""Time Is Tight""",Booker T. & the M.G.'s,Booker T. & the M.G.'s
64,"""This Girl's in Love With You""",Dionne Warwick,Dionne Warwick
65,"""Color Him Father""",The Winstons,The Winstons
66,"""Black Pearl""","Checkmates, Ltd.","Checkmates, Ltd."
67,"""Indian Giver""",1910 Fruitgum Company,1910 Fruitgum Company
68,"""Mother Popcorn""",James Brown,James Brown
69,"""Twenty-Five Miles""",Edwin Starr,Edwin Starr
70,"""Things I'd Like to Say""",New Colony Six,New Colony Six
71,"""When I Die""",Motherlode,Motherlode
72,"""That's the Way Love Is""",Marvin Gaye,Marvin Gaye
73,"""Everybody's Talkin'""",Harry Nilsson,Harry Nilsson
74,"""Worst That Could Happen""",The Brooklyn Bridge,The Brooklyn Bridge
75,"""The Chokin' Kind""",Joe Simon,Joe Simon
76,"""Smile a Little Smile for Me""",The Flying Machine,The Flying Machine
77,"""Polk Salad Annie""",Tony Joe White,Tony Joe White
78,"""Ruby, Don't Take Your Love to Town""",Kenny Rogers and The First Edition,Kenny Rogers and The First Edition
79,"""Games People Play""",Joe South,Joe South
80,"""You Showed Me""",The Turtles,The Turtles
81,"""Tracy""",The Cuff Links,The Cuff Links
82,"""Oh, What a Night""",The Dells,The Dells
83,"""Something""",The Beatles,The Beatles
84,"""This Girl Is a Woman Now""",Gary Puckett & The Union Gap,Gary Puckett & The Union Gap
85,"""Come Together""",The Beatles,The Beatles
86,"""Ramblin' Gamblin' Man""",Bob Seger System,Bob Seger System
87,"""I'm Gonna Make You Love Me""",The Supremes & The Temptations,The Supremes;The Temptations
88,"""I Heard It Through the Grapevine""",Marvin Gaye,Marvin Gaye
89,"""Gimme Gimme Good Lovin'""",Crazy Elephant,Crazy Elephant
90,"""Hang 'Em High""",Booker T. & the M.G.'s,Booker T. & the M.G.'s
91,"""Your Good Thing (Is About to End)""",Lou Rawls,Lou Rawls
92,"""Baby, I'm for Real""",The Originals,The Originals
93,"""Oh Happy Day""",Edwin Hawkins Singers,Edwin Hawkins Singers
94,"""Love Me Tonight""",Tom Jones,Tom Jones
