Rank,Title,Artist(s),Artists Separately
1,"""Walk Like An Egyptian""",The Bangles,The Bangles
2,"""Alone""",Heart,Heart
3,"""Shake You Down""",Gregory Abbott,Gregory Abbott
4,"""I Wanna Dance with Somebody (Who Loves Me)""",Whitney Houston,Whitney Houston
5,"""Nothing's Gonna Stop Us Now""",Starship,Starship
6,"""C'est La Vie""",Robbie Nevil,Robbie Nevil
7,"""Here I Go Again""",Whitesnake,Whitesnake
8,"""The Way It Is""",Bruce Hornsby and the Range,Bruce Hornsby and the Range
9,"""Shakedown""",Bob Seger,Bob Seger
10,"""Livin' on a Prayer""",Bon Jovi,Bon Jovi
11,"""La Bamba""",Los Lobos,Los Lobos
12,"""Everybody Have Fun Tonight""",Wang Chung,Wang Chung
13,"""Don't Dream It's Over""",Crowded House,Crowded House
14,"""Always""",Atlantic Starr,Atlantic Starr
15,"""With or Without You""",U2,U2
16,"""Looking for a New Love""",Jody Watley,Jody Watley
17,"""Head to Toe""",Lisa Lisa and Cult Jam,Lisa Lisa and Cult Jam
18,"""I Think We're Alone Now""",Tiffany,Tiffany
19,"""Mony Mony""",Billy Idol,Billy Idol
20,"""At This Moment""",Billy Vera and the Beaters,Billy Vera and the Beaters
21,"""The Lady in Red""",Chris de Burgh,Chris de Burgh
22,"""Didn't We Almost Have It All""",Whitney Houston,Whitney Houston
23,"""I Still Haven't Found What I'm Looking For""",U2,U2
24,"""I Want Your Sex""",George Michael,George Michael
25,"""Notorious""",Duran Duran,Duran Duran
26,"""Only in My Dreams""",Debbie Gibson,Debbie Gibson
27,"""(I've Had) The Time of My Life""",Bill Medley and Jennifer Warnes,Bill Medley;Jennifer Warnes
28,"""The Next Time I Fall""",Peter Cetera and Amy Grant,Peter Cetera;Amy Grant
29,"""Lean on Me""",Club Nouveau,Club Nouveau
30,"""Open Your Heart""",Madonna,Madonna
31,"""Lost in Emotion""",Lisa Lisa and Cult Jam,Lisa Lisa and Cult Jam
32,"""(I Just) Died In Your Arms""",Cutting Crew,Cutting Crew
33,"""Heart and Soul""",T'Pau,T'Pau
34,"""You Keep Me Hangin' On""",Kim Wilde,Kim Wilde
35,"""Keep Your Hands to Yourself""",Georgia Satellites,Georgia Satellites
36,"""I Knew You Were Waiting (For Me)""",Aretha Franklin and George Michael,Aretha Franklin;George Michael
37,"""Control""",Janet Jackson,Janet Jackson
38,"""U Got the Look""",Prince,Prince
39,"""Somewhere Out There""",Linda Ronstadt and James Ingram,Linda Ronstadt;James Ingram
40,"""Land of Confusion""",Genesis,Genesis
41,"""Jacob's Ladder""",Huey Lewis and the News,Huey Lewis and the News
42,"""Who's That Girl""",Madonna,Madonna
43,"""You Got It All""",The Jets,The Jets
44,"""Touch Me (I Want Your Body)""",Samantha Fox,Samantha Fox
45,"""I Just Can't Stop Loving You""",Michael Jackson with Siedah Garrett,Michael Jackson;Siedah Garrett
46,"""Causing a Commotion""",Madonna,Madonna
47,"""In Too Deep""",Genesis,Genesis
48,"""Let's Wait Awhile""",Janet Jackson,Janet Jackson
49,"""Hip to Be Square""",Huey Lewis and the News,Huey Lewis and the News
50,"""Will You Still Love Me?""",Chicago,Chicago
51,"""Little Lies""",Fleetwood Mac,Fleetwood Mac
52,"""Luka""",Suzanne Vega,Suzanne Vega
53,"""I Heard A Rumour""",Bananarama,Bananarama
54,"""Don't Mean Nothing""",Richard Marx,Richard Marx
55,"""Songbird""",Kenny G,Kenny G
56,"""Carrie""",Europe,Europe
57,"""Don't Disturb This Groove""",The System,The System
58,"""La Isla Bonita""",Madonna,Madonna
59,"""Bad""",Michael Jackson,Michael Jackson
60,"""Sign o' the Times""",Prince,Prince
61,"""Change of Heart""",Cyndi Lauper,Cyndi Lauper
62,"""Come Go with Me""",Exposé,Exposé
63,"""Can't We Try""",Dan Hill featuring Vonda Shepard,Dan Hill;Vonda Shepard
64,"""To Be a Lover""",Billy Idol,Billy Idol
65,"""Mandolin Rain""",Bruce Hornsby and the Range,Bruce Hornsby and the Range
66,"""Breakout""",Swing Out Sister,Swing Out Sister
67,"""Stand by Me""",Ben E. King,Ben E. King
68,"""Tonight, Tonight, Tonight""",Genesis,Genesis
69,"""Someday""",Glass Tiger,Glass Tiger
70,"""When Smokey Sings""",ABC,ABC
71,"""Casanova""",LeVert,LeVert
72,"""Rhythm Is Gonna Get You""",Gloria Estefan and Miami Sound Machine,Gloria Estefan and Miami Sound Machine
73,"""Rock Steady""",The Whispers,The Whispers
74,"""Wanted Dead or Alive""",Bon Jovi,Bon Jovi
