Rank,Title,Artist(s),Artists Separately
1,"""Look Away""",Chicago,Chicago
2,"""My Prerogative""",Bobby Brown,Bobby Brown
3,"""Every Rose Has Its Thorn""",Poison,Poison
4,"""Straight Up""",Paula Abdul,Paula Abdul
5,"""Miss You Much""",Janet Jackson,Janet Jackson
6,"""Cold Hearted""",Paula Abdul,Paula Abdul
7,"""Wind Beneath My Wings""",Bette Midler,Bette Midler
8,"""Girl You Know It's True""",Milli Vanilli,Milli Vanilli
9,"""Baby, I Love Your Way/Freebird Medley""",Will to Power,Will to Power
10,"""Giving You the Best That I Got""",Anita Baker,Anita Baker
11,"""Right Here Waiting""",Richard Marx,Richard Marx
12,"""Waiting For a Star to Fall""",Boy Meets Girl,Boy Meets Girl
13,"""Lost in Your Eyes""",Debbie Gibson,Debbie Gibson
14,"""Don't Wanna Lose You""",Gloria Estefan,Gloria Estefan
15,"""Heaven""",Warrant,Warrant
16,"""Girl I'm Gonna Miss You""",Milli Vanilli,Milli Vanilli
17,"""The Look""",Roxette,Roxette
18,"""She Drives Me Crazy""",Fine Young Cannibals,Fine Young Cannibals
19,"""On Our Own""",Bobby Brown,Bobby Brown
20,"""Two Hearts""",Phil Collins,Phil Collins
21,"""Blame It on the Rain""",Milli Vanilli,Milli Vanilli
22,"""Listen to Your Heart""",Roxette,Roxette
23,"""I'll Be There for You""",Bon Jovi,Bon Jovi
24,"""If You Don't Know Me by Now""",Simply Red,Simply Red
25,"""Like a Prayer""",Madonna,Madonna
26,"""I'll Be Loving You (Forever)""",New Kids on the Block,New Kids on the Block
27,"""How Can I Fall?""",Breathe,Breathe
28,"""Baby Don't Forget My Number""",Milli Vanilli,Milli Vanilli
29,"""Toy Soldiers""",Martika,Martika
30,"""Forever Your Girl""",Paula Abdul,Paula Abdul
31,"""The Living Years""",Mike + The Mechanics,Mike + The Mechanics
32,"""Eternal Flame""",The Bangles,The Bangles
33,"""Wild Thing""",Tone Loc,Tone Loc
34,"""When I See You Smile""",Bad English,Bad English
35,"""If I Could Turn Back Time""",Cher,Cher
36,"""Buffalo Stance""",Neneh Cherry,Neneh Cherry
37,"""When I'm with You""",Sheriff,Sheriff
38,"""Don't Rush Me""",Taylor Dayne,Taylor Dayne
39,"""Born to Be My Baby""",Bon Jovi,Bon Jovi
40,"""Good Thing""",Fine Young Cannibals,Fine Young Cannibals
41,"""The Lover in Me""",Sheena Easton,Sheena Easton
42,"""Bust a Move""",Young MC,Young MC
43,"""Once Bitten, Twice Shy""",Great White,Great White
44,"""Batdance""",Prince,Prince
45,"""Rock On""",Michael Damian,Michael Damian
46,"""Real Love""",Jody Watley,Jody Watley
47,"""Love Shack""",The B-52's,The B-52's
48,"""Every Little Step""",Bobby Brown,Bobby Brown
49,"""Hangin' Tough""",New Kids on the Block,New Kids on the Block
50,"""My Heart Can't Tell You No""",Rod Stewart,Rod Stewart
51,"""So Alive""",Love and Rockets,Love and Rockets
52,"""You Got It (The Right Stuff)""",New Kids on the Block,New Kids on the Block
53,"""Armageddon It""",Def Leppard,Def Leppard
54,"""Satisfied""",Richard Marx,Richard Marx
55,"""Express Yourself""",Madonna,Madonna
56,"""I Like It""",Dino,Dino
57,"""Soldier of Love""",Donny Osmond,Donny Osmond
58,"""Sowing the Seeds of Love""",Tears for Fears,Tears for Fears
59,"""Cherish""",Madonna,Madonna
60,"""When the Children Cry""",White Lion,White Lion
61,"""18 and Life""",Skid Row,Skid Row
62,"""I Don't Want Your Love""",Duran Duran,Duran Duran
63,"""Second Chance""",.38 Special,.38 Special
64,"""The Way You Love Me""",Karyn White,Karyn White
65,"""Funky Cold Medina""",Tone Loc,Tone Loc
66,"""In Your Room""",The Bangles,The Bangles
67,"""Miss You Like Crazy""",Natalie Cole,Natalie Cole
68,"""Lovesong""",The Cure,The Cure
69,"""Secret Rendezvous""",Karyn White,Karyn White
70,"""Angel Eyes""",The Jeff Healey Band,The Jeff Healey Band
71,"""Patience""",Guns N' Roses,Guns N' Roses
72,"""Walk on Water""",Eddie Money,Eddie Money
