Rank,Title,Artist(s),Artists Separately
1,"""Happy""",Pharrell Williams,Pharrell Williams
2,"""Dark Horse""",Katy Perry featuring Juicy J,Katy Perry;Juicy J
3,"""All of Me""",John Legend,John Legend
4,"""Fancy""",Iggy Azalea featuring Charli XCX,Iggy Azalea;Charli XCX
5,"""Counting Stars""",OneRepublic,OneRepublic
6,"""Talk Dirty""",Jason Derulo featuring 2 Chainz,Jason Derulo;2 Chainz
7,"""Rude""",Magic!,Magic!
8,"""All About That Bass""",Meghan Trainor,Meghan Trainor
9,"""Problem""",Ariana Grande featuring Iggy Azalea,Ariana Grande;Iggy Azalea
10,"""Stay with Me""",Sam Smith,Sam Smith
11,"""Timber""",Pitbull featuring Kesha,Pitbull;Kesha
12,"""Pompeii""",Bastille,Bastille
13,"""Shake It Off""",Taylor Swift,Taylor Swift
14,"""Am I Wrong""",Nico & Vinz,Nico & Vinz
15,"""Turn Down for What""",DJ Snake and Lil Jon,DJ Snake;Lil Jon
16,"""The Monster""",Eminem featuring Rihanna,Eminem;Rihanna
17,"""Say Something""",A Great Big World and Christina Aguilera,A Great Big World;Christina Aguilera
18,"""Team""",Lorde,Lorde
19,"""Let Her Go""",Passenger,Passenger
20,"""Royals""",Lorde,Lorde
21,"""Let It Go""",Idina Menzel,Idina Menzel
22,"""Wake Me Up""",Avicii,Avicii
23,"""Demons""",Imagine Dragons,Imagine Dragons
24,"""Story of My Life""",One Direction,One Direction
25,"""Chandelier""",Sia,Sia
26,"""Black Widow""",Iggy Azalea featuring Rita Ora,Iggy Azalea;Rita Ora
27,"""Bang Bang""","Jessie J, Ariana Grande and Nicki Minaj",Jessie J;Ariana Grande;Nicki Minaj
28,"""Latch""",Disclosure featuring Sam Smith,Disclosure;Sam Smith
29,"""Maps""",Maroon 5,Maroon 5
30,"""Loyal""",Chris Brown featuring Lil Wayne and French Montana or Too Short or Tyga,Chris Brown;Lil Wayne;French Montana;Too Short;Tyga
31,"""Best Day of My Life""",American Authors,American Authors
32,"""Habits (Stay High)""",Tove Lo,Tove Lo
33,"""Summer""",Calvin Harris,Calvin Harris
34,"""Boom Clap""",Charli XCX,Charli XCX
35,"""Drunk in Love""",Beyoncé featuring Jay-Z,Beyoncé;Jay-Z
36,"""Anaconda""",Nicki Minaj,Nicki Minaj
37,"""Break Free""",Ariana Grande featuring Zedd,Ariana Grande;Zedd
38,"""Bailando""",Enrique Iglesias featuring Descemer Bueno and Gente de Zona,Enrique Iglesias;Descemer Bueno;Gente de Zona
39,"""Burn""",Ellie Goulding,Ellie Goulding
40,"""Wiggle""",Jason Derulo featuring Snoop Dogg,Jason Derulo;Snoop Dogg
41,"""Rather Be""",Clean Bandit featuring Jess Glynne,Clean Bandit;Jess Glynne
42,"""Don't Tell 'Em""",Jeremih featuring YG,Jeremih;YG
43,"""Show Me""",Kid Ink featuring Chris Brown,Kid Ink;Chris Brown
44,"""Wrecking Ball""",Miley Cyrus,Miley Cyrus
45,"""Not a Bad Thing""",Justin Timberlake,Justin Timberlake
46,"""Roar""",Katy Perry,Katy Perry
47,"""Ain't It Fun""",Paramore,Paramore
48,"""The Man""",Aloe Blacc,Aloe Blacc
49,"""This Is How We Roll""",Florida Georgia Line featuring Luke Bryan,Florida Georgia Line;Luke Bryan
50,"""Classic""",MKTO,MKTO
51,"""A Sky Full of Stars""",Coldplay,Coldplay
52,"""Don't""",Ed Sheeran,Ed Sheeran
53,"""Na Na""",Trey Songz,Trey Songz
54,"""Hot Boy""",Bobby Shmurda,Bobby Shmurda
55,"""Hold On, We're Going Home""",Drake featuring Majid Jordan,Drake;Majid Jordan
56,"""Sing""",Ed Sheeran,Ed Sheeran
57,"""Radioactive""",Imagine Dragons,Imagine Dragons
58,"""My Hitta""",YG featuring Jeezy and Rich Homie Quan,YG;Jeezy;Rich Homie Quan
59,"""Cool Kids""",Echosmith,Echosmith
60,"""Hey Brother""",Avicii,Avicii
61,"""Trumpets""",Jason Derulo,Jason Derulo
62,"""Animals""",Maroon 5,Maroon 5
63,"""Burnin' It Down""",Jason Aldean,Jason Aldean
64,"""Play It Again""",Luke Bryan,Luke Bryan
65,"""2 On""",Tinashe featuring ScHoolboy Q,Tinashe;ScHoolboy Q
66,"""Dirt""",Florida Georgia Line,Florida Georgia Line
67,"""Love Runs Out""",OneRepublic,OneRepublic
68,"""Bottoms Up""",Brantley Gilbert,Brantley Gilbert
69,"""Shower""",Becky G,Becky G
70,"""Me and My Broken Heart""",Rixton,Rixton
71,"""Animals""",Martin Garrix,Martin Garrix
72,"""Lifestyle""",Rich Gang featuring Young Thug and Rich Homie Quan,Rich Gang;Young Thug;Rich Homie Quan
73,"""American Kids""",Kenny Chesney,Kenny Chesney
74,"""Brave""",Sara Bareilles,Sara Bareilles
75,"""Sweater Weather""",The Neighbourhood,The Neighbourhood
76,"""Leave the Night On""",Sam Hunt,Sam Hunt
77,"""New Flame""",Chris Brown featuring Usher and Rick Ross,Chris Brown;Usher;Rick Ross
78,"""Love Never Felt So Good""",Michael Jackson and Justin Timberlake,Michael Jackson;Justin Timberlake
79,"""Drunk on a Plane""",Dierks Bentley,Dierks Bentley
80,"""Birthday""",Katy Perry,Katy Perry
81,"""Bartender""",Lady Antebellum,Lady Antebellum
82,"""La La La""",Naughty Boy featuring Sam Smith,Naughty Boy;Sam Smith
83,"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams,Robin Thicke;T.I.;Pharrell Williams
84,"""Do What U Want""",Lady Gaga featuring R. Kelly,Lady Gaga;R. Kelly
85,"""Can't Remember to Forget You""",Shakira featuring Rihanna,Shakira;Rihanna
86,"""Amnesia""",5 Seconds of Summer,5 Seconds of Summer
87,"""No Mediocre""",T.I. featuring Iggy Azalea,T.I.;Iggy Azalea
88,"""Come with Me Now""",KONGOS,KONGOS
89,"""Believe Me""",Lil Wayne featuring Drake,Lil Wayne;Drake
90,"""23""","Mike WiLL Made-It featuring Miley Cyrus, Wiz Khalifa, and Juicy J",Mike WiLL Made-It;Miley Cyrus;Wiz Khalifa;Juicy J
91,"""Beachin'""",Jake Owen,Jake Owen
92,"""White Walls""",Macklemore & Ryan Lewis featuring ScHoolboy Q and Hollis,Macklemore & Ryan Lewis;ScHoolboy Q;Hollis
93,"""She Looks So Perfect""",5 Seconds of Summer,5 Seconds of Summer
94,"""Stay the Night""",Zedd featuring Hayley Williams,Zedd;Hayley Williams
95,"""Partition""",Beyoncé,Beyoncé
96,"""Studio""",ScHoolboy Q featuring BJ the Chicago Kid,ScHoolboy Q;BJ the Chicago Kid
97,"""0 to 100 / The Catch Up""",Drake,Drake
98,"""I Don't Dance""",Lee Brice,Lee Brice
99,"""Somethin' Bad""",Miranda Lambert and Carrie Underwood,Miranda Lambert;Carrie Underwood
100,"""Adore You""",Miley Cyrus,Miley Cyrus
