Rank,Title,Artist(s),Artists Separately
1,"""Heat Waves""",Glass Animals,Glass Animals
2,"""As It Was""",Harry Styles,Harry Styles
3,"""Stay""",The Kid Laroi and Justin Bieber,The Kid Laroi;Justin Bieber
4,"""Easy on Me""",Adele,Adele
5,"""Shivers""",Ed Sheeran,Ed Sheeran
6,"""First Class""",Jack Harlow,Jack Harlow
7,"""Big Energy""",Latto,Latto
8,"""Ghost""",Justin Bieber,Justin Bieber
9,"""Super Gremlin""",Kodak Black,Kodak Black
10,"""Cold Heart (Pnau remix)""",Elton John and Dua Lipa,Elton John;Dua Lipa
11,"""Wait for U""",Future featuring Drake and Tems,Future;Drake;Tems
12,"""About Damn Time""",Lizzo,Lizzo
13,"""Bad Habits""",Ed Sheeran,Ed Sheeran
14,"""Thats What I Want""",Lil Nas X,Lil Nas X
15,"""Enemy""",Imagine Dragons and JID,Imagine Dragons;JID
16,"""Industry Baby""",Lil Nas X and Jack Harlow,Lil Nas X;Jack Harlow
17,"""ABCDEFU""",Gayle,Gayle
18,"""Need to Know""",Doja Cat,Doja Cat
19,"""Wasted on You""",Morgan Wallen,Morgan Wallen
20,"""Me Porto Bonito""",Bad Bunny and Chencho Corleone,Bad Bunny;Chencho Corleone
21,"""Woman""",Doja Cat,Doja Cat
22,"""Tití Me Preguntó""",Bad Bunny,Bad Bunny
23,"""Running Up That Hill (A Deal with God)""",Kate Bush,Kate Bush
24,"""We Don't Talk About Bruno""","Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz and the Encanto cast",Carolina Gaitán;Adassa;Rhenzy Feliz;Diane Guerrero;Stephanie Beatriz;Encanto
25,"""Late Night Talking""",Harry Styles,Harry Styles
26,"""I Like You (A Happier Song)""",Post Malone featuring Doja Cat,Post Malone;Doja Cat
27,"""You Proof""",Morgan Wallen,Morgan Wallen
28,"""Bad Habit""",Steve Lacy,Steve Lacy
29,"""Sunroof""",Nicky Youre and Dazy,Nicky Youre
30,"""One Right Now""",Post Malone and the Weeknd,Post Malone;the Weeknd
31,"""Good 4 U""",Olivia Rodrigo,Olivia Rodrigo
32,"""Numb Little Bug""",Em Beihold,Em Beihold
33,"""Jimmy Cooks""",Drake featuring 21 Savage,Drake;21 Savage
34,"""'Til You Can't""",Cody Johnson,Cody Johnson
35,"""Fancy Like""",Walker Hayes,Walker Hayes
36,"""The Kind of Love We Make""",Luke Combs,Luke Combs
37,"""I Ain't Worried""",OneRepublic,OneRepublic
38,"""Break My Soul""",Beyoncé,Beyoncé
39,"""Something in the Orange""",Zach Bryan,Zach Bryan
40,"""Save Your Tears""",The Weeknd and Ariana Grande,The Weeknd;Ariana Grande
41,"""Smokin out the Window""",Silk Sonic (Bruno Mars and Anderson .Paak),Silk Sonic;Bruno Mars;Anderson .Paak
42,"""Levitating""",Dua Lipa,Dua Lipa
43,"""In a Minute""",Lil Baby,Lil Baby
44,"""Moscow Mule""",Bad Bunny,Bad Bunny
45,"""You Right""",Doja Cat and the Weeknd,Doja Cat;the Weeknd
46,"""She Had Me at Heads Carolina""",Cole Swindell,Cole Swindell
47,"""Vegas""",Doja Cat,Doja Cat
48,"""Pushin P""",Gunna and Future featuring Young Thug,Gunna;Future;Young Thug
49,"""Buy Dirt""",Jordan Davis and Luke Bryan,Jordan Davis;Luke Bryan
50,"""I Hate U""",SZA,SZA
51,"""Boyfriend""",Dove Cameron,Dove Cameron
52,"""Glimpse of Us""",Joji,Joji
53,"""Surface Pressure""",Jessica Darrow,Jessica Darrow
54,"""Fall in Love""",Bailey Zimmerman,Bailey Zimmerman
55,"""Love Nwantiti (Ah Ah Ah)""",CKay,CKay
56,"""Super Freaky Girl""",Nicki Minaj,Nicki Minaj
57,"""Hrs and Hrs""",Muni Long,Muni Long
58,"""Sand in My Boots""",Morgan Wallen,Morgan Wallen
59,"""Mamiii""",Becky G and Karol G,Becky G;Karol G
60,"""Knife Talk""",Drake featuring 21 Savage and Project Pat,Drake;21 Savage;Project Pat
61,"""AA""",Walker Hayes,Walker Hayes
62,"""Sweetest Pie""",Megan Thee Stallion and Dua Lipa,Megan Thee Stallion;Dua Lipa
63,"""Provenza""",Karol G,Karol G
64,"""Essence""",Wizkid featuring Justin Bieber and Tems,Wizkid;Justin Bieber;Tems
65,"""All I Want for Christmas Is You""",Mariah Carey,Mariah Carey
66,"""Bam Bam""",Camila Cabello featuring Ed Sheeran,Camila Cabello;Ed Sheeran
67,"""5 Foot 9""",Tyler Hubbard,Tyler Hubbard
68,"""Get Into It (Yuh)""",Doja Cat,Doja Cat
69,"""Efecto""",Bad Bunny,Bad Bunny
70,"""Rock and a Hard Place""",Bailey Zimmerman,Bailey Zimmerman
71,"""Doin' This""",Luke Combs,Luke Combs
72,"""Oh My God""",Adele,Adele
73,"""Better Days""","Neiked, Mae Muller and Polo G",Neiked;Mae Muller;Polo G
74,"""Meet Me at Our Spot""",The Anxiety: Willow and Tyler Cole,The Anxiety;Willow
75,"""Fingers Crossed""",Lauren Spencer-Smith,Lauren Spencer-Smith
76,"""All Too Well (Taylor's Version)""",Taylor Swift,Taylor Swift
77,"""Party""",Bad Bunny and Rauw Alejandro,Bad Bunny;Rauw Alejandro
78,"""Después de la Playa""",Bad Bunny,Bad Bunny
79,"""You Should Probably Leave""",Chris Stapleton,Chris Stapleton
80,"""Rockin' Around the Christmas Tree""",Brenda Lee,Brenda Lee
81,"""Broadway Girls""",Lil Durk featuring Morgan Wallen,Lil Durk;Morgan Wallen
82,"""Take My Name""",Parmalee,Parmalee
83,"""What Happened to Virgil""",Lil Durk featuring Gunna,Lil Durk;Gunna
84,"""Puffin on Zootiez""",Future,Future
85,"""Like I Love Country Music""",Kane Brown,Kane Brown
86,"""Jingle Bell Rock""",Bobby Helms,Bobby Helms
87,"""Ojitos Lindos""",Bad Bunny and Bomba Estéreo,Bad Bunny;Bomba Estéreo
88,"""Trouble with a Heartbreak""",Jason Aldean,Jason Aldean
89,"""A Holly Jolly Christmas""",Burl Ives,Burl Ives
90,"""Kiss Me More""",Doja Cat featuring SZA,Doja Cat;SZA
91,"""She Likes It""",Russell Dickerson featuring Jake Scott,Russell Dickerson
92,"""Never Say Never""",Cole Swindell and Lainey Wilson,Cole Swindell;Lainey Wilson
93,"""Damn Strait""",Scotty McCreery,Scotty McCreery
94,"""She's All I Wanna Be""",Tate McRae,Tate McRae
95,"""Last Night Lonely""",Jon Pardi,Jon Pardi
96,"""Flower Shops""",Ernest featuring Morgan Wallen,Ernest;Morgan Wallen
97,"""To the Moon""",Jnr Choi and Sam Tompkins,
98,"""Unholy""",Sam Smith and Kim Petras,Sam Smith;Kim Petras
99,"""One Mississippi""",Kane Brown,Kane Brown
100,"""Circles Around This Town""",Maren Morris,Maren Morris
