Rank,Title,Artist(s),Artists Separately
1,"""Tie a Yellow Ribbon Round the Ole Oak Tree""",Tony Orlando and Dawn,Tony Orlando and Dawn
2,"""Bad, Bad Leroy Brown""",Jim Croce,Jim Croce
3,"""Killing Me Softly with His Song""",Roberta Flack,Roberta Flack
4,"""Let's Get It On""",Marvin Gaye,Marvin Gaye
5,"""My Love""",Paul McCartney & Wings,Paul McCartney & Wings
6,"""Why Me""",Kris Kristofferson,Kris Kristofferson
7,"""Crocodile Rock""",Elton John,Elton John
8,"""Will It Go Round in Circles""",Billy Preston,Billy Preston
9,"""You're So Vain""",Carly Simon,Carly Simon
10,"""Touch Me in the Morning""",Diana Ross,Diana Ross
11,"""The Night the Lights Went Out in Georgia""",Vicki Lawrence,Vicki Lawrence
12,"""Playground in My Mind""",Clint Holmes,Clint Holmes
13,"""Brother Louie""",Stories,Stories
14,"""Delta Dawn""",Helen Reddy,Helen Reddy
15,"""Me and Mrs. Jones""",Billy Paul,Billy Paul
16,"""Frankenstein""",The Edgar Winter Group,The Edgar Winter Group
17,"""Drift Away""",Dobie Gray,Dobie Gray
18,"""Little Willy""",Sweet,Sweet
19,"""You Are the Sunshine of My Life""",Stevie Wonder,Stevie Wonder
20,"""Half-Breed""",Cher,Cher
21,"""That Lady""",The Isley Brothers,The Isley Brothers
22,"""Pillow Talk""",Sylvia Robinson,Sylvia Robinson
23,"""We're an American Band""",Grand Funk Railroad,Grand Funk Railroad
24,"""Right Place Wrong Time""",Dr. John,Dr. John
25,"""Wildflower""",Skylark,Skylark
26,"""Superstition""",Stevie Wonder,Stevie Wonder
27,"""Loves Me Like a Rock""",Paul Simon,Paul Simon
28,"""The Morning After""",Maureen McGovern,Maureen McGovern
29,"""Rocky Mountain High""",John Denver,John Denver
30,"""Stuck in the Middle with You""",Stealers Wheel,Stealers Wheel
31,"""Shambala""",Three Dog Night,Three Dog Night
32,"""Love Train""",The O'Jays,The O'Jays
33,"""I'm Gonna Love You Just a Little More Baby""",Barry White,Barry White
34,"""Say, Has Anybody Seen My Sweet Gypsy Rose""",Tony Orlando and Dawn,Tony Orlando and Dawn
35,"""Keep on Truckin'""",Eddie Kendricks,Eddie Kendricks
36,"""Danny's Song""",Anne Murray,Anne Murray
37,"""Dancing in the Moonlight""",King Harvest,King Harvest
38,"""Monster Mash""",Bobby 'Boris' Pickett,Bobby 'Boris' Pickett
39,"""Natural High""",Bloodstone,Bloodstone
40,"""Diamond Girl""",Seals and Crofts,Seals and Crofts
41,"""Long Train Runnin'""",The Doobie Brothers,The Doobie Brothers
42,"""Give Me Love (Give Me Peace on Earth)""",George Harrison,George Harrison
43,"""If You Want Me to Stay""",Sly & the Family Stone,Sly & the Family Stone
44,"""Daddy's Home""",Jermaine Jackson,Jermaine Jackson
45,"""Neither One of Us (Wants to Be the First to Say Goodbye)""",Gladys Knight & the Pips,Gladys Knight & the Pips
